project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
ColossalAI,2021/11/1,3994,208,13.4,49,3068,3099,91,5,17,13435,13435,0,0,0.6,758,0,1,594960,3429,0,0,0,1,0,0,0,0,4,775,164,18,70,775,519,py=19832,226,1207,13837,4954,20,29839,195,19832,14,27,0,0,0,0,18,14,0,3
ColossalAI,2021/11/8,3994,208,13.4,49,3068,3099,91,5,17,13435,13435,0,0,0.6,758,0,1,594960,3429,0,0,0,1,0,0,0,0,4,775,164,18,70,775,519,py=19832,226,1207,13837,4954,20,29839,195,19832,14,27,0,0,0,0,18,14,0,3
ColossalAI,2021/11/15,3831,196,12.6,46,3154,3192,91,5,17,13634,13634,0,0,0.5,732,0,1,604950,3194,0,0,0,1,0,0,0,0,4,749,149,19,66,749,511,py=20165,229,1241,14041,5102,20.2,30400,199,20165,14,23,0,0,0,0,18,14,0,3
ColossalAI,2021/11/22,3831,196,12.6,46,3154,3192,91,5,17,13634,13634,0,0,0.5,732,0,1,604950,3194,0,0,0,1,0,0,0,0,4,749,149,19,66,749,511,py=20165,229,1241,14041,5102,20.2,30400,199,20165,14,23,0,0,0,0,18,14,0,3
ColossalAI,2021/11/29,3831,196,12.5,46,3177,3213,91,5,17,13749,13749,0,0,0.5,735,0,1,612270,3209,0,0,0,1,0,0,0,0,4,752,151,19,66,752,512,py=20409,235,1251,14156,5113,20,30693,202,20409,14,18,0,0,0,0,12,14,0,3
ColossalAI,2021/12/6,3608,163,12,43,3176,3083,104,5,21,13801,13801,0,0,0.6,765,0,1,595320,3311,0,0,0,1,0,0,0,0,8,786,200,16,65,786,497,py=19844,219,1321,14198,5127,20.5,30110,221,19844,10,21,0,0,0,0,12,14,0,3
ColossalAI,2021/12/13,3800,159,12.4,48,3205,3087,84,5,19,14018,14018,0,0,0.6,769,0,1,599550,3323,0,0,0,1,0,0,0,0,6,788,198,16,64,788,504,py=19985,226,1341,14454,5564,21.8,30726,225,19985,10,22,0,0,0,0,11,14,0,3
ColossalAI,2021/12/20,3786,159,11.9,49,3363,3284,84,5,19,14666,14666,0,0,0.6,774,0,1,624720,3447,0,0,0,1,0,0,0,0,6,793,199,17,66,793,505,py=20824,237,1386,15108,5646,21.3,31849,237,20824,10,22,0,0,0,0,11,14,0,3
ColossalAI,2021/12/27,3548,123,11.7,39,3502,3443,84,5,17,14541,14541,0,0,0.5,621,0,1,596190,2993,0,0,0,1,0,0,0,0,3,638,158,17,85,638,375,py=19873,266,1406,14945,4802,19.5,30221,231,19873,12,25,0,0,0,0,21,14,0,3
ColossalAI,2022/1/3,3550,123,11.7,39,3555,3519,84,5,17,14651,14651,0,0,0.5,626,0,1,599460,3076,0,0,0,1,0,0,0,0,3,643,158,16,90,643,376,py=19982,269,1420,15061,4847,19.5,30412,235,19982,13,24,0,0,0,0,21,15,0,3
ColossalAI,2022/1/10,3159,118,10.1,38,3648,3580,94,5,19,14767,14767,0,0,0.5,628,0,1,603030,3150,0,0,0,1,0,0,0,0,3,647,164,15,88,647,377,py=20101,257,1480,15243,5785,22.3,31401,251,20101,15,24,0,0,0,0,9,11,0,3
ColossalAI,2022/1/17,2977,112,9.7,33,3536,3524,84,5,17,14156,14156,0,0,0.5,600,0,1,574170,3019,0,0,0,1,0,0,0,0,3,617,146,12,83,617,373,py=19139,235,1417,14649,6155,24.3,30568,238,19139,12,23,0,0,0,0,15,9,0,3
ColossalAI,2022/1/24,3019,114,9.8,34,3598,3557,84,5,17,14348,14348,0,0,0.5,607,0,1,582210,3052,0,0,0,1,0,0,0,0,3,624,149,12,87,624,373,py=19407,238,1456,14847,6180,24.2,30917,243,19407,12,23,0,0,0,0,15,9,0,3
ColossalAI,2022/1/31,3019,114,9.8,34,3598,3557,84,5,17,14348,14348,0,0,0.5,607,0,1,582210,3052,0,0,0,1,0,0,0,0,3,624,149,12,87,624,373,py=19407,238,1456,14847,6180,24.2,30917,243,19407,12,23,0,0,0,0,15,9,0,3
ColossalAI,2022/2/7,3019,114,9.8,34,3598,3557,84,5,17,14348,14348,0,0,0.5,607,0,1,582210,3052,0,0,0,1,0,0,0,0,3,624,149,12,87,624,373,py=19407,238,1456,14847,6180,24.2,30917,243,19407,12,23,0,0,0,0,15,9,0,3
ColossalAI,2022/2/14,4139,192,11.9,41,3858,3706,94,5,19,16751,16751,0,0,0.5,712,0,1,666630,3305,0,0,0,1,0,0,0,0,3,731,157,12,84,731,475,py=22221,244,1604,17270,6506,22.6,34773,271,22221,13,44,0,0,0,0,15,9,8,3
ColossalAI,2022/2/21,4139,192,11.9,41,3859,3707,94,5,19,16753,16753,0,0,0.5,712,0,1,666510,3305,0,0,0,1,0,0,0,0,3,731,157,12,84,731,475,py=22217,244,1604,17272,6506,22.7,34769,271,22217,13,44,0,0,0,0,15,9,8,3
ColossalAI,2022/2/28,2893,161,8.7,41,3548,3133,83,5,13,16066,16066,0,0,0.5,643,0,1,625620,2862,0,0,0,1,0,0,0,0,6,656,116,17,77,656,440,py=20854,272,1579,16636,6763,24.5,33310,291,20854,13,44,0,0,0,0,15,9,8,3
ColossalAI,2022/3/7,2195,133,6.3,30,3864,3431,84,5,14,17105,17105,0,0,0.5,667,0,1,659580,3044,0,0,0,1,0,0,0,0,7,681,122,18,86,681,448,py=21986,302,1751,17698,6991,24.1,35092,318,21986,16,44,0,0,0,0,15,9,8,3
ColossalAI,2022/3/14,2160,133,6,29,3959,3512,83,5,13,17463,17463,0,0,0.5,671,0,1,667800,3068,0,0,0,1,0,0,0,0,6,684,123,20,88,684,447,py=22260,316,1785,18070,7201,24.4,35721,323,22260,13,45,0,0,0,0,15,12,8,3
ColossalAI,2022/3/21,2099,141,6.3,32,3572,3058,84,5,15,16472,16472,0,0,0.4,628,0,1,632520,2813,0,0,0,1,0,0,0,0,5,643,114,12,80,643,432,py=21084,306,1666,17032,6439,23.4,33410,314,21084,12,44,0,0,0,0,14,15,4,3
ColossalAI,2022/3/28,3110,197,8.3,37,4111,3711,84,5,15,18190,18190,0,0,0.4,640,0,1,716910,2867,0,0,0,1,0,0,0,0,5,655,125,10,73,655,442,py=23897,319,1807,18781,7271,23.3,37499,326,23897,12,44,0,0,0,0,14,14,4,3
ColossalAI,2022/4/4,3110,197,8.3,37,4147,3760,84,5,15,18309,18309,0,0,0.4,643,0,1,718920,2885,0,0,0,1,0,0,0,0,5,658,126,10,75,658,442,py=23964,320,1815,18904,7291,23.3,37617,327,23964,12,44,0,0,0,0,14,14,4,3
ColossalAI,2022/4/11,3111,195,8.2,36,4214,3796,79,5,15,18598,18598,0,0,0.4,639,0,1,729030,2825,0,0,0,1,0,0,0,0,4,654,125,10,74,654,441,py=24301,321,1857,19199,7366,23.3,38143,335,24301,14,45,0,0,0,0,14,14,4,3
ColossalAI,2022/4/18,3085,193,7.8,34,4396,3997,79,5,15,19300,19300,0,0,0.4,656,0,1,754770,2960,0,0,0,1,0,0,0,0,4,671,131,11,77,671,448,py=25159,345,1924,19918,7542,23.1,39411,341,25159,15,45,0,0,0,0,14,14,4,3
ColossalAI,2022/4/25,3287,201,7.7,36,4782,4326,78,5,14,20795,20795,0,0,0.4,720,0,1,805320,3252,0,0,0,1,0,0,0,0,3,734,148,18,84,734,481,py=26844,369,2107,21496,8380,23.8,42495,366,26844,14,50,0,0,0,0,14,14,4,3
ColossalAI,2022/5/2,3287,201,7.7,36,4836,4427,78,5,14,20942,20942,0,0,0.4,727,0,1,810690,3330,0,0,0,1,0,0,0,0,3,741,152,19,85,741,482,py=27023,372,2116,21645,8403,23.7,42737,367,27023,14,48,0,0,0,0,14,14,4,3
ColossalAI,2022/5/9,3123,195,7.2,36,5022,4660,78,5,14,21397,21397,0,0,0.4,702,0,1,826200,3403,0,0,0,1,0,0,0,0,3,716,152,19,84,716,458,py=27540,380,2186,22107,8454,23.5,43444,376,27540,14,46,0,0,0,0,14,14,4,3
ColossalAI,2022/5/16,3088,193,7.1,34,4970,4578,78,5,14,21315,21315,0,0,0.4,706,0,1,825540,3376,0,0,0,1,0,0,0,0,3,720,156,19,81,720,461,py=27518,384,2180,22023,8422,23.4,43392,380,27518,14,46,0,0,0,0,14,14,4,3
ColossalAI,2022/5/23,3134,200,7.1,35,5134,4844,78,5,14,21831,21831,0,0,0.4,725,0,1,844560,3649,0,0,0,1,0,0,0,0,3,739,160,19,88,739,469,py=28152,391,2228,22540,8494,23.2,44214,383,28152,14,47,0,0,0,0,14,14,5,3
ColossalAI,2022/5/30,3068,195,7,35,5197,4938,78,5,14,21900,21900,0,0,0.4,731,0,1,831510,3539,0,0,0,1,0,0,0,0,3,745,157,23,88,745,474,py=27717,389,2232,22603,8480,23.4,43692,376,27717,14,47,0,0,0,0,14,14,5,3
ColossalAI,2022/6/6,3022,191,6.8,34,5271,4999,78,5,14,22093,22093,0,0,0.4,733,0,1,838650,3555,0,0,0,1,0,0,0,0,3,747,159,22,89,747,474,py=27955,391,2266,22806,8582,23.5,44129,378,27955,14,47,0,0,0,0,14,14,5,3
ColossalAI,2022/6/13,3028,191,6.8,34,5402,5141,80,5,15,22420,22420,0,0,0.4,745,0,1,847170,3634,0,0,0,1,0,0,0,0,3,760,171,25,88,760,473,py=28239,390,2323,23156,8732,23.6,44633,382,28239,14,47,0,0,0,0,14,14,5,3
ColossalAI,2022/6/20,3028,191,6.6,34,5492,5249,80,5,15,23014,23014,0,0,0.4,753,0,1,868860,3668,0,0,0,1,0,0,0,0,3,768,172,27,90,768,476,py=28962,395,2362,23767,8944,23.6,45673,381,28962,14,46,0,0,0,0,14,0,5,3
ColossalAI,2022/6/27,3083,190,6.6,35,5692,5503,82,5,17,23792,23792,0,0,0.4,764,0,1,898680,3802,0,0,0,1,0,0,0,0,5,781,175,28,95,781,478,py=29956,410,2447,24554,9079,23.3,47061,389,29956,15,47,0,0,0,0,14,0,5,3
ColossalAI,2022/7/4,3191,202,6.5,39,5980,5766,133,5,23,24970,24970,0,0,0.4,788,0,1,940830,3928,0,0,0,1,0,0,0,0,11,811,181,34,101,811,484,py=31361,427,2582,25746,9254,22.8,49064,402,31361,15,46,0,0,0,0,14,0,5,3
ColossalAI,2022/7/11,3324,210,6.6,45,6129,6011,148,5,24,25527,25527,0,0,0.4,815,0,1,958290,4301,0,0,0,1,0,0,0,0,11,839,198,29,108,839,493,py=31943,449,2602,26305,9440,22.8,50024,400,31943,15,46,0,0,0,0,15,0,5,3
ColossalAI,2022/7/18,3324,210,6.6,45,6179,6095,133,5,23,25752,25752,0,0,0.4,812,0,1,965460,4323,0,0,0,1,0,0,0,0,11,835,196,31,105,835,492,py=32182,451,2620,26534,9474,22.7,50375,400,32182,16,46,0,0,0,0,15,0,5,3
ColossalAI,2022/7/25,3709,220,7,46,6622,6750,130,5,20,27303,27303,0,0,0.5,858,0,1,1021710,5040,0,0,0,1,0,0,0,0,8,878,218,33,115,878,504,py=34057,469,2742,28108,9837,22.4,53051,407,34057,15,45,0,0,0,0,15,0,5,3
ColossalAI,2022/8/1,3709,220,7,46,6672,6811,130,5,20,27453,27453,0,0,0.5,859,0,1,1026990,5068,0,0,0,1,0,0,0,0,8,879,214,33,116,879,508,py=34233,471,2762,28261,9898,22.4,53344,407,34233,15,45,0,0,0,0,15,0,5,3
ColossalAI,2022/8/8,3709,220,6.5,46,7112,7242,175,5,25,29238,29238,0,0,0.5,899,0,1,1090740,5271,0,0,0,1,0,0,0,0,12,924,233,38,122,924,519,py=36358,496,2934,30112,10592,22.6,56714,419,36358,15,46,0,0,0,0,15,8,5,3
ColossalAI,2022/8/15,3974,230,6.8,51,7237,7470,178,5,26,29902,29902,0,0,0.5,922,0,1,1114800,5469,0,0,0,1,0,0,0,0,12,948,243,40,129,948,524,py=37160,499,2967,30808,11082,23,58272,423,37160,15,47,0,0,0,0,15,8,5,3
ColossalAI,2022/8/22,4237,248,6.7,57,7755,8013,184,5,28,32404,32404,0,0,0.5,998,0,1,1210500,5864,0,0,0,1,0,0,0,0,12,1026,265,52,144,1026,553,py=40350,543,3181,33350,12001,22.9,63194,462,40350,15,49,0,0,0,0,15,8,5,4
ColossalAI,2022/8/29,4417,255,6.8,61,8009,8413,194,5,30,33576,33576,0,0,0.5,1057,0,1,1257300,6251,0,0,0,1,0,0,0,0,12,1087,284,68,160,1087,563,py=41910,559,3278,34542,12301,22.7,65415,475,41910,15,49,0,0,0,0,15,8,5,4
ColossalAI,2022/9/5,4350,249,6.5,60,8190,8637,194,5,30,34081,34081,0,0,0.5,1064,0,1,1280010,6332,0,0,0,1,0,0,0,0,12,1094,288,69,163,1094,562,py=42667,566,3341,35066,12512,22.7,66552,475,42667,14,50,0,0,0,0,14,8,5,4
ColossalAI,2022/9/12,4653,266,6.7,65,8505,9068,194,5,30,35563,35563,0,0,0.5,1117,0,1,1337400,6806,0,0,0,1,0,0,0,0,12,1147,305,76,185,1147,569,py=44580,580,3444,36584,13221,22.9,69692,495,44580,14,50,0,0,0,0,14,8,5,4
ColossalAI,2022/9/19,5236,281,7.1,80,8988,9609,244,5,36,37741,37741,0,0,0.5,1181,0,1,1416180,7358,0,0,0,1,0,0,0,0,16,1217,326,91,194,1217,590,py=47206,602,3659,38823,13837,22.7,73701,533,47206,14,50,0,0,0,0,14,17,3,4
ColossalAI,2022/9/26,5652,291,7.4,87,9219,9822,251,5,39,39040,39040,0,0,0.5,1208,0,1,1472700,7323,0,0,0,1,0,0,0,0,19,1247,337,101,185,1247,605,py=49090,613,3752,40136,14201,22.4,76412,544,49090,14,51,0,0,0,0,14,15,3,4
ColossalAI,2022/10/3,5977,307,7.8,97,9172,9796,251,5,39,39353,39353,0,0,0.5,1232,0,1,1486140,7430,0,0,0,1,0,0,0,0,19,1271,345,104,187,1271,616,py=49538,622,3737,40435,14266,22.4,77090,543,49538,14,53,0,0,0,0,14,15,3,4
ColossalAI,2022/10/10,8437,362,10.4,125,9625,10271,249,5,37,41579,41579,0,0,0.5,1269,0,1,1566030,7640,0,0,0,1,0,0,0,0,17,1306,356,111,191,1306,631,py=52201,668,3889,42728,14937,22.2,81192,581,52201,14,53,0,0,0,0,14,9,3,4
ColossalAI,2022/10/17,8052,350,9.8,120,9729,10392,256,5,42,42115,42115,0,0,0.5,1276,0,1,1588710,7729,0,0,0,1,0,0,0,0,21,1318,355,114,196,1318,632,py=52957,679,3927,43274,15119,22.2,82415,589,52957,14,54,0,0,0,0,14,9,3,4
ColossalAI,2022/10/24,8192,360,9.7,122,9859,10526,256,5,42,42985,42985,0,0,0.5,1354,0,1,1624680,7955,0,0,0,1,0,0,0,0,21,1396,362,121,198,1396,694,py=54156,689,3984,44163,15363,22.1,84124,597,54156,15,54,0,0,0,0,14,9,3,4
