project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
DeepSpeed,2021/8/16,5370,171,10.1,39,6781,7556,311,5,61,24638,24638,0,0,0.5,899,0,1,1097640,5517,0,0,0,1,0,0,0,0,4,960,441,48,170,960,297,py=36588,211,2473,25162,7838,17.6,53047,267,36588,43,23,3,0,0,0,47,6,52,2
DeepSpeed,2021/8/23,5340,169,10,38,6805,7574,311,5,61,24773,24773,0,0,0.5,902,0,1,1104090,5493,0,0,0,1,0,0,0,0,4,963,444,48,170,963,297,py=36803,212,2486,25299,7849,17.6,53313,267,36803,43,24,3,0,0,0,47,6,52,2
DeepSpeed,2021/8/30,5364,171,10.1,38,6792,7536,306,5,60,24758,24758,0,0,0.5,903,0,1,1104120,5477,0,0,0,1,0,0,0,0,4,963,444,48,169,963,298,py=36804,212,2490,25283,7826,17.5,53304,267,36804,43,24,3,0,0,0,47,6,52,2
DeepSpeed,2021/9/6,5364,171,10,38,6800,7546,306,5,60,24784,24784,0,0,0.5,902,0,1,1106460,5474,0,0,0,1,0,0,0,0,4,962,444,48,169,962,297,py=36882,212,2494,25309,7830,17.5,53402,267,36882,43,24,3,0,0,0,47,6,52,2
DeepSpeed,2021/9/13,5364,171,10,38,6808,7558,306,5,60,24800,24800,0,0,0.5,904,0,1,1107210,5488,0,0,0,1,0,0,0,0,4,964,445,48,170,964,297,py=36907,212,2495,25325,7838,17.5,53439,267,36907,43,24,3,0,0,0,47,6,52,2
DeepSpeed,2021/9/20,5364,171,10,38,6830,7570,311,5,61,25045,25045,0,0,0.5,916,0,1,1115820,5518,0,0,0,1,0,0,0,0,4,977,445,48,168,977,312,py=37194,212,2503,25570,7877,17.5,53797,267,37194,39,17,3,0,0,0,47,6,52,2
DeepSpeed,2021/9/27,5303,168,9.8,38,6875,7612,301,5,59,25180,25180,0,0,0.5,910,0,1,1120380,5501,0,0,0,1,0,0,0,0,4,969,443,46,168,969,308,py=37346,213,2520,25714,7991,17.6,54111,269,37346,39,17,3,0,0,0,47,6,52,2
DeepSpeed,2021/10/4,5430,172,10,39,6916,7664,301,5,59,25306,25306,0,0,0.5,913,0,1,1127670,5526,0,0,0,1,0,0,0,0,4,972,444,48,167,972,309,py=37589,213,2530,25841,8017,17.6,54428,270,37589,39,17,3,0,0,0,47,6,52,2
DeepSpeed,2021/10/11,5430,172,10,39,6934,7694,301,5,59,25364,25364,0,0,0.5,914,0,1,1129470,5540,0,0,0,1,0,0,0,0,4,973,444,49,169,973,307,py=37649,213,2531,25899,8013,17.5,54513,270,37649,39,17,3,0,0,0,47,6,52,2
DeepSpeed,2021/10/18,5430,172,9.9,39,6956,7717,306,5,60,25437,25437,0,0,0.5,915,0,1,1133580,5546,0,0,0,1,0,0,0,0,4,975,445,49,169,975,308,py=37786,213,2539,25972,8037,17.5,54695,270,37786,39,17,3,0,0,0,47,6,52,2
DeepSpeed,2021/10/25,5595,178,10.1,45,7002,7785,324,5,64,25663,25663,0,0,0.5,923,0,1,1144650,5598,0,0,0,1,0,0,0,0,4,987,450,49,174,987,310,py=38155,217,2555,26202,8074,17.5,55166,272,38155,40,18,2,0,0,0,47,6,52,3
DeepSpeed,2021/11/1,5789,188,10.4,46,7068,7851,324,5,64,25839,25839,0,0,0.5,926,0,1,1156020,5524,0,0,0,1,0,0,0,0,4,990,450,49,175,990,312,py=38534,218,2570,26378,8094,17.4,55616,272,38534,40,18,2,0,0,0,47,6,52,3
DeepSpeed,2021/11/8,5839,190,9.8,48,7681,8733,324,5,64,27824,27824,0,0,0.5,978,0,1,1241160,6017,0,0,0,1,0,0,0,0,4,1042,467,51,201,1042,319,py=41372,231,2719,28407,8418,16.9,59330,285,41372,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/11/15,5839,190,9.8,48,7725,8790,324,5,64,27921,27921,0,0,0.5,978,0,1,1246530,6054,0,0,0,1,0,0,0,0,4,1042,465,51,201,1042,321,py=41551,231,2729,28505,8431,16.9,59550,288,41551,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/11/22,5847,190,9.8,48,7740,8822,324,5,64,27972,27972,0,0,0.5,980,0,1,1248720,6068,0,0,0,1,0,0,0,0,4,1044,466,51,202,1044,321,py=41624,231,2732,28557,8456,16.9,59653,288,41624,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/11/29,6879,160,11.5,48,7740,8822,324,5,64,27972,27972,0,0,0.5,978,0,1,1248570,6064,0,0,0,1,0,0,0,0,4,1042,466,51,200,1042,321,py=41619,231,2732,28557,8448,16.9,59647,288,41619,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/12/6,6879,160,11.5,48,7744,8821,324,5,64,27985,27985,0,0,0.5,976,0,1,1249350,6054,0,0,0,1,0,0,0,0,4,1040,464,51,200,1040,321,py=41645,231,2737,28570,8452,16.9,59684,288,41645,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/12/13,6848,157,11.6,47,7635,8638,319,5,63,27592,27592,0,0,0.5,947,0,1,1231470,5894,0,0,0,1,0,0,0,0,4,1010,454,47,197,1010,308,py=41049,230,2718,28175,8292,16.8,58805,287,41049,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/12/20,6848,157,11.6,47,7645,8655,319,5,63,27621,27621,0,0,0.5,947,0,1,1232460,5894,0,0,0,1,0,0,0,0,4,1010,454,47,197,1010,308,py=41082,230,2719,28204,8293,16.8,58843,287,41082,40,21,3,0,0,0,53,6,52,3
DeepSpeed,2021/12/27,6764,155,11.5,45,7647,8659,319,5,63,27627,27627,0,0,0.5,947,0,1,1232640,5898,0,0,0,1,0,0,0,0,4,1010,454,47,197,1010,308,py=41088,230,2719,28210,8298,16.8,58856,287,41088,40,21,3,0,0,0,53,6,52,3
