project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
keras,2023/4/10,381,18,2.8,9,2060,1430,5,4,1,6903,6903,0,0,0.3,141,0,1,271800,689,0,0,0,1,0,0,0,0,0,142,61,51,19,142,11,py=9060,86,1150,7022,2317,20.4,13660,196,9060,1,1,0,0,2,0,0,0,0,0
keras,2023/4/17,926,42,3.7,22,3557,2560,30,4,5,11832,11832,0,0,0.3,225,0,1,505380,1332,0,0,0,1,0,0,0,0,0,230,96,83,32,230,19,py=16846,134,1964,12086,4509,21.1,25131,306,16846,1,6,0,0,6,0,0,0,0,0
keras,2023/4/24,1175,54,3.4,26,4655,3244,30,4,5,16104,16104,0,0,0.3,339,0,1,696060,2123,0,0,0,1,0,0,0,0,0,344,164,90,61,344,29,py=23202,177,2641,16448,6352,21.5,35014,421,23202,0,6,0,0,6,0,0,0,0,2
keras,2023/5/1,1658,79,3,36,6122,4379,45,5,8,22744,22744,0,0,0.3,543,0,1,1067160,3438,0,0,0,1,0,0,0,0,1,551,339,87,92,551,32,py=35572,287,3422,23290,12555,26.1,55640,585,35572,26,18,0,0,7,0,0,0,0,2
keras,2023/5/8,3121,191,4.2,64,7526,5514,59,5,12,28587,28587,0,0,0.3,659,0,1,1443960,4405,0,0,0,1,0,0,0,0,1,671,431,91,116,671,32,py=48132,397,4144,29256,17703,26.9,75058,720,48132,46,26,0,0,7,0,0,2,0,2
keras,2023/5/15,3607,219,4.2,72,8463,6247,64,5,13,32470,32470,0,0,0.3,729,0,1,1675290,4881,0,0,0,1,0,0,0,0,1,742,471,104,126,742,40,py=55843,447,4639,33196,20098,26.5,86336,779,55843,57,38,0,0,7,0,0,2,0,2
keras,2023/5/22,4413,246,4.6,82,9188,7179,79,5,16,35260,35260,0,0,0.3,788,0,1,1899630,6020,0,0,0,1,0,0,0,0,1,804,533,81,148,804,41,py=63321,469,4831,36061,22334,26.1,96948,792,63321,58,38,0,0,8,0,0,2,0,2
keras,2023/5/29,4648,260,4.4,85,9670,7618,84,5,17,38205,38205,0,0,0.3,850,0,1,2078850,6402,0,0,0,1,0,0,0,0,1,867,571,90,158,867,47,py=69295,501,5054,39075,23471,25.3,105347,818,69295,59,37,2,1,8,0,0,1,0,2
keras,2023/6/5,4985,278,4.2,100,10406,8170,84,5,17,42493,42493,0,0,0.3,925,0,1,2375190,6870,0,0,0,1,0,0,0,0,1,942,626,89,166,942,60,py=79173,535,5417,43434,24902,23.9,118408,853,79173,62,42,1,1,8,7,0,11,0,2
keras,2023/6/12,5004,280,4.1,100,10724,8485,89,5,18,44026,44026,0,0,0.3,949,0,1,2450070,7132,0,0,0,1,0,0,0,0,1,967,644,86,176,967,60,py=81669,541,5553,44981,25443,23.8,121986,869,81669,64,42,1,1,7,7,0,11,0,2
keras,2023/6/19,5323,292,4.2,102,10935,8628,104,5,19,45297,45297,0,0,0.3,1022,0,1,2529450,7613,0,0,0,1,0,0,0,0,1,1041,702,97,178,1041,63,py=84315,550,5660,46263,25832,23.5,125469,880,84315,67,43,1,1,8,7,0,11,0,2
keras,2023/6/26,6075,323,4.6,112,11242,8842,94,5,19,47625,47625,0,0,0.3,1091,0,1,2696100,7957,0,0,0,1,0,0,0,0,1,1110,762,97,180,1110,70,py=89870,564,5846,48618,26492,22.8,132779,938,89870,70,43,1,1,8,7,0,14,0,2
keras,2023/7/3,6111,325,4.6,112,11271,8862,94,5,19,47914,47914,0,0,0.3,1099,0,1,2725050,7998,0,0,0,1,0,0,0,0,1,1118,765,97,183,1118,72,py=90835,568,5860,48911,26630,22.7,134011,938,90835,70,43,1,1,8,7,0,15,0,2
keras,2023/7/10,6114,325,4.5,116,11372,8968,99,5,20,48260,48260,0,0,0.3,1098,0,1,2742360,7972,0,0,0,1,0,0,0,0,2,1118,765,98,181,1118,72,py=91412,571,5892,49280,26913,22.7,134977,940,91412,70,43,1,1,8,7,0,15,0,2
keras,2023/7/17,7073,339,4.9,127,12242,9557,114,5,23,52322,52322,0,0,0.3,1154,0,1,2976300,8322,0,0,0,1,0,0,0,0,3,1177,809,95,188,1177,82,py=99210,608,6370,53396,28220,22.1,145814,987,99210,71,45,1,1,8,11,0,33,0,2
keras,2023/7/24,7833,379,4.8,135,14021,11494,149,5,28,58965,58965,0,0,0.3,1339,0,1,3334320,9769,0,0,0,1,0,0,0,0,3,1367,937,104,234,1367,89,py=111144,645,6984,60322,30475,21.5,162208,1044,111144,71,49,1,1,7,10,0,35,0,2
