project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
Megatron-LM,2022/10/31,1319,56,3.7,14,4296,4913,114,5,18,17689,17689,0,0,0.5,415,0,1,717390,3452,0,0,0,1,0,0,0,0,6,433,133,13,117,433,164,py=23913,160,1512,18466,5283,18.1,35475,211,23913,79,45,3,0,0,9,9,8,1,0
Megatron-LM,2022/11/7,1319,56,3.6,14,4362,4957,150,5,26,18027,18027,0,0,0.5,429,0,1,734370,3573,0,0,0,1,0,0,0,0,7,455,144,14,125,455,165,py=24479,172,1551,18812,5428,18.1,36278,213,24479,77,44,3,0,0,9,6,9,1,0
Megatron-LM,2022/11/14,1319,56,3.6,14,4387,4988,150,5,26,18159,18159,0,0,0.5,430,0,1,739740,3589,0,0,0,1,0,0,0,0,7,456,144,14,126,456,165,py=24658,174,1558,18946,5457,18.1,36887,214,24658,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2022/11/21,1529,62,4.1,18,4473,5114,150,5,26,18619,18619,0,0,0.5,444,0,1,757200,3676,0,0,0,1,0,0,0,0,7,470,145,14,131,470,173,py=25240,179,1586,19422,5503,17.9,37667,216,25240,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2022/11/28,1674,68,4.4,20,4529,5191,150,5,26,18858,18858,0,0,0.5,446,0,1,765990,3728,0,0,0,1,0,0,0,0,7,472,146,14,132,472,173,py=25533,179,1599,19662,5518,17.8,37673,220,25533,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2022/12/5,1674,68,4.4,20,4538,5206,150,5,26,18904,18904,0,0,0.5,446,0,1,767910,3728,0,0,0,1,0,0,0,0,7,472,146,14,132,472,173,py=25597,179,1601,19710,5533,17.8,37759,221,25597,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2022/12/12,1674,68,4.4,20,4538,5206,150,5,26,18904,18904,0,0,0.5,446,0,1,767910,3728,0,0,0,1,0,0,0,0,7,472,146,14,132,472,173,py=25597,179,1601,19710,5533,17.8,37759,221,25597,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2022/12/19,1674,68,4.4,20,4529,5191,150,5,26,18858,18858,0,0,0.5,446,0,1,765990,3728,0,0,0,1,0,0,0,0,7,472,146,14,132,472,173,py=25533,179,1599,19662,5519,17.8,37674,220,25533,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2022/12/26,1674,68,4.4,20,4529,5191,150,5,26,18858,18858,0,0,0.5,446,0,1,765990,3728,0,0,0,1,0,0,0,0,7,472,146,14,132,472,173,py=25533,179,1599,19662,5519,17.8,37674,220,25533,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2023/1/2,1674,68,4.4,20,4551,5231,150,5,26,18916,18916,0,0,0.5,449,0,1,770040,3774,0,0,0,1,0,0,0,0,7,475,146,14,135,475,173,py=25668,179,1601,19720,5528,17.7,37833,220,25668,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2023/1/9,2334,76,5.9,28,4663,5302,165,5,28,19372,19372,0,0,0.5,461,0,1,792690,3843,0,0,0,1,0,0,0,0,8,489,157,15,137,489,172,py=26423,198,1665,20199,5927,18.3,39257,239,26423,73,41,3,0,0,9,6,12,1,0
Megatron-LM,2023/1/16,2334,76,5.9,28,4684,5316,160,5,27,19535,19535,0,0,0.5,463,0,1,800430,3850,0,0,0,1,0,0,0,0,8,490,157,15,137,490,173,py=26681,200,1678,20364,5969,18.3,39643,241,26681,73,41,3,0,0,9,6,12,1,0
Megatron-LM,2023/1/23,2334,76,5.9,28,4703,5332,160,5,27,19616,19616,0,0,0.5,470,0,1,804330,3858,0,0,0,1,0,0,0,0,8,497,160,18,137,497,174,py=26811,204,1690,20447,6027,18.4,39886,243,26811,73,41,3,0,0,9,6,12,1,0
Megatron-LM,2023/1/30,2334,76,5.8,28,4739,5377,160,5,27,19765,19765,0,0,0.5,479,0,1,810600,3901,0,0,0,1,0,0,0,0,8,506,165,19,138,506,176,py=27020,206,1704,20599,6121,18.5,40259,245,27020,73,41,3,0,0,9,6,12,1,0
Megatron-LM,2023/2/6,2334,76,5.7,28,4782,5423,160,5,27,19923,19923,0,0,0.5,484,0,1,816840,3954,0,0,0,1,0,0,0,0,8,511,165,19,143,511,176,py=27228,213,1725,20765,6180,18.5,40611,249,27228,73,41,3,0,0,9,6,12,1,0
Megatron-LM,2023/2/13,1674,68,4.4,20,4560,5246,150,5,26,18960,18960,0,0,0.5,449,0,1,771900,3774,0,0,0,1,0,0,0,0,7,475,146,14,135,475,173,py=25730,179,1603,19766,5542,17.7,37916,221,25730,77,45,3,0,0,9,6,9,1,0
Megatron-LM,2023/2/20,2511,94,5.7,24,5137,5889,153,5,28,21573,21573,0,0,0.5,506,0,1,895020,4377,0,0,0,1,0,0,0,0,6,534,170,20,149,534,189,py=29834,219,1838,22519,6692,18.3,44359,251,29834,73,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/2/27,2559,96,5.8,24,5106,5795,153,5,28,21499,21499,0,0,0.5,503,0,1,892350,4280,0,0,0,1,0,0,0,0,6,531,168,20,149,531,188,py=29745,219,1837,22442,6682,18.3,44259,252,29745,74,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/3/6,2763,102,6.4,24,5037,5724,140,5,26,21256,21256,0,0,0.5,500,0,1,877740,4253,0,0,0,1,0,0,0,0,5,526,168,17,147,526,189,py=29258,214,1807,22193,6459,18.1,43462,251,29258,80,48,3,0,0,9,6,19,1,0
Megatron-LM,2023/3/13,2334,76,5.7,28,4801,5429,160,5,27,19955,19955,0,0,0.5,496,0,1,818940,3990,0,0,0,1,0,0,0,0,8,523,168,25,144,523,178,py=27298,213,1733,20797,6215,18.5,40775,249,27298,73,41,3,0,0,9,6,12,1,0
Megatron-LM,2023/3/20,2759,102,6.3,24,5048,5721,150,5,27,21326,21326,0,0,0.5,500,0,1,885150,4241,0,0,0,1,0,0,0,0,6,527,169,17,147,527,188,py=29505,218,1819,22265,6628,18.3,43916,250,29505,74,44,4,0,0,9,6,20,1,0
Megatron-LM,2023/3/27,2759,102,6.3,24,5053,5727,150,5,27,21343,21343,0,0,0.5,500,0,1,885900,4243,0,0,0,1,0,0,0,0,6,527,169,17,147,527,188,py=29530,218,1821,22282,6632,18.3,43954,251,29530,74,44,4,0,0,9,6,20,1,0
Megatron-LM,2023/4/3,2511,94,5.7,24,5107,5793,153,5,28,21505,21505,0,0,0.5,503,0,1,892380,4280,0,0,0,1,0,0,0,0,6,531,168,20,149,531,188,py=29746,219,1839,22450,6684,18.3,44267,252,29746,74,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/4/10,2511,94,5.7,24,5107,5793,153,5,28,21505,21505,0,0,0.5,503,0,1,892380,4280,0,0,0,1,0,0,0,0,6,531,168,20,149,531,188,py=29746,219,1839,22450,6684,18.3,44267,252,29746,74,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/4/17,2511,94,5.7,24,5105,5799,153,5,28,21499,21499,0,0,0.5,502,0,1,892650,4275,0,0,0,1,0,0,0,0,6,530,168,20,150,530,186,py=29755,219,1837,22444,6690,18.4,44265,251,29755,73,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/4/24,2507,94,5.7,24,5109,5791,153,5,28,21509,21509,0,0,0.5,501,0,1,892680,4270,0,0,0,1,0,0,0,0,6,529,168,20,149,529,186,py=29756,219,1845,22454,6685,18.3,44266,252,29756,73,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/5/1,2507,94,5.6,24,5143,5889,153,5,28,21601,21601,0,0,0.5,506,0,1,896160,4377,0,0,0,1,0,0,0,0,6,534,170,20,149,534,189,py=29872,219,1846,22547,6693,18.3,44405,252,29872,73,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/5/8,2543,96,5.7,25,5193,5972,153,5,28,21775,21775,0,0,0.5,513,0,1,904080,4545,0,0,0,1,0,0,0,0,6,541,173,20,152,541,190,py=30136,221,1853,22728,6783,18.4,44802,252,30136,73,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/5/15,2543,96,5.7,25,5196,5989,153,5,28,21784,21784,0,0,0.5,515,0,1,904410,4566,0,0,0,1,0,0,0,0,6,543,173,20,152,543,192,py=30147,221,1853,22737,6783,18.4,44813,252,30147,73,44,4,0,0,9,8,20,1,0
Megatron-LM,2023/5/22,1700,70,3.9,23,5115,5897,158,5,29,21402,21402,0,0,0.5,509,0,1,882660,4624,0,0,0,1,0,0,0,0,7,538,177,18,149,538,187,py=29422,222,1829,22344,6615,18.4,43742,243,29422,76,44,4,0,0,9,8,18,1,0
Megatron-LM,2023/5/29,1704,70,3.9,23,5161,5999,158,5,29,21521,21521,0,0,0.5,512,0,1,890280,4715,0,0,0,1,0,0,0,0,7,541,178,18,150,541,188,py=29676,222,1831,22463,6652,18.3,44072,243,29676,76,44,4,0,0,9,8,18,1,0
Megatron-LM,2023/6/5,1700,70,3.9,23,5146,5956,158,5,29,21493,21493,0,0,0.5,511,0,1,887340,4665,0,0,0,1,0,0,0,0,7,540,178,18,150,540,187,py=29578,222,1829,22436,6641,18.3,43945,243,29578,75,44,4,0,0,9,10,18,1,0
Megatron-LM,2023/6/12,1704,70,3.9,23,5175,6022,158,5,29,21620,21620,0,0,0.5,513,0,1,894900,4728,0,0,0,1,0,0,0,0,7,542,178,18,151,542,188,py=29830,222,1834,22564,6662,18.3,44257,243,29830,76,45,4,0,0,9,8,18,1,0
Megatron-LM,2023/6/19,1704,70,3.8,23,5196,6032,178,5,31,21765,21765,0,0,0.5,513,0,1,901260,4728,0,0,0,1,0,0,0,0,9,544,178,18,151,544,188,py=30042,224,1847,22710,6669,18.2,44539,247,30042,76,45,4,0,0,9,8,18,1,0
Megatron-LM,2023/6/26,2191,71,4.7,27,5449,6236,268,5,39,22749,22749,0,0,0.5,551,0,1,938790,4874,0,0,0,1,0,0,0,0,17,590,192,27,161,590,193,py=31293,256,1976,23742,7307,18.9,47015,278,31293,75,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/7/3,2191,71,4.7,27,5449,6236,268,5,39,22753,22753,0,0,0.5,552,0,1,938910,4879,0,0,0,1,0,0,0,0,17,591,192,27,161,591,194,py=31297,256,1976,23746,7307,18.9,47020,278,31297,75,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/7/10,1995,73,4.2,25,5490,6274,278,5,40,22965,22965,0,0,0.5,556,0,1,957270,4909,0,0,0,1,0,0,0,0,18,596,192,29,162,596,195,py=31909,258,1990,23958,7362,18.7,47826,282,31909,77,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/7/17,2179,73,4.6,27,5492,6281,278,5,40,22982,22982,0,0,0.5,554,0,1,951570,4898,0,0,0,1,0,0,0,0,18,594,192,29,163,594,192,py=31719,258,1990,23975,7362,18.8,47580,282,31719,77,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/7/24,1953,73,4.1,25,5497,6287,278,5,40,23002,23002,0,0,0.5,556,0,1,961530,4911,0,0,0,1,0,0,0,0,18,596,194,29,163,596,192,py=32051,258,1990,23996,7376,18.7,47988,282,32051,77,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/7/31,1953,73,3.9,25,5749,6577,298,5,42,23812,23812,0,0,0.5,585,0,1,997500,5021,0,0,0,1,0,0,0,0,20,627,200,46,168,627,193,py=33250,271,2082,24824,7554,18.5,49642,300,33250,82,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/8/7,2006,77,4,27,5776,6600,298,5,42,23954,23954,0,0,0.5,588,0,1,1001970,4999,0,0,0,1,0,0,0,0,20,630,198,50,169,630,193,py=33399,270,2095,24971,7560,18.5,49839,301,33399,78,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/8/14,1953,73,3.9,25,5767,6624,278,5,41,23852,23852,0,0,0.5,587,0,1,1004040,5038,0,0,0,1,0,0,0,0,19,628,202,48,168,628,191,py=33468,269,2082,24866,7586,18.5,49868,299,33468,78,45,3,0,0,9,8,17,1,0
Megatron-LM,2023/8/21,1953,73,3.9,25,5742,6574,278,5,41,23790,23790,0,0,0.5,584,0,1,995940,5002,0,0,0,1,0,0,0,0,19,625,199,46,168,625,193,py=33198,271,2078,24799,7529,18.5,49552,298,33198,77,45,4,0,0,9,8,17,1,0
Megatron-LM,2023/8/28,1969,73,3.9,25,5804,6673,278,5,41,24009,24009,0,0,0.5,580,0,1,1013070,5020,0,0,0,1,0,0,0,0,19,621,203,43,166,621,190,py=33769,269,2094,25032,7663,18.5,50264,300,33769,78,45,3,0,0,9,8,17,1,0
Megatron-LM,2023/9/4,2398,81,4.5,29,5908,6765,303,5,44,24544,24544,0,0,0.5,673,0,1,1043430,5521,0,0,0,1,0,0,0,0,21,717,289,47,167,717,193,py=34781,286,2141,25572,8410,19.5,53214,320,34781,77,45,3,0,0,9,8,17,1,0
Megatron-LM,2023/9/11,2181,85,4.3,29,5845,6711,248,5,38,24286,24286,0,0,0.5,589,0,1,1026540,5123,0,0,0,1,0,0,0,0,17,627,203,44,169,627,194,py=34218,272,2115,25322,7706,18.4,50886,302,34218,76,42,3,0,0,9,6,17,1,0
Megatron-LM,2023/9/18,2051,80,4,29,5894,6765,248,5,38,24518,24518,0,0,0.5,605,0,1,1038990,5204,0,0,0,1,0,0,0,0,17,643,216,47,170,643,193,py=34633,277,2134,25566,7851,18.5,51557,312,34633,75,42,3,0,0,9,6,18,1,0
Megatron-LM,2023/9/25,2126,84,4.1,31,5961,6853,248,5,38,24727,24727,0,0,0.5,616,0,1,1049010,5258,0,0,0,1,0,0,0,0,17,654,217,53,173,654,194,py=34967,278,2148,25781,7869,18.4,51956,315,34967,76,42,3,0,0,9,6,19,1,0
Megatron-LM,2023/10/2,2051,80,4,29,5885,6784,248,5,38,24485,24485,0,0,0.5,608,0,1,1037550,5228,0,0,0,1,0,0,0,0,17,646,216,48,171,646,194,py=34585,278,2131,25533,7836,18.5,51485,312,34585,75,42,3,0,0,9,6,19,1,0
Megatron-LM,2023/10/9,2061,82,3.9,30,6120,7067,248,5,38,25310,25310,0,0,0.5,624,0,1,1075230,5397,0,0,0,1,0,0,0,0,17,662,225,53,174,662,193,py=35841,288,2196,26392,8143,18.5,53326,323,35841,76,43,3,0,0,9,6,19,0,0
Megatron-LM,2023/10/16,2061,82,3.8,30,6160,7102,248,5,38,25514,25514,0,0,0.5,638,0,1,1086120,5453,0,0,0,1,0,0,0,0,17,676,226,60,178,676,195,py=36204,298,2209,26606,8322,18.7,53957,325,36204,76,43,3,0,0,9,6,19,0,0
Megatron-LM,2023/10/23,2057,82,3.8,31,6209,7127,253,5,39,25713,25713,0,0,0.5,642,0,1,1101090,5550,0,0,0,1,0,0,0,0,17,681,235,53,179,681,197,py=36703,299,2243,26826,8458,18.7,54712,335,36703,76,43,3,0,0,9,6,19,0,0
Megatron-LM,2023/10/30,2014,80,3.7,29,6158,7093,248,5,38,25496,25496,0,0,0.5,635,0,1,1083240,5447,0,0,0,1,0,0,0,0,17,673,225,52,174,673,205,py=36108,293,2211,26590,8299,18.7,53815,323,36108,76,43,3,0,0,9,6,19,0,0
Megatron-LM,2023/11/6,1928,76,3.5,26,6268,7203,288,5,44,25881,25881,0,0,0.5,659,0,1,1107630,5541,0,0,0,1,0,0,0,0,21,703,237,61,180,703,204,py=36921,302,2240,27035,8952,19.5,55487,330,36921,76,42,3,0,0,9,6,19,0,0
Megatron-LM,2023/11/13,1928,76,3.4,26,6343,7265,293,5,45,26271,26271,0,0,0.5,669,0,1,1131690,5629,0,0,0,1,0,0,0,0,21,714,244,60,181,714,208,py=37723,312,2281,27454,9421,20,56958,342,37723,76,43,3,0,0,9,6,20,0,0
Megatron-LM,2023/11/20,1929,76,3.3,26,6499,7432,293,5,45,26876,26876,0,0,0.5,694,0,1,1164240,5830,0,0,0,1,0,0,0,0,21,739,255,61,189,739,213,py=38808,319,2335,28083,9693,20,58536,346,38808,76,43,3,0,0,9,6,20,0,0
Megatron-LM,2023/11/27,2895,95,4.7,37,6813,7897,278,5,42,28296,28296,0,0,0.5,745,0,1,1220670,6163,0,0,0,1,0,0,0,0,21,787,272,62,201,787,231,py=40689,333,2421,29533,9987,19.7,61204,350,40689,86,50,3,0,0,9,6,28,0,2
Megatron-LM,2023/12/4,1928,76,3.5,26,6277,7226,288,5,44,25931,25931,0,0,0.5,659,0,1,1109610,5537,0,0,0,1,0,0,0,0,21,703,237,61,180,703,204,py=36987,302,2242,27084,8952,19.5,55593,330,36987,76,42,3,0,0,9,6,19,0,0
Megatron-LM,2023/12/11,2366,88,3.9,34,6821,7897,293,5,43,28310,28310,0,0,0.5,737,0,1,1223070,6115,0,0,0,1,0,0,0,0,21,780,264,64,201,780,230,py=40769,333,2438,29555,9975,19.7,61241,357,40769,86,47,3,0,0,9,6,28,0,0
Megatron-LM,2023/12/18,2366,88,3.9,34,6730,7811,278,5,42,27996,27996,0,0,0.5,730,0,1,1211100,6074,0,0,0,1,0,0,0,0,21,772,261,63,197,772,230,py=40370,330,2398,29241,9886,19.7,60629,349,40370,87,47,3,0,0,9,6,29,0,2
Megatron-LM,2023/12/25,2309,86,3.7,34,6953,8033,278,5,42,28912,28912,0,0,0.5,757,0,1,1252860,6261,0,0,0,1,0,0,0,0,21,799,271,65,207,799,235,py=41762,343,2490,30196,10361,19.9,62754,365,41762,87,47,3,0,0,9,5,28,2,0
Megatron-LM,2024/1/1,2325,86,3.8,34,6807,7897,278,5,42,28375,28375,0,0,0.5,735,0,1,1225860,6114,0,0,0,1,0,0,0,0,21,777,262,65,198,777,231,py=40862,336,2424,29619,10029,19.7,61405,354,40862,86,44,3,0,0,9,6,27,0,0
Megatron-LM,2024/1/8,2325,86,3.8,34,6805,7899,278,5,42,28387,28387,0,0,0.5,737,0,1,1227090,6124,0,0,0,1,0,0,0,0,21,779,262,65,200,779,231,py=40903,336,2422,29630,10026,19.7,61443,353,40903,86,47,3,0,0,9,6,27,0,0
Megatron-LM,2024/1/15,2309,86,3.7,34,6942,8025,278,5,42,28891,28891,0,0,0.5,756,0,1,1251930,6251,0,0,0,1,0,0,0,0,21,798,271,65,206,798,235,py=41731,343,2483,30178,10363,19.9,62707,364,41731,87,47,3,0,0,9,5,28,4,0
Megatron-LM,2024/1/22,2231,84,3.4,33,7139,8264,331,5,48,29607,29607,0,0,0.5,790,0,1,1293210,6500,0,0,0,1,0,0,0,0,26,838,293,63,210,838,246,py=43107,352,2538,30975,11054,20.4,65057,377,43107,77,42,3,0,0,9,6,25,4,0
Megatron-LM,2024/1/29,2281,86,3.5,35,7115,8242,341,5,49,29587,29587,0,0,0.5,791,0,1,1291920,6481,0,0,0,1,0,0,0,0,27,840,289,65,213,840,246,py=43064,353,2538,30919,10839,20.1,64782,377,43064,77,42,3,0,0,9,6,25,4,0
Megatron-LM,2024/2/5,2231,84,3.4,33,7131,8259,331,5,48,29603,29603,0,0,0.5,791,0,1,1293060,6499,0,0,0,1,0,0,0,0,26,839,293,64,210,839,246,py=43102,352,2537,30971,11054,20.4,65048,377,43102,77,42,3,0,0,9,6,25,4,0
Megatron-LM,2024/2/12,2231,84,3.4,33,7146,8271,331,5,48,29646,29646,0,0,0.5,791,0,1,1295430,6508,0,0,0,1,0,0,0,0,26,839,293,63,211,839,246,py=43181,352,2541,31017,11167,20.5,65262,379,43181,77,42,3,0,0,9,6,24,4,0
Megatron-LM,2024/2/19,2231,84,3.4,33,7153,8270,331,5,48,29743,29743,0,0,0.5,790,0,1,1300260,6510,0,0,0,1,0,0,0,0,26,838,293,63,211,838,245,py=43342,357,2552,31119,11225,20.6,65526,382,43342,77,42,3,0,0,9,6,24,4,0
Megatron-LM,2024/2/26,2231,84,3.4,33,7249,8405,341,5,49,30125,30125,0,0,0.5,802,0,1,1318770,6592,0,0,0,1,0,0,0,0,27,851,303,64,212,851,245,py=43959,373,2582,31520,11379,20.6,66462,387,43959,79,44,3,0,0,9,6,23,5,0
Megatron-LM,2024/3/4,2378,92,3.5,35,7398,8592,341,5,49,30566,30566,0,0,0.5,818,0,1,1338750,6771,0,0,0,1,0,0,0,0,27,867,309,70,216,867,245,py=44625,374,2599,31968,11530,20.5,67381,387,44625,75,44,3,0,0,9,4,24,5,0
Megatron-LM,2024/3/11,2378,92,3.5,35,7506,8684,342,5,50,30986,30986,0,0,0.5,828,0,1,1358400,6821,0,0,0,1,0,0,0,0,28,878,312,75,217,878,246,py=45280,379,2650,32416,11727,20.6,68407,394,45280,75,44,3,0,0,9,4,23,5,0
Megatron-LM,2024/3/18,3457,116,4.7,42,7939,9316,357,5,52,32511,32511,0,0,0.5,902,0,1,1435860,7558,0,0,0,1,0,0,0,0,29,954,360,71,228,954,266,py=47862,397,2767,34091,13143,21.5,73008,426,47862,68,39,0,0,0,9,5,19,5,0
Megatron-LM,2024/3/25,3577,120,4.8,44,8029,9421,137,5,30,32937,32937,0,0,0.5,913,0,1,1463340,7673,0,0,0,1,0,0,0,0,7,943,355,73,239,943,269,py=48778,396,2793,34521,13098,21.2,74095,430,48778,68,39,0,0,0,9,5,18,5,0
Megatron-LM,2024/4/1,3461,118,4.6,42,8163,9542,217,5,38,33448,33448,0,0,0.5,927,0,1,1486530,7790,0,0,0,1,0,0,0,0,15,965,368,77,241,965,264,py=49551,401,2846,35061,13196,21,75172,432,49551,72,39,3,0,0,9,5,17,5,0
Megatron-LM,2024/4/8,3461,118,4.6,42,8170,9550,217,5,38,33460,33460,0,0,0.5,927,0,1,1487070,7794,0,0,0,1,0,0,0,0,15,965,368,77,241,965,264,py=49569,401,2846,35073,13196,21,75191,432,49569,72,39,3,0,0,9,9,17,5,0
Megatron-LM,2024/4/15,3521,126,4.5,45,8434,9924,146,5,30,34563,34563,0,0,0.5,942,0,1,1539720,7969,0,0,0,1,0,0,0,0,7,972,361,78,250,972,276,py=51324,403,2912,36213,13763,21.1,77737,438,51324,72,39,3,0,0,9,9,16,5,0
Megatron-LM,2024/4/22,3521,126,4.5,45,8537,10039,146,5,30,34927,34927,0,0,0.5,950,0,1,1558650,8017,0,0,0,1,0,0,0,0,7,980,365,78,254,980,276,py=51955,405,2949,36594,14137,21.4,78843,444,51955,72,40,3,0,0,9,9,16,5,0
Megatron-LM,2024/4/29,3521,126,4.4,45,8612,10128,146,5,30,35199,35199,0,0,0.5,952,0,1,1569450,8077,0,0,0,1,0,0,0,0,7,982,367,78,254,982,276,py=52315,410,2975,36889,14333,21.5,79497,450,52315,72,40,3,0,0,9,9,16,5,0
Megatron-LM,2024/5/6,3609,122,4.7,46,8280,9644,222,5,39,34016,34016,0,0,0.5,935,0,1,1512420,7810,0,0,0,1,0,0,0,0,15,974,372,82,241,974,264,py=50414,418,2900,35672,13569,21.2,76639,443,50414,72,39,3,0,0,9,5,17,5,0
Megatron-LM,2024/5/13,3460,124,4.3,44,8803,10367,151,5,32,36041,36041,0,0,0.5,969,0,1,1608750,8239,0,0,0,1,0,0,0,0,6,1001,382,78,258,1001,277,py=53625,418,3038,37751,14582,21.4,81346,456,53625,71,42,3,0,0,9,9,16,5,0
Megatron-LM,2024/5/20,3628,128,4.4,46,8833,10392,151,5,32,36183,36183,0,0,0.5,971,0,1,1614030,8247,0,0,0,1,0,0,0,0,6,1003,382,78,259,1003,278,py=53801,419,3051,37898,14609,21.4,81612,457,53801,72,43,3,0,0,9,9,16,5,0
