project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
pytorch_geometric,2022/10/31,4695,285,5.2,128,9541,8383,200,5,40,45499,45499,0,0,0.2,650,0,1,1725210,4103,0,2,10,4,0,0,0,0,3,692,257,61,157,692,214,py=57507,876,4115,46452,17413,23.2,91010,694,57507,13,43,0,0,0,0,15,31,2,1
pytorch_geometric,2022/11/7,4695,285,5.1,128,9688,8508,205,5,41,46014,46014,0,0,0.2,657,0,1,1754790,4146,0,2,10,4,0,0,0,0,3,700,260,62,159,700,216,py=58493,895,4179,47005,17819,23.4,92635,717,58493,13,43,0,0,0,0,15,31,2,1
pytorch_geometric,2022/11/14,4615,281,4.9,128,9752,8609,205,5,41,46291,46291,0,0,0.2,665,0,1,1768500,4227,0,2,10,4,0,0,0,0,3,708,261,65,161,708,218,py=58950,897,4200,47283,17924,23.3,93282,722,58950,13,43,0,0,0,0,15,31,2,1
pytorch_geometric,2022/11/21,4637,283,4.8,127,10065,9187,197,5,40,47561,47561,0,0,0.3,705,0,1,1826040,4672,0,2,10,4,0,0,0,0,3,747,266,72,172,747,234,py=60868,902,4274,48568,18322,23.1,96030,737,60868,12,45,0,0,0,0,15,31,2,1
pytorch_geometric,2022/11/28,4645,284,4.8,127,10126,9250,207,5,42,47909,47909,0,0,0.2,695,0,1,1835970,4580,0,2,10,4,0,0,0,0,3,739,270,72,172,739,222,py=61199,906,4284,48932,18450,23.2,96613,735,61199,12,45,0,0,0,0,15,31,2,1
pytorch_geometric,2022/12/5,4869,297,4.9,134,10340,9495,207,5,42,48698,48698,0,0,0.2,703,0,1,1876050,4641,0,2,10,4,0,0,0,0,3,747,280,68,173,747,223,py=62535,914,4357,49738,18697,23,98492,747,62535,12,44,0,0,0,0,14,31,2,1
pytorch_geometric,2022/12/12,4867,296,4.9,136,10434,9560,277,5,56,49126,49126,0,0,0.2,694,0,1,1891530,4635,0,2,10,4,0,0,0,0,3,752,287,68,173,752,221,py=63051,943,4401,50183,18945,23.1,99432,757,63051,12,44,0,0,0,0,15,31,2,1
pytorch_geometric,2022/12/19,4829,296,4.8,135,10505,9638,287,5,58,49475,49475,0,0,0.2,697,0,1,1905810,4673,0,2,10,4,0,0,0,0,3,757,290,68,175,757,221,py=63527,950,4429,50541,19100,23.1,100208,761,63527,12,45,0,0,0,0,16,31,2,1
pytorch_geometric,2022/12/26,4738,293,4.7,134,10626,9734,292,5,59,49943,49943,0,0,0.2,695,0,1,1925130,4685,0,2,10,4,0,0,0,0,3,756,293,63,175,756,222,py=64171,960,4481,51009,19284,23.1,101202,768,64171,12,44,0,0,0,0,16,31,2,1
pytorch_geometric,2023/1/2,4738,293,4.6,134,10729,9778,292,5,59,50478,50478,0,0,0.2,685,0,1,1944060,4675,0,2,10,4,0,0,0,0,3,746,294,63,175,746,211,py=64802,977,4546,51557,19536,23.2,102314,780,64802,12,43,0,0,0,0,16,31,2,1
