project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
pytorch-lightning,2022/10/31,5777,291,3.7,129,18042,10869,485,5,91,70712,70712,0,0,0.3,1695,0,1,3048150,9279,0,1,5,4,0,0,0,0,11,1787,700,317,400,1787,359,py=101605,1083,10234,73925,27870,21.5,158184,2057,101605,15,11,0,0,0,0,0,16,6,13
pytorch-lightning,2022/11/7,5978,288,3.7,130,18289,11080,505,5,95,71662,71662,0,0,0.3,1713,0,1,3100170,9468,0,1,5,4,0,0,0,0,11,1809,727,316,403,1809,352,py=103339,1100,10346,74902,28206,21.4,160625,2085,103339,16,11,0,0,0,0,0,15,6,13
pytorch-lightning,2022/11/14,5958,283,3.7,130,18302,11088,505,5,95,71707,71707,0,0,0.3,1714,0,1,3102990,9474,0,1,5,4,0,0,0,0,11,1810,727,316,404,1810,352,py=103433,1100,10354,74948,28212,21.4,160744,2087,103433,16,11,0,0,0,0,0,15,6,13
pytorch-lightning,2022/11/21,6140,286,3.8,134,18511,11275,515,5,97,72442,72442,0,0,0.3,1731,0,1,3133260,9570,0,1,5,4,0,0,0,0,11,1829,733,320,412,1829,353,py=104442,1111,10430,75694,28376,21.4,162220,2098,104442,16,11,0,0,0,0,0,15,7,13
pytorch-lightning,2022/11/28,6140,286,3.8,134,18517,11274,510,5,96,72508,72508,0,0,0.3,1731,0,1,3137730,9573,0,1,5,4,0,0,0,0,11,1828,733,320,411,1828,353,py=104591,1111,10440,75763,28401,21.4,162433,2099,104591,16,11,0,0,0,0,0,15,7,13
pytorch-lightning,2022/12/5,6281,293,3.8,138,18857,11532,505,5,95,73804,73804,0,0,0.3,1765,0,1,3195840,9746,0,1,5,4,0,0,0,0,11,1861,735,324,426,1861,365,py=106528,1120,10613,77097,28698,21.2,165199,2151,106528,15,11,0,0,0,0,0,8,7,13
pytorch-lightning,2022/12/12,5959,268,3.6,133,18884,11528,515,5,97,73938,73938,0,0,0.3,1768,0,1,3202740,9676,0,1,5,4,0,0,0,0,11,1866,728,334,429,1866,364,py=106758,1113,10627,77229,28637,21.2,165410,2161,106758,15,13,0,0,0,0,0,8,7,18
pytorch-lightning,2022/12/19,5988,276,3.6,133,18955,11604,515,5,97,74413,74413,0,0,0.3,1789,0,1,3226080,9666,0,1,5,4,0,0,0,0,11,1887,725,356,428,1887,367,py=107536,1119,10659,77716,28754,21.1,166441,2165,107536,15,13,0,0,0,0,0,8,7,18
pytorch-lightning,2022/12/26,6010,276,3.6,133,18957,11606,515,5,97,74420,74420,0,0,0.3,1789,0,1,3226680,9666,0,1,5,4,0,0,0,0,11,1887,725,356,428,1887,367,py=107556,1119,10659,77723,28754,21.1,166461,2165,107556,15,13,0,0,0,0,0,8,7,18
pytorch-lightning,2023/1/2,6323,281,3.8,134,19013,11695,515,5,97,74709,74709,0,0,0.3,1784,0,1,3240420,9643,0,1,5,4,0,0,0,0,11,1882,726,356,427,1882,362,py=108014,1123,10667,78025,29005,21.2,167243,2168,108014,15,13,0,0,0,0,0,8,7,18
