project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
pytorch,2021/8/16,21463,1233,3.2,302,77612,67475,2605,5,412,306382,306382,0,0,0.6,14367,0,1,14480400,83268,0,1,10,4,0,0,0,0,61,14780,6045,1116,1501,14780,6057,py=482680,2223,38675,311624,99358,17.1,676022,6373,482680,1069,368,30,11,24,111,183,294,4,31
pytorch,2021/8/23,21554,1246,3.2,301,78048,67893,2580,5,409,307980,307980,0,0,0.6,14445,0,1,14560920,83341,0,1,10,4,0,0,0,0,61,14855,6083,1118,1507,14855,6086,py=485364,2237,38899,313311,100022,17.1,679836,6396,485364,1071,368,30,11,24,111,183,294,5,31
pytorch,2021/8/30,21486,1242,3.1,300,78851,68679,2605,5,414,310499,310499,0,0,0.6,14567,0,1,14681940,84460,0,1,10,4,0,0,0,0,61,14982,6134,1128,1522,14982,6137,py=489398,2251,39282,315876,101011,17.1,685576,6456,489398,1075,370,31,11,24,111,184,298,5,31
pytorch,2021/9/6,21256,1244,3.1,301,79010,68855,2645,5,416,311193,311193,0,0,0.6,14601,0,1,14713770,84655,0,1,10,4,0,0,0,0,63,15018,6143,1138,1526,15018,6148,py=490459,2260,39341,316584,101451,17.1,687293,6476,490459,1077,370,31,11,24,111,184,303,5,31
pytorch,2021/9/13,22061,1298,3.2,304,79631,69360,2723,5,432,313463,313463,0,0,0.6,14698,0,1,14822610,85801,0,1,10,4,0,0,0,0,64,15131,6177,1146,1555,15131,6189,py=494087,2285,39680,318915,102297,17.2,692419,6541,494087,1073,369,31,11,23,98,182,305,5,31
pytorch,2021/9/20,22536,1316,3.2,307,80199,69726,2735,5,429,315818,315818,0,0,0.6,14810,0,1,14933130,86620,0,1,10,4,0,0,0,0,65,15240,6228,1153,1566,15240,6228,py=497771,2310,39987,321299,103032,17.1,697519,6566,497771,1074,367,31,11,23,98,180,305,5,31
pytorch,2021/9/27,22541,1320,3.2,307,80460,70019,2725,5,427,316803,316803,0,0,0.6,14832,0,1,14982120,86743,0,1,10,4,0,0,0,0,66,15260,6233,1155,1574,15260,6232,py=499404,2313,40102,322300,103319,17.1,699659,6596,499404,1070,366,31,11,23,98,180,306,5,29
pytorch,2021/10/4,22911,1325,3.3,309,80964,70429,2727,5,428,318502,318502,0,0,0.6,14881,0,1,15058860,87048,0,1,10,4,0,0,0,0,66,15310,6245,1171,1579,15310,6249,py=501962,2320,40378,324080,104347,17.2,703659,6633,501962,1068,366,31,11,22,101,179,304,5,24
pytorch,2021/10/11,23230,1340,3.3,315,81769,71183,2767,5,432,321488,321488,0,0,0.6,14985,0,1,15211980,87757,0,1,10,4,0,0,0,0,68,15418,6286,1174,1593,15418,6297,py=507066,2363,40839,327145,104946,17.1,710239,6797,507066,1072,366,31,11,22,102,178,304,5,24
pytorch,2021/10/18,23155,1342,3.2,315,82347,71754,2767,5,432,323680,323680,0,0,0.6,15063,0,1,15314880,88319,0,1,10,4,0,0,0,0,68,15496,6328,1181,1607,15496,6312,py=510496,2382,41076,329368,105773,17.2,715289,6859,510496,1074,367,31,11,22,102,178,311,5,24
pytorch,2021/10/25,23215,1346,3.2,318,83089,72343,2804,5,436,326427,326427,0,0,0.6,15153,0,1,15449640,89008,0,1,10,4,0,0,0,0,69,15590,6359,1193,1623,15590,6346,py=514988,2395,41480,332148,106737,17.2,721795,6934,514988,1073,367,31,11,22,101,179,311,5,24
pytorch,2021/11/1,23637,1365,3.3,329,83612,72861,2809,5,438,328272,328272,0,0,0.6,15215,0,1,15563250,89289,0,1,10,4,0,0,0,0,68,15654,6386,1191,1628,15654,6381,py=518775,2417,41678,334031,107797,17.2,727255,6965,518775,1065,364,34,11,20,50,180,285,5,22
pytorch,2021/11/8,23774,1381,3.2,331,84442,73794,2848,5,444,331292,331292,0,0,0.6,15334,0,1,15706050,89855,0,1,10,4,0,0,0,0,69,15779,6415,1278,1644,15779,6373,py=523535,2443,42000,337122,108902,17.2,733900,7049,523535,1067,364,31,11,20,50,181,285,5,22
pytorch,2021/11/15,23820,1387,3.2,334,84932,74193,2863,5,445,333337,333337,0,0,0.6,15414,0,1,15804000,90174,0,1,10,4,0,0,0,0,69,15860,6450,1297,1646,15860,6398,py=526800,2452,42253,339211,109668,17.2,738475,7089,526800,1071,365,31,11,20,51,181,290,5,22
pytorch,2021/11/22,25497,1384,3.4,337,85170,74495,2868,5,446,334153,334153,0,0,0.6,15433,0,1,15847140,90372,0,1,10,4,0,0,0,0,69,15880,6461,1298,1649,15880,6403,py=528238,2453,42339,340035,110167,17.3,740641,7111,528238,1072,365,31,11,20,51,182,290,5,22
pytorch,2021/11/29,25588,1390,3.4,339,85655,75027,2883,5,449,335928,335928,0,0,0.6,15513,0,1,15949110,90900,0,1,10,4,0,0,0,0,69,15963,6489,1308,1668,15963,6429,py=531637,2463,42538,341838,110886,17.3,745345,7145,531637,1072,366,31,11,20,50,183,287,5,22
pytorch,2021/12/6,25718,1395,3.4,339,86013,75316,2763,5,443,337593,337593,0,0,0.6,15596,0,1,16035210,91399,0,1,10,4,0,0,0,0,63,16040,6511,1332,1678,16040,6456,py=534507,2474,42741,343537,111495,17.3,749280,7170,534507,1072,366,31,11,20,50,183,288,5,22
pytorch,2021/12/13,25702,1403,3.4,339,86297,75508,2863,5,463,338986,338986,0,0,0.6,15663,0,1,16127520,92177,0,1,10,4,0,0,0,0,63,16127,6531,1343,1691,16127,6499,py=537584,2496,42837,344974,112296,17.3,753554,7214,537584,1074,363,31,11,20,50,183,263,5,22
pytorch,2021/12/20,25812,1407,3.4,340,86433,75615,2863,5,463,339506,339506,0,0,0.6,15677,0,1,16157670,92355,0,1,10,4,0,0,0,0,63,16141,6535,1342,1697,16141,6504,py=538589,2499,42895,345506,112498,17.3,754941,7223,538589,1074,362,31,11,20,50,184,263,5,22
pytorch,2021/12/27,25820,1405,3.4,339,86576,75773,2868,5,464,340108,340108,0,0,0.6,15707,0,1,16194480,92639,0,1,10,4,0,0,0,0,63,16172,6552,1350,1700,16172,6507,py=539816,2498,42958,346113,112697,17.3,756498,7228,539816,1074,362,31,11,20,50,184,263,5,22
pytorch,2022/1/3,25752,1416,3.4,333,86872,75896,2848,5,462,341171,341171,0,0,0.6,15722,0,1,16242960,92750,0,1,10,4,0,0,0,0,61,16185,6560,1342,1692,16185,6530,py=541432,2505,43129,347187,112943,17.3,758699,7269,541432,1073,365,31,11,20,50,184,262,5,22
pytorch,2022/1/10,25769,1419,3.4,333,87067,76008,2852,5,461,341876,341876,0,0,0.6,15734,0,1,16265340,92783,0,1,10,4,0,0,0,0,59,16196,6567,1342,1695,16196,6533,py=542178,2508,43232,347901,113072,17.3,759807,7276,542178,1074,365,31,11,20,50,184,261,5,22
pytorch,2022/1/17,25821,1424,3.4,334,87250,76187,2852,5,461,342559,342559,0,0,0.6,15747,0,1,16303440,92937,0,1,10,4,0,0,0,0,59,16209,6571,1336,1700,16209,6543,py=543448,2512,43325,348599,113172,17.2,761387,7293,543448,1074,366,31,11,20,50,184,261,5,22
pytorch,2022/1/24,25742,1418,3.4,334,87416,76297,2904,5,465,343021,343021,0,0,0.6,15895,0,1,16330380,92851,0,1,10,4,0,0,0,0,63,16361,6711,1327,1706,16361,6554,py=544346,2527,43383,349081,113574,17.3,762853,7325,544346,1074,366,31,11,20,50,184,261,5,22
pytorch,2022/1/31,25297,1396,3.3,335,87743,76550,2919,5,468,344373,344373,0,0,0.6,15984,0,1,16395570,93124,0,1,10,4,0,0,0,0,63,16453,6740,1355,1714,16453,6581,py=546519,2536,43536,350455,114324,17.3,766134,7356,546519,1074,366,31,11,20,50,183,261,5,22
pytorch,2022/2/7,24925,1384,3.3,325,86904,75956,2915,5,466,340537,340537,0,0,0.6,15917,0,1,16213830,92883,0,1,10,4,0,0,0,0,63,16384,6710,1352,1698,16384,6561,py=540461,2447,43039,346548,113327,17.3,757654,7145,540461,1055,361,31,11,20,50,182,257,5,22
pytorch,2022/2/14,24569,1350,3.2,320,86652,75499,2910,5,465,339785,339785,0,0,0.6,15864,0,1,16189230,92704,0,1,10,4,0,0,0,0,63,16330,6709,1350,1690,16330,6518,py=539641,2446,42895,345727,112985,17.3,756152,7132,539641,1059,357,31,11,20,50,184,258,5,22
pytorch,2022/2/21,24631,1354,3.2,321,87193,75982,2910,5,465,341632,341632,0,0,0.6,15916,0,1,16272930,93027,0,1,10,4,0,0,0,0,63,16382,6735,1360,1695,16382,6529,py=542431,2457,43165,347622,113648,17.3,760101,7185,542431,1062,355,31,11,20,50,184,258,5,22
pytorch,2022/2/28,24990,1373,3.3,320,87796,76622,2915,5,466,343861,343861,0,0,0.6,15968,0,1,16369650,93640,0,1,10,4,0,0,0,0,63,16435,6770,1376,1676,16435,6550,py=545655,2472,43422,349885,114421,17.3,764720,7237,545655,1061,358,31,11,20,51,184,258,5,22
pytorch,2022/3/7,25192,1380,3.3,323,88254,77116,2910,5,465,345454,345454,0,0,0.6,16070,0,1,16464660,94072,0,1,10,4,0,0,0,0,63,16536,6811,1400,1686,16536,6576,py=548822,2482,43596,351512,114946,17.3,768735,7285,548822,1062,363,31,11,20,53,190,265,4,22
pytorch,2022/3/14,24238,1374,3.2,320,88294,77050,2910,5,465,345625,345625,0,0,0.6,16072,0,1,16474560,93842,0,1,10,4,0,0,0,0,63,16538,6805,1398,1689,16538,6583,py=549152,2481,43644,351689,114942,17.3,769090,7290,549152,1061,363,31,11,20,51,192,266,4,22
pytorch,2022/3/21,24714,1388,3.2,317,88517,77124,2973,5,475,346576,346576,0,0,0.6,16079,0,1,16507170,93924,0,1,10,4,0,0,0,0,63,16555,6820,1407,1704,16555,6561,py=550239,2486,43804,352668,115367,17.3,771002,7349,550239,1060,366,31,11,20,51,192,266,4,22
pytorch,2022/3/28,24949,1394,3.2,319,89263,77796,3218,5,504,349104,349104,0,0,0.6,16212,0,1,16625940,94501,0,1,10,4,0,0,0,0,84,16717,6867,1417,1712,16717,6637,py=554198,2512,44111,355253,116427,17.4,776648,7395,554198,1061,368,31,11,20,51,192,265,4,24
pytorch,2022/4/4,25005,1398,3.2,321,89718,78239,3228,5,505,350653,350653,0,0,0.6,16269,0,1,16693710,94699,0,1,10,4,0,0,0,0,85,16775,6887,1440,1717,16775,6646,py=556457,2521,44298,356837,117219,17.4,780146,7421,556457,1061,368,25,11,20,51,195,267,4,24
pytorch,2022/4/11,25086,1408,3.2,325,90175,78789,3268,5,510,352342,352342,0,0,0.6,16332,0,1,16792140,95202,0,1,10,4,0,0,0,0,86,16843,6918,1446,1730,16843,6663,py=559738,2532,44483,358549,117746,17.4,784500,7465,559738,1060,371,25,11,21,51,198,269,4,24
