project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
ray,2021/8/16,14026,716,4.2,256,35714,32710,970,5,140,146553,146553,0,0,0.3,3587,0,1,6628110,22807,0,7,95,5,0,0,0,0,29,3734,1351,497,774,3734,1083,py=220937,1715,16567,151428,60345,21.5,330315,2460,220937,117,65,6,5,0,33,65,227,10,43
ray,2021/8/23,14100,718,4.2,255,35908,32968,1005,5,144,147453,147453,0,0,0.3,3614,0,1,6668670,23018,0,7,95,5,0,0,0,0,32,3765,1362,497,781,3765,1093,py=222289,1720,16651,152349,60721,21.5,332282,2464,222289,117,65,7,5,1,32,67,227,10,44
ray,2021/8/30,14416,729,4.3,259,36304,33249,1017,5,146,149215,149215,0,0,0.3,3658,0,1,6748980,23187,0,7,95,5,0,0,0,0,33,3811,1379,500,788,3811,1111,py=224966,1736,16887,154154,61382,21.4,336305,2492,224966,117,66,7,5,1,32,63,227,10,46
ray,2021/9/6,14420,732,4.2,259,36702,33741,1012,5,145,150786,150786,0,0,0.3,3682,0,1,6819120,23408,0,7,95,5,0,0,0,0,33,3834,1393,507,795,3834,1106,py=227304,1747,17037,155796,62572,21.6,340302,2526,227304,119,67,6,5,1,32,62,230,10,46
ray,2021/9/13,13731,731,4,258,37132,34081,1137,5,151,152315,152315,0,0,0.3,3702,0,1,6881370,23552,0,7,95,5,0,0,0,0,33,3860,1401,508,807,3860,1111,py=229379,1758,17256,157394,63304,21.6,343626,2560,229379,120,66,6,5,1,31,62,225,10,46
ray,2021/9/20,13819,732,4,259,37417,34401,1143,5,153,153537,153537,0,0,0.3,3726,0,1,6938220,23681,0,7,95,5,0,0,0,0,34,3886,1400,515,817,3886,1120,py=231274,1764,17380,158636,63771,21.6,346379,2570,231274,122,66,6,5,1,30,62,230,10,47
ray,2021/9/27,13902,737,4,261,37636,34597,1148,5,154,154560,154560,0,0,0.3,3762,0,1,6985830,23875,0,7,95,5,0,0,0,0,34,3923,1418,519,823,3923,1129,py=232861,1771,17464,159688,64301,21.6,348806,2581,232861,122,64,6,5,1,29,64,227,10,47
ray,2021/10/4,13705,727,3.9,258,37902,34871,1173,5,157,155537,155537,0,0,0.3,3770,0,1,7030800,24193,0,7,95,5,0,0,0,0,36,3934,1421,513,835,3934,1129,py=234360,1779,17570,160684,64797,21.7,351219,2601,234360,121,63,7,5,1,31,63,228,9,47
ray,2021/10/11,13792,734,3.9,262,38238,35157,1153,5,156,156950,156950,0,0,0.3,3789,0,1,7098000,24311,0,8,105,5,0,0,0,0,34,3953,1432,514,843,3953,1130,py=236600,1789,17741,162122,65334,21.6,354595,2619,236600,122,65,6,5,0,29,63,233,9,47
ray,2021/10/18,14014,745,3.9,265,38869,35637,1143,5,158,159077,159077,0,0,0.3,3868,0,1,7184220,24734,0,8,105,5,0,0,0,0,34,4034,1447,524,890,4034,1139,py=239474,1821,18089,164354,66209,21.7,359366,2687,239474,122,66,6,5,0,29,64,233,9,47
ray,2021/10/25,14319,760,3.9,273,39495,36269,1159,5,162,161669,161669,0,0,0.3,3901,0,1,7302270,24981,0,10,125,5,0,0,0,0,34,4073,1458,528,908,4073,1145,py=243409,1825,18367,167036,67629,21.7,365646,2735,243409,122,67,7,5,0,31,64,235,9,47
ray,2021/11/1,14279,761,3.9,271,39893,36676,1182,5,167,163546,163546,0,0,0.3,3963,0,1,7391910,25209,0,10,125,5,0,0,0,0,34,4140,1485,547,921,4140,1153,py=246397,1843,18562,168966,68600,21.8,370274,2758,246397,122,67,7,5,0,30,63,234,9,47
ray,2021/11/8,14554,768,3.9,274,40269,37099,1197,5,170,165343,165343,0,0,0.3,4033,0,1,7485870,25523,0,10,125,5,0,0,0,0,34,4213,1522,566,931,4213,1160,py=249529,1862,18718,170841,69622,21.8,374908,2781,249529,122,66,6,5,0,27,51,234,9,47
ray,2021/11/15,14566,770,3.8,275,40769,37611,1222,5,174,167297,167297,0,0,0.3,4068,0,1,7571340,25666,0,10,125,5,0,0,0,0,34,4252,1537,586,934,4252,1161,py=252378,1884,18952,172867,70557,21.8,379375,2817,252378,122,66,6,5,0,28,51,235,9,47
ray,2021/11/22,14764,774,3.9,273,40998,37792,1244,5,177,168377,168377,0,0,0.3,4086,0,1,7617840,25773,0,10,125,5,0,0,0,0,35,4273,1543,591,942,4273,1162,py=253928,1889,19065,173948,70724,21.8,381512,2840,253928,122,66,6,5,0,28,51,235,9,47
ray,2021/11/29,15422,778,4,273,41308,38097,1224,5,175,169400,169400,0,0,0.3,4101,0,1,7667040,25929,0,10,125,5,0,0,0,0,33,4286,1545,594,947,4286,1167,py=255568,1895,19206,174991,71079,21.8,383791,2879,255568,120,67,5,5,0,29,51,234,9,47
