project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
streamlit,2021/8/16,618,30,1.1,18,4244,2894,440,5,39,19853,19853,0,0,0.4,586,0,1,864870,3868,0,0,0,1,0,0,0,0,5,625,202,29,240,625,149,py=28829,421,2480,21356,14437,33.4,53905,333,28829,5,8,4,0,3,7,0,3,27,2
streamlit,2021/8/23,618,30,1.1,18,4235,2885,440,5,39,19867,19867,0,0,0.4,581,0,1,865920,3853,0,0,0,1,0,0,0,0,5,620,199,29,241,620,146,py=28864,424,2477,21370,14412,33.3,53913,332,28864,5,8,4,0,3,7,0,3,27,2
streamlit,2021/8/30,618,30,1.1,18,4277,2932,440,5,39,20033,20033,0,0,0.4,583,0,1,875370,3869,0,0,0,1,0,0,0,0,5,622,199,29,243,622,146,py=29179,426,2495,21550,14572,33.3,54468,334,29179,5,8,4,0,3,7,0,3,27,2
streamlit,2021/9/6,618,30,1.1,18,4277,2932,440,5,39,20033,20033,0,0,0.4,583,0,1,875370,3869,0,0,0,1,0,0,0,0,5,622,199,29,243,622,146,py=29179,426,2495,21550,14572,33.3,54468,334,29179,5,8,4,0,3,7,0,3,27,2
streamlit,2021/9/13,1586,59,2.8,29,4551,3108,440,5,39,21207,21207,0,0,0.4,602,0,1,923730,3949,0,0,0,1,0,0,0,0,5,641,202,37,250,641,147,py=30791,442,2676,22786,15211,33.1,57346,356,30791,6,8,0,0,3,7,0,3,27,2
streamlit,2021/9/20,1586,59,2.7,29,4590,3139,440,5,39,21344,21344,0,0,0.4,607,0,1,931830,3984,0,0,0,1,0,0,0,0,5,646,204,37,253,646,147,py=31061,443,2698,22925,15240,32.9,57682,358,31061,6,8,0,0,3,7,0,3,27,2
streamlit,2021/9/27,1586,59,2.7,29,4590,3139,440,5,39,21344,21344,0,0,0.4,607,0,1,931830,3984,0,0,0,1,0,0,0,0,5,646,204,37,253,646,147,py=31061,443,2698,22925,15240,32.9,57682,358,31061,6,8,0,0,3,7,0,3,27,2
streamlit,2021/10/4,1390,52,2.4,24,4543,3111,440,5,39,21134,21134,0,0,0.4,592,0,1,924210,3898,0,0,0,1,0,0,0,0,5,631,201,37,243,631,145,py=30807,444,2662,22705,15149,33,57244,359,30807,6,8,6,0,3,7,0,2,27,2
streamlit,2021/10/11,1390,52,2.4,24,4551,3115,440,5,39,21190,21190,0,0,0.4,591,0,1,928350,3900,0,0,0,1,0,0,0,0,5,630,200,37,243,630,145,py=30945,444,2670,22766,15156,32.9,57417,359,30945,6,8,6,0,3,7,0,2,27,2
streamlit,2021/10/18,1390,52,2.5,24,4548,3105,440,5,39,20945,20945,0,0,0.4,576,0,1,916980,3824,0,0,0,1,0,0,0,0,5,615,186,37,242,615,145,py=30566,397,2674,22522,15047,33,56729,358,30566,6,8,6,0,3,7,0,2,27,2
streamlit,2021/10/25,1390,52,2.4,24,4552,3106,440,5,39,20967,20967,0,0,0.4,576,0,1,918060,3824,0,0,0,1,0,0,0,0,5,615,186,37,242,615,145,py=30602,397,2677,22544,15051,33,56780,358,30602,6,8,6,0,3,7,0,2,27,2
streamlit,2021/11/1,1390,52,2.4,24,4626,3127,440,5,39,21341,21341,0,0,0.4,575,0,1,935910,3804,0,0,0,1,0,0,0,0,5,614,188,38,242,614,141,py=31197,400,2738,22933,15126,32.7,57620,373,31197,6,8,0,0,3,7,0,2,27,2
streamlit,2021/11/8,1390,52,2.4,24,4628,3128,440,5,39,21341,21341,0,0,0.4,572,0,1,936330,3799,0,0,0,1,0,0,0,0,5,611,186,37,242,611,141,py=31211,399,2737,22933,15133,32.7,57635,373,31211,6,8,0,0,3,7,0,2,27,2
streamlit,2021/11/15,1390,52,2.4,24,4636,3134,440,5,39,21396,21396,0,0,0.4,573,0,1,939360,3807,0,0,0,1,0,0,0,0,5,612,186,37,243,612,141,py=31312,400,2742,22989,15161,32.6,57779,373,31312,6,8,0,0,3,7,0,2,27,2
streamlit,2021/11/22,1390,52,2.4,24,4637,3135,440,5,39,21412,21412,0,0,0.4,573,0,1,939930,3808,0,0,0,1,0,0,0,0,5,612,186,37,243,612,141,py=31331,400,2743,23006,15163,32.6,57807,374,31331,6,8,0,0,3,7,0,2,27,2
streamlit,2021/11/29,1390,52,2.4,24,4637,3135,440,5,39,21415,21415,0,0,0.4,575,0,1,940020,3818,0,0,0,1,0,0,0,0,5,614,186,37,243,614,143,py=31334,400,2743,23009,15166,32.6,57812,374,31334,6,8,0,0,3,7,0,2,27,2
streamlit,2021/12/6,1390,52,2.4,24,4637,3135,440,5,39,21416,21416,0,0,0.4,575,0,1,940110,3818,0,0,0,1,0,0,0,0,5,614,186,37,243,614,143,py=31337,400,2743,23010,15187,32.6,57836,374,31337,6,8,0,0,3,7,0,2,27,2
streamlit,2021/12/13,1390,52,2.4,24,4664,3141,440,5,39,21567,21567,0,0,0.4,579,0,1,946800,3863,0,0,0,1,0,0,0,0,5,618,186,38,245,618,144,py=31560,402,2765,23181,15326,32.7,58273,376,31560,7,8,0,0,4,7,0,2,27,2
streamlit,2021/12/20,1390,52,2.4,24,4665,3142,440,5,39,21570,21570,0,0,0.4,579,0,1,946890,3863,0,0,0,1,0,0,0,0,5,618,186,38,245,618,144,py=31563,402,2765,23184,15326,32.7,58277,376,31563,7,8,0,0,4,7,0,2,27,2
streamlit,2021/12/27,1390,52,2.4,24,4665,3142,440,5,39,21578,21578,0,0,0.4,579,0,1,947100,3863,0,0,0,1,0,0,0,0,5,618,186,38,245,618,144,py=31570,403,2765,23192,15336,32.7,58304,376,31570,7,8,0,0,4,7,0,2,27,2
