project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
transformers,2021/8/16,125584,8170,27.6,505,43460,43471,609,5,97,165586,165586,0,0,0.4,3401,0,1,9110190,33573,0,1,10,4,0,0,0,0,34,3499,1435,123,1201,3499,706,py=303673,1040,16238,170149,76943,20.2,455501,4266,303673,386,60,2,12,9,0,151,66,9,23
transformers,2021/8/23,126097,8226,27.5,513,43661,43591,632,5,102,166649,166649,0,0,0.4,3414,0,1,9177840,33683,0,1,10,4,0,0,0,0,34,3517,1440,126,1206,3517,711,py=305928,1045,16336,171233,77342,20.2,458626,4272,305928,386,59,2,12,8,0,137,66,9,21
transformers,2021/8/30,133007,8721,27.6,540,45521,45333,650,5,106,174190,174190,0,0,0.4,3593,0,1,9592110,35099,0,1,10,4,0,0,0,0,34,3700,1508,126,1269,3700,763,py=319737,1083,17065,178916,80218,20.1,481850,4449,319737,399,61,2,13,9,0,154,77,9,21
transformers,2021/9/6,133571,8813,27.6,544,45709,45682,627,5,103,174939,174939,0,0,0.4,3609,0,1,9638970,35328,0,1,10,4,0,0,0,0,32,3713,1512,126,1276,3713,767,py=321299,1087,17066,179686,80569,20,484017,4464,321299,399,61,2,13,9,0,154,77,9,21
transformers,2021/9/13,135044,8986,27.8,549,45998,45771,615,5,101,175919,175919,0,0,0.4,3618,0,1,9692070,35249,0,1,10,4,0,0,0,0,32,3720,1510,127,1272,3720,779,py=323069,1089,17232,180693,80895,20,486442,4486,323069,400,60,2,13,9,0,153,76,9,21
transformers,2021/9/20,138041,9217,27.9,558,46936,46787,607,5,102,179306,179306,0,0,0.4,3652,0,1,9859890,35914,0,1,10,4,0,0,0,0,33,3755,1525,130,1283,3755,784,py=328663,1107,17565,184150,82174,20,494625,4575,328663,379,60,2,11,8,0,137,75,9,22
transformers,2021/9/27,138005,9217,27.9,558,47024,46946,607,5,102,179604,179604,0,0,0.4,3654,0,1,9871770,35984,0,1,10,4,0,0,0,0,33,3757,1526,130,1284,3757,784,py=329059,1109,17574,184454,82284,20,495204,4578,329059,379,60,2,11,8,0,137,75,9,22
transformers,2021/10/4,138188,9233,27.7,560,47478,47492,612,5,103,180978,180978,0,0,0.4,3683,0,1,9943260,36298,0,1,10,4,0,0,0,0,33,3787,1533,133,1297,3787,791,py=331442,1116,17695,185862,82652,20,498468,4592,331442,380,61,2,11,10,2,138,73,9,22
transformers,2021/10/11,144223,9494,28.2,575,48772,48872,630,5,106,185648,185648,0,0,0.4,3775,0,1,10193640,37353,0,1,10,4,0,0,0,0,34,3882,1578,135,1326,3882,809,py=339788,1140,18093,190634,84833,20,511120,4682,339788,382,61,2,12,10,2,138,74,9,22
transformers,2021/10/18,144406,9510,28.2,576,48988,49114,630,5,106,186226,186226,0,0,0.4,3796,0,1,10221030,37510,0,1,10,4,0,0,0,0,34,3903,1580,135,1335,3903,819,py=340701,1143,18142,191233,84981,20,512403,4700,340701,382,61,2,12,10,2,138,74,9,22
transformers,2021/10/25,149270,9998,28.5,590,50266,50676,643,5,109,191007,191007,0,0,0.4,3926,0,1,10446630,38780,0,1,10,4,0,0,0,0,34,4036,1625,139,1397,4036,841,py=348221,1163,18555,196107,86721,19.9,523484,4798,348221,383,62,2,12,8,2,138,74,9,22
transformers,2021/11/1,154035,10117,29.1,594,50747,51267,638,5,108,192962,192962,0,0,0.4,4001,0,1,10552140,39383,0,1,10,4,0,0,0,0,34,4110,1637,141,1423,4110,875,py=351738,1168,18687,198094,87739,20,528721,4818,351738,384,62,2,12,8,2,138,74,9,22
transformers,2021/11/8,154124,10204,28.9,599,51179,51670,658,5,112,194694,194694,0,0,0.4,4026,0,1,10648920,39573,0,1,10,4,0,0,0,0,34,4139,1650,144,1426,4139,885,py=354964,1173,18842,199853,88442,19.9,533405,4858,354964,384,62,2,12,9,2,138,74,9,22
transformers,2021/11/15,158298,10664,29.1,611,52832,52932,663,5,113,199491,199491,0,0,0.4,5277,0,1,10864350,46249,0,1,10,4,0,0,0,0,34,5391,2847,144,1447,5391,919,py=362145,1192,19768,204708,89930,19.9,544032,4924,362145,396,64,2,14,9,2,153,75,9,22
transformers,2021/11/22,158247,10662,29.1,610,52888,52958,668,5,114,199670,199670,0,0,0.4,5309,0,1,10872120,46403,0,1,10,4,0,0,0,0,34,5424,2881,144,1446,5424,919,py=362404,1194,19805,204892,90044,19.9,544484,4926,362404,396,64,2,14,9,2,153,75,9,22
