project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
aiohttp,2022/11/7,1253,78,2.2,18,6596,4073,99,4,15,30094,30094,0,0,0.3,565,0,1,1284030,4177,0,0,0,1,0,0,0,0,10,580,257,10,144,580,159,py=42801,131,4389,30514,2976,6.5,57360,361,42801,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/11/14,1175,66,2.1,19,6563,4049,81,4,12,29966,29966,0,0,0.3,549,0,1,1282980,3963,0,0,0,1,0,0,0,0,2,561,248,12,142,561,157,py=42766,130,4361,30380,2980,6.5,57285,370,42766,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/11/21,1253,78,2.2,18,6610,4087,99,4,15,30130,30130,0,0,0.3,565,0,1,1286310,4178,0,0,0,1,0,0,0,0,10,580,257,10,144,580,159,py=42877,131,4394,30551,2986,6.5,57463,361,42877,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/11/28,1171,66,2,19,6565,4050,81,4,12,29968,29968,0,0,0.3,549,0,1,1282920,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42764,130,4363,30382,2980,6.5,57284,370,42764,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/12/5,1173,66,2,19,6571,4055,81,4,12,30016,30016,0,0,0.3,549,0,1,1284960,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42832,130,4367,30430,2981,6.5,57374,370,42832,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/12/12,1173,66,2,19,6571,4055,81,4,12,30016,30016,0,0,0.3,549,0,1,1284960,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42832,130,4367,30430,2981,6.5,57374,370,42832,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/12/19,1173,66,2,19,6571,4055,81,4,12,30016,30016,0,0,0.3,549,0,1,1284780,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42826,130,4367,30430,2981,6.5,57368,370,42826,0,0,0,0,0,0,0,0,0,0
aiohttp,2022/12/26,1173,66,2,19,6571,4055,81,4,12,30016,30016,0,0,0.3,549,0,1,1284780,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42826,130,4367,30430,2981,6.5,57368,370,42826,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/1/2,1173,66,2,19,6571,4055,81,4,12,30016,30016,0,0,0.3,549,0,1,1284810,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42827,130,4367,30430,2981,6.5,57369,370,42827,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/1/9,1173,66,2,19,6571,4055,81,4,12,30016,30016,0,0,0.3,549,0,1,1283970,3971,0,0,0,1,0,0,0,0,2,561,248,12,143,561,156,py=42799,130,4367,30430,2981,6.5,57332,370,42799,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/1/16,1203,65,2.1,18,6599,4062,99,4,15,30108,30108,0,0,0.3,564,0,1,1282650,4184,0,0,0,1,0,0,0,0,10,579,257,10,145,579,157,py=42755,131,4396,30528,2982,6.5,57338,361,42755,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/1/23,1203,65,2.1,18,6599,4062,99,4,15,30108,30108,0,0,0.3,564,0,1,1282650,4184,0,0,0,1,0,0,0,0,10,579,257,10,145,579,157,py=42755,131,4396,30528,2982,6.5,57338,361,42755,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/1/30,1203,65,2.1,18,6599,4062,99,4,15,30108,30108,0,0,0.3,564,0,1,1282650,4184,0,0,0,1,0,0,0,0,10,579,257,10,145,579,157,py=42755,131,4396,30528,2982,6.5,57338,361,42755,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/2/6,1279,80,2.2,18,6552,4057,94,4,14,29873,29873,0,0,0.3,568,0,1,1271970,4168,0,0,0,1,0,0,0,0,10,582,260,11,144,582,157,py=42399,131,4352,30295,2976,6.6,56885,360,42399,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/2/13,1173,66,2,19,6611,4058,86,4,13,30216,30216,0,0,0.3,556,0,1,1291260,4002,0,0,0,1,0,0,0,0,2,569,254,13,143,569,157,py=43042,130,4404,30633,3003,6.5,57576,371,43042,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/2/20,1173,66,2,19,6611,4058,86,4,13,30212,30212,0,0,0.3,556,0,1,1291080,4002,0,0,0,1,0,0,0,0,2,569,254,13,143,569,157,py=43036,130,4404,30629,3003,6.5,57570,371,43036,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/2/27,1173,66,2,19,6613,4058,86,4,13,30224,30224,0,0,0.3,556,0,1,1291470,4002,0,0,0,1,0,0,0,0,2,569,254,13,143,569,157,py=43049,130,4406,30643,3027,6.6,57611,371,43049,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/3/6,1173,66,2,19,6632,4060,86,4,13,30264,30264,0,0,0.3,556,0,1,1294620,4002,0,0,0,1,0,0,0,0,2,569,254,13,143,569,157,py=43154,131,4418,30683,3027,6.6,57733,374,43154,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/3/13,1173,66,2,19,6647,4065,86,4,13,30302,30302,0,0,0.3,558,0,1,1298220,4001,0,0,0,1,0,0,0,0,2,571,255,15,142,571,157,py=43274,131,4426,30729,3047,6.6,57898,374,43274,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/3/20,1173,66,2,19,6647,4065,86,4,13,30302,30302,0,0,0.3,558,0,1,1298220,4001,0,0,0,1,0,0,0,0,2,571,255,15,142,571,157,py=43274,131,4426,30729,3047,6.6,57898,374,43274,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/3/27,1173,66,2,19,6647,4065,86,4,13,30302,30302,0,0,0.3,558,0,1,1298220,4001,0,0,0,1,0,0,0,0,2,571,255,15,142,571,157,py=43274,131,4426,30729,3047,6.6,57898,374,43274,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/4/3,1203,65,2.1,18,6656,4072,104,4,16,30370,30370,0,0,0.3,573,0,1,1294140,4214,0,0,0,1,0,0,0,0,10,589,264,13,144,589,158,py=43138,131,4443,30803,3050,6.6,57885,362,43138,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/4/10,1173,66,2,19,6647,4065,86,4,13,30302,30302,0,0,0.3,558,0,1,1298220,4001,0,0,0,1,0,0,0,0,2,571,255,15,142,571,157,py=43274,131,4426,30729,3047,6.6,57898,374,43274,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/4/17,1203,65,2.1,18,6677,4075,104,4,16,30418,30418,0,0,0.3,573,0,1,1297650,4214,0,0,0,1,0,0,0,0,10,589,264,13,144,589,158,py=43255,132,4456,30852,3051,6.6,58023,365,43255,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/4/24,1173,66,2,19,6667,4068,86,4,13,30373,30373,0,0,0.3,558,0,1,1301130,4003,0,0,0,1,0,0,0,0,2,571,255,15,142,571,157,py=43371,131,4443,30801,3049,6.6,58039,374,43371,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/5/1,1203,65,2.1,18,6696,4078,104,4,16,30481,30481,0,0,0.3,573,0,1,1300260,4217,0,0,0,1,0,0,0,0,10,589,264,13,144,589,158,py=43342,132,4472,30915,3051,6.6,58150,365,43342,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/5/8,1203,65,2.1,18,6690,4076,104,4,16,30459,30459,0,0,0.3,573,0,1,1301940,4217,0,0,0,1,0,0,0,0,10,589,264,13,144,589,158,py=43398,132,4468,30893,3046,6.6,58185,364,43398,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/5/15,1173,66,2,19,6662,4068,86,4,13,30347,30347,0,0,0.3,557,0,1,1302660,3999,0,0,0,1,0,0,0,0,2,570,255,15,142,570,156,py=43422,132,4438,30777,3042,6.5,58058,373,43422,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/5/22,1173,66,2,19,6663,4069,86,4,13,30346,30346,0,0,0.3,556,0,1,1302690,3994,0,0,0,1,0,0,0,0,2,569,255,15,141,569,156,py=43423,132,4438,30776,3040,6.5,58059,373,43423,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/5/29,1173,66,2,19,6663,4069,86,4,13,30346,30346,0,0,0.3,556,0,1,1302690,3994,0,0,0,1,0,0,0,0,2,569,255,15,141,569,156,py=43423,132,4438,30776,3040,6.5,58059,373,43423,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/6/5,1173,66,2,19,6663,4069,86,4,13,30346,30346,0,0,0.3,556,0,1,1302690,3994,0,0,0,1,0,0,0,0,2,569,255,15,141,569,156,py=43423,132,4438,30776,3040,6.5,58059,373,43423,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/6/12,1173,66,2,19,6663,4069,86,4,13,30346,30346,0,0,0.3,556,0,1,1302690,3994,0,0,0,1,0,0,0,0,2,569,255,15,141,569,156,py=43423,132,4438,30776,3040,6.5,58059,373,43423,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/6/19,1173,66,2,19,6663,4069,86,4,13,30346,30346,0,0,0.3,556,0,1,1302690,3994,0,0,0,1,0,0,0,0,2,569,255,15,141,569,156,py=43423,132,4438,30776,3040,6.5,58059,373,43423,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/6/26,1173,66,2,19,6663,4069,86,4,13,30346,30346,0,0,0.3,556,0,1,1302690,3994,0,0,0,1,0,0,0,0,2,569,255,15,141,569,156,py=43423,132,4438,30776,3040,6.5,58059,373,43423,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/7/3,1203,65,2.1,18,6676,4048,99,4,15,30401,30401,0,0,0.3,574,0,1,1300350,4212,0,0,0,1,0,0,0,0,10,589,268,12,143,589,156,py=43345,133,4469,30838,3022,6.5,58109,364,43345,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/7/10,1203,65,2.1,18,6676,4048,99,4,15,30401,30401,0,0,0.3,574,0,1,1300350,4212,0,0,0,1,0,0,0,0,10,589,268,12,143,589,156,py=43345,133,4469,30838,3022,6.5,58109,364,43345,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/7/17,1203,65,2.1,18,6680,4050,99,4,15,30428,30428,0,0,0.3,571,0,1,1301490,4209,0,0,0,1,0,0,0,0,10,586,265,12,143,586,156,py=43383,133,4472,30865,3022,6.5,58153,365,43383,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/7/24,1203,65,2.1,18,6680,4050,99,4,15,30426,30426,0,0,0.3,571,0,1,1300800,4209,0,0,0,1,0,0,0,0,10,586,265,12,143,586,156,py=43360,133,4472,30863,3018,6.5,58130,365,43360,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/7/31,1175,66,2,19,6643,4042,81,4,12,30324,30324,0,0,0.3,555,0,1,1302360,3992,0,0,0,1,0,0,0,0,2,567,254,15,141,567,155,py=43412,132,4437,30754,3033,6.5,58037,374,43412,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/8/7,1175,66,2,19,6646,4042,81,4,12,30304,30304,0,0,0.3,554,0,1,1302480,3990,0,0,0,1,0,0,0,0,2,566,254,15,141,566,154,py=43416,132,4438,30734,3031,6.5,58038,374,43416,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/8/14,1268,78,2.2,19,6654,4044,81,4,12,30355,30355,0,0,0.3,556,0,1,1306560,3995,0,0,0,1,0,0,0,0,2,568,254,15,141,568,156,py=43552,132,4444,30785,3031,6.5,58201,374,43552,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/8/21,1296,77,2.2,18,6690,4051,99,4,15,30474,30474,0,0,0.3,573,0,1,1305420,4214,0,0,0,1,0,0,0,0,10,588,265,12,143,588,158,py=43514,133,4480,30911,3019,6.5,58316,365,43514,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/8/28,1268,78,2.2,19,6658,4052,81,4,12,30344,30344,0,0,0.3,556,0,1,1306440,3994,0,0,0,1,0,0,0,0,2,568,253,16,141,568,156,py=43548,132,4442,30774,3031,6.5,58199,374,43548,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/9/4,1279,80,2.2,18,6563,4059,94,4,14,29913,29913,0,0,0.3,565,0,1,1274610,4164,0,0,0,1,0,0,0,0,10,579,256,12,144,579,157,py=42487,131,4358,30335,2981,6.6,56993,360,42487,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/9/11,1268,78,2.2,19,6663,4053,81,4,12,30370,30370,0,0,0.3,556,0,1,1309380,3995,0,0,0,1,0,0,0,0,2,568,253,16,141,568,156,py=43646,132,4446,30800,3039,6.5,58314,374,43646,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/9/18,1268,78,2.2,19,6663,4056,81,4,12,30379,30379,0,0,0.3,556,0,1,1309650,3995,0,0,0,1,0,0,0,0,2,568,253,16,141,568,156,py=43655,132,4446,30809,3039,6.5,58324,374,43655,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/9/25,1296,77,2.2,18,6706,4068,99,4,15,30528,30528,0,0,0.3,572,0,1,1310160,4209,0,0,0,1,0,0,0,0,10,587,264,13,142,587,158,py=43672,133,4486,30965,3029,6.5,58503,366,43672,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/10/2,1279,80,2.2,18,6594,4085,94,4,14,29973,29973,0,0,0.3,570,0,1,1279320,4147,0,0,0,1,0,0,0,0,10,584,256,12,140,584,166,py=42644,131,4371,30398,3000,6.6,57197,360,42644,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/10/9,1268,78,2.2,19,6706,4083,81,4,12,30501,30501,0,0,0.3,560,0,1,1317060,3973,0,0,0,1,0,0,0,0,2,572,253,16,136,572,165,py=43902,132,4469,30935,3064,6.5,58653,374,43902,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/10/16,1296,77,2.2,18,6757,4101,99,4,15,30666,30666,0,0,0.3,577,0,1,1318290,4199,0,0,0,1,0,0,0,0,10,592,265,13,137,592,167,py=43943,133,4514,31107,3058,6.5,58862,366,43943,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/10/23,1268,78,2.2,19,6719,4090,81,4,12,30551,30551,0,0,0.3,561,0,1,1319490,3978,0,0,0,1,0,0,0,0,2,573,253,16,136,573,166,py=43983,132,4479,30986,3070,6.5,58756,375,43983,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/10/30,1418,83,2.4,19,6816,4126,114,4,17,31026,31026,0,0,0.3,586,0,1,1332810,4251,0,0,0,1,0,0,0,0,10,603,273,13,138,603,169,py=44427,133,4554,31484,3103,6.5,59497,367,44427,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/11/6,1422,86,2.4,21,6789,4123,91,4,13,30866,30866,0,0,0.3,570,0,1,1334370,4022,0,0,0,1,0,0,0,0,2,583,261,16,136,583,168,py=44479,132,4528,31317,3122,6.6,59428,376,44479,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/11/13,1422,86,2.4,21,6810,4123,91,4,13,30912,30912,0,0,0.3,571,0,1,1335810,4030,0,0,0,1,0,0,0,0,2,584,262,16,136,584,168,py=44527,132,4544,31364,3129,6.6,59507,377,44527,0,0,0,0,0,0,0,0,0,0
aiohttp,2023/11/20,1422,86,2.4,21,6823,4129,91,4,13,30976,30976,0,0,0.3,573,0,1,1337880,4041,0,0,0,1,0,0,0,0,2,586,262,16,137,586,169,py=44596,131,4551,31431,3171,6.6,59634,377,44596,0,0,0,0,0,0,0,0,0,0
