project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
aws-cli,2022/10/31,2585,80,2.5,31,9187,4520,55,4,5,42980,42980,0,0,0.1,629,0,1,2183640,3274,0,11,600,5,0,0,0,0,19,645,159,22,171,645,274,py=72788,591,6316,43668,12946,15.1,101927,1139,72788,102,33,0,0,42,8,0,24,12,154
aws-cli,2022/11/7,2585,80,2.5,31,9188,4522,55,4,5,42991,42991,0,0,0.1,629,0,1,2184030,3274,0,11,600,5,0,0,0,0,19,645,159,22,171,645,274,py=72801,591,6317,43679,12946,15.1,101942,1139,72801,102,33,0,0,42,8,0,24,12,154
aws-cli,2022/11/14,2585,80,2.5,31,9188,4522,55,4,5,42991,42991,0,0,0.1,629,0,1,2184030,3274,0,11,600,5,0,0,0,0,19,645,159,22,171,645,274,py=72801,591,6317,43679,12946,15.1,101942,1139,72801,102,33,0,0,42,8,0,24,12,154
aws-cli,2022/11/21,2585,80,2.5,31,9195,4523,55,4,5,43023,43023,0,0,0.1,629,0,1,2185560,3274,0,11,600,5,0,0,0,0,19,645,159,22,171,645,274,py=72852,593,6323,43711,12976,15.1,102045,1141,72852,102,33,0,0,42,8,0,24,12,154
aws-cli,2022/11/28,2585,80,2.5,31,9188,4522,55,4,5,42991,42991,0,0,0.1,629,0,1,2184030,3274,0,11,600,5,0,0,0,0,19,645,159,22,171,645,274,py=72801,591,6317,43679,12946,15.1,101942,1139,72801,102,33,0,0,42,8,0,24,12,154
aws-cli,2022/12/5,2585,80,2.5,31,9198,4528,55,4,5,43022,43022,0,0,0.2,630,0,1,2185380,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72846,591,6323,43713,12961,15.1,102012,1139,72846,100,33,1,0,41,8,0,24,12,154
aws-cli,2022/12/12,2585,80,2.5,31,9205,4529,55,4,5,43054,43054,0,0,0.2,630,0,1,2186910,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72897,593,6329,43745,12991,15.1,102115,1141,72897,100,33,1,0,41,8,0,24,12,155
aws-cli,2022/12/19,2585,80,2.5,31,9205,4529,55,4,5,43054,43054,0,0,0.2,630,0,1,2186970,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72899,593,6329,43745,12991,15.1,102117,1141,72899,100,33,1,0,41,8,0,24,12,155
aws-cli,2022/12/26,2585,80,2.5,31,9205,4529,55,4,5,43054,43054,0,0,0.2,630,0,1,2186970,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72899,593,6329,43745,12991,15.1,102117,1141,72899,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/1/2,2585,80,2.5,31,9205,4529,55,4,5,43054,43054,0,0,0.2,630,0,1,2186970,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72899,593,6329,43745,12991,15.1,102117,1141,72899,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/1/9,2585,80,2.5,31,9209,4532,55,4,5,43076,43076,0,0,0.2,630,0,1,2189010,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72967,593,6331,43768,12991,15.1,102182,1141,72967,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/1/16,2585,80,2.5,31,9209,4532,55,4,5,43076,43076,0,0,0.2,630,0,1,2189010,3289,0,11,600,5,0,0,0,0,19,646,159,22,172,646,274,py=72967,593,6331,43768,12991,15.1,102182,1141,72967,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/1/23,2626,84,2.6,31,9212,4533,55,4,5,43101,43101,0,0,0.2,632,0,1,2190690,3299,0,11,600,5,0,0,0,0,19,648,159,22,172,648,276,py=73023,593,6333,43793,12996,15.1,102251,1141,73023,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/1/30,2626,84,2.6,31,9212,4533,55,4,5,43101,43101,0,0,0.2,632,0,1,2190690,3299,0,11,600,5,0,0,0,0,19,648,159,22,172,648,276,py=73023,593,6333,43793,12996,15.1,102251,1141,73023,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/2/6,2626,84,2.6,31,9212,4533,55,4,5,43101,43101,0,0,0.2,632,0,1,2190690,3299,0,11,600,5,0,0,0,0,19,648,159,22,172,648,276,py=73023,593,6333,43793,12996,15.1,102251,1141,73023,100,33,1,0,41,8,0,24,12,155
aws-cli,2023/2/13,2626,84,2.6,31,9215,4541,55,4,5,43108,43108,0,0,0.2,633,0,1,2192460,3309,0,11,600,5,0,0,0,0,19,649,159,22,172,649,277,py=73082,593,6333,43800,12996,15.1,102313,1141,73082,100,33,1,0,41,8,0,24,12,154
aws-cli,2023/2/20,2626,84,2.6,31,9215,4541,55,4,5,43108,43108,0,0,0.2,633,0,1,2192460,3309,0,11,600,5,0,0,0,0,19,649,159,22,172,649,277,py=73082,593,6333,43800,12996,15.1,102313,1141,73082,100,33,1,0,41,8,0,24,12,154
aws-cli,2023/2/27,2626,84,2.6,31,9219,4541,55,4,5,43139,43139,0,0,0.2,633,0,1,2193720,3309,0,11,600,5,0,0,0,0,19,649,159,22,172,649,277,py=73124,593,6337,43831,12997,15.1,102360,1141,73124,100,33,1,0,41,8,0,24,12,154
aws-cli,2023/3/6,2626,84,2.6,31,9224,4542,55,4,5,43165,43165,0,0,0.2,634,0,1,2195220,3324,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73174,593,6341,43857,12997,15.1,102419,1141,73174,100,32,1,0,41,8,0,22,12,155
aws-cli,2023/3/13,2626,84,2.6,31,9224,4542,55,4,5,43165,43165,0,0,0.2,634,0,1,2195220,3324,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73174,593,6341,43857,12997,15.1,102419,1141,73174,100,32,1,0,41,8,0,22,12,155
aws-cli,2023/3/20,2626,84,2.6,31,9227,4543,55,4,5,43175,43175,0,0,0.2,635,0,1,2195880,3339,0,11,600,5,0,0,0,0,19,651,161,22,172,651,277,py=73196,593,6343,43867,12998,15.1,102445,1141,73196,100,32,1,0,41,8,0,22,12,154
aws-cli,2023/3/27,2626,84,2.6,31,9227,4543,55,4,5,43175,43175,0,0,0.2,635,0,1,2195880,3339,0,11,600,5,0,0,0,0,19,651,161,22,172,651,277,py=73196,593,6343,43867,12998,15.1,102445,1141,73196,100,32,1,0,41,8,0,22,12,154
aws-cli,2023/4/3,2682,86,2.6,32,9233,4547,55,4,5,43195,43195,0,0,0.2,635,0,1,2197590,3339,0,11,600,5,0,0,0,0,19,651,161,22,172,651,277,py=73253,593,6348,43887,12998,15.1,102507,1141,73253,100,32,1,0,41,8,0,22,12,155
aws-cli,2023/4/10,2682,86,2.6,32,9234,4548,55,4,5,43198,43198,0,0,0.2,635,0,1,2197710,3339,0,11,600,5,0,0,0,0,19,651,161,22,172,651,277,py=73257,593,6348,43890,12999,15.1,102513,1141,73257,100,32,1,0,41,8,0,22,12,155
aws-cli,2023/4/17,2682,86,2.6,32,9235,4545,55,4,5,43208,43208,0,0,0.2,634,0,1,2199120,3334,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73304,594,6350,43900,13008,15.1,102576,1142,73304,100,32,1,0,41,8,0,22,12,155
aws-cli,2023/4/24,2782,90,2.7,36,9239,4546,55,4,5,43284,43284,0,0,0.2,634,0,1,2202420,3334,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73414,598,6353,43974,13034,15.1,102743,1146,73414,99,32,1,0,40,8,0,22,12,155
aws-cli,2023/5/1,2782,90,2.7,36,9239,4546,55,4,5,43284,43284,0,0,0.2,634,0,1,2202420,3334,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73414,598,6353,43974,13034,15.1,102743,1146,73414,99,32,1,0,40,8,0,22,12,155
aws-cli,2023/5/8,2782,90,2.7,36,9239,4546,55,4,5,43284,43284,0,0,0.2,634,0,1,2202420,3334,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73414,598,6353,43974,13034,15.1,102743,1146,73414,99,32,1,0,40,8,0,22,12,155
aws-cli,2023/5/15,2782,90,2.7,36,9239,4546,55,4,5,43284,43284,0,0,0.2,634,0,1,2202420,3334,0,11,600,5,0,0,0,0,19,650,160,22,172,650,277,py=73414,598,6353,43974,13034,15.1,102743,1146,73414,99,32,1,0,40,8,0,22,12,155
aws-cli,2023/5/22,2782,90,2.7,36,9259,4547,55,4,5,43420,43420,0,0,0.2,644,0,1,2210880,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73696,603,6372,44111,13080,15.1,103137,1152,73696,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/5/29,2782,90,2.7,36,9259,4547,55,4,5,43420,43420,0,0,0.2,644,0,1,2210880,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73696,603,6372,44111,13080,15.1,103137,1152,73696,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/6/5,2782,90,2.7,36,9260,4547,55,4,5,43426,43426,0,0,0.2,644,0,1,2212620,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73754,603,6373,44117,13080,15.1,103198,1152,73754,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/6/12,2782,90,2.7,36,9260,4547,55,4,5,43426,43426,0,0,0.2,644,0,1,2212620,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73754,603,6373,44117,13080,15.1,103198,1152,73754,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/6/19,2782,90,2.7,36,9260,4547,55,4,5,43426,43426,0,0,0.2,644,0,1,2212620,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73754,603,6373,44117,13080,15.1,103198,1152,73754,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/6/26,2782,90,2.7,36,9260,4547,55,4,5,43426,43426,0,0,0.2,644,0,1,2212620,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73754,603,6373,44117,13080,15.1,103198,1152,73754,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/7/3,2782,90,2.7,36,9274,4558,55,4,5,43481,43481,0,0,0.2,644,0,1,2215680,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73856,605,6380,44172,13089,15.1,103360,1153,73856,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/7/10,2782,90,2.7,36,9274,4558,55,4,5,43481,43481,0,0,0.2,644,0,1,2215680,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73856,605,6380,44172,13089,15.1,103360,1153,73856,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/7/17,2782,90,2.7,36,9274,4558,55,4,5,43481,43481,0,0,0.2,644,0,1,2215680,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73856,605,6380,44172,13089,15.1,103360,1153,73856,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/7/24,2782,90,2.7,36,9274,4558,55,4,5,43481,43481,0,0,0.2,644,0,1,2215680,3368,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73856,605,6380,44172,13089,15.1,103360,1153,73856,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/7/31,2782,90,2.7,36,9276,4561,55,4,5,43489,43489,0,0,0.2,644,0,1,2216190,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73873,605,6381,44180,13089,15.1,103377,1153,73873,101,32,1,0,40,8,0,22,12,155
aws-cli,2023/8/7,2782,90,2.7,36,9276,4561,55,4,5,43489,43489,0,0,0.2,644,0,1,2216190,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73873,605,6381,44180,13089,15.1,103377,1153,73873,101,32,1,0,40,8,0,22,12,155
aws-cli,2023/8/14,2782,90,2.7,36,9276,4561,55,4,5,43489,43489,0,0,0.2,644,0,1,2216190,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73873,605,6381,44180,13089,15.1,103377,1153,73873,101,32,1,0,40,8,0,22,12,155
aws-cli,2023/8/21,2782,90,2.7,36,9276,4561,55,4,5,43489,43489,0,0,0.2,644,0,1,2216190,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73873,605,6381,44180,13089,15.1,103377,1153,73873,101,32,1,0,40,8,0,22,12,155
aws-cli,2023/8/28,2782,90,2.7,36,9276,4561,55,4,5,43490,43490,0,0,0.2,644,0,1,2216250,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73875,605,6381,44181,13089,15.1,103379,1153,73875,101,32,1,0,40,8,0,22,12,155
aws-cli,2023/9/4,2782,90,2.7,36,9276,4561,55,4,5,43489,43489,0,0,0.2,644,0,1,2216160,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73872,605,6381,44180,13089,15.1,103378,1153,73872,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/9/11,2782,90,2.7,36,9281,4563,55,4,5,43506,43506,0,0,0.2,644,0,1,2217450,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73915,605,6384,44197,13089,15,103426,1154,73915,101,32,1,0,40,8,0,22,12,154
aws-cli,2023/9/18,2782,90,2.7,36,9342,4580,55,4,5,43816,43816,0,0,0.2,644,0,1,2234820,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74494,605,6433,44507,13095,15,104096,1156,74494,101,32,0,0,39,8,0,20,12,154
aws-cli,2023/9/25,2782,90,2.7,36,9279,4562,55,4,5,43491,43491,0,0,0.2,644,0,1,2216490,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=73883,605,6382,44182,13089,15,103388,1153,73883,101,32,1,0,40,8,0,22,12,155
aws-cli,2023/10/2,2782,90,2.7,36,9345,4581,55,4,5,43819,43819,0,0,0.2,644,0,1,2235210,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74507,605,6434,44510,13095,14.9,104110,1156,74507,101,32,0,0,39,8,0,20,12,154
aws-cli,2023/10/9,2849,92,2.7,37,9368,4590,55,4,5,43967,43967,0,0,0.2,644,0,1,2248140,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74938,605,6451,44658,13111,14.9,104607,1159,74938,97,32,0,0,39,8,0,18,12,154
aws-cli,2023/10/16,2782,90,2.7,36,9345,4581,55,4,5,43819,43819,0,0,0.2,644,0,1,2235390,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74513,605,6434,44510,13095,14.9,104116,1156,74513,101,32,0,0,39,8,0,20,12,154
aws-cli,2023/10/23,2782,90,2.7,36,9345,4581,55,4,5,43819,43819,0,0,0.2,644,0,1,2235390,3371,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74513,605,6434,44510,13095,14.9,104116,1156,74513,101,32,0,0,39,8,0,20,12,154
aws-cli,2023/10/30,2782,90,2.7,36,9349,4583,55,4,5,43833,43833,0,0,0.2,644,0,1,2236890,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74563,605,6436,44524,13095,14.9,104171,1156,74563,101,32,0,0,39,8,0,20,12,154
aws-cli,2023/11/6,2782,90,2.7,36,9350,4583,55,4,5,43839,43839,0,0,0.2,644,0,1,2237280,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74576,605,6437,44530,13104,14.9,104195,1157,74576,97,32,0,0,39,8,0,19,12,155
aws-cli,2023/11/13,3126,105,2.9,39,9573,4668,55,4,5,44784,44784,0,0,0.1,651,0,1,2297640,3399,0,11,600,5,0,0,0,0,19,667,160,22,173,667,293,py=76588,611,6589,45475,13146,14.6,106572,1178,76588,94,35,0,0,40,8,0,18,10,151
aws-cli,2023/11/20,2849,92,2.7,37,9368,4590,55,4,5,43967,43967,0,0,0.2,644,0,1,2248140,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74938,605,6451,44658,13111,14.9,104607,1159,74938,97,32,0,0,39,8,0,18,12,154
aws-cli,2023/11/27,2849,92,2.7,37,9368,4590,55,4,5,43968,43968,0,0,0.2,644,0,1,2248260,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74942,605,6451,44659,13111,14.9,104611,1159,74942,97,32,0,0,39,8,0,18,12,154
aws-cli,2023/12/4,2849,92,2.7,37,9368,4590,55,4,5,43968,43968,0,0,0.2,644,0,1,2248260,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=74942,605,6451,44659,13111,14.9,104611,1159,74942,97,32,0,0,39,8,0,18,12,154
aws-cli,2023/12/11,2954,97,2.8,37,9374,4596,55,4,5,44025,44025,0,0,0.1,644,0,1,2252640,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=75088,605,6454,44716,13113,14.9,104780,1160,75088,97,32,0,0,39,8,0,18,12,154
aws-cli,2023/12/18,2954,97,2.8,37,9374,4596,55,4,5,44025,44025,0,0,0.1,644,0,1,2252640,3373,0,11,600,5,0,0,0,0,19,660,161,22,172,660,286,py=75088,605,6454,44716,13113,14.9,104780,1160,75088,97,32,0,0,39,8,0,18,12,154
aws-cli,2023/12/25,2954,97,2.8,37,9384,4601,55,4,5,44047,44047,0,0,0.1,645,0,1,2253960,3380,0,11,600,5,0,0,0,0,19,661,161,22,173,661,286,py=75132,605,6457,44738,13113,14.9,104829,1160,75132,97,32,0,0,39,8,0,18,12,154
aws-cli,2024/1/1,2954,97,2.8,37,9384,4601,55,4,5,44047,44047,0,0,0.1,645,0,1,2253960,3380,0,11,600,5,0,0,0,0,19,661,161,22,173,661,286,py=75132,605,6457,44738,13113,14.9,104829,1160,75132,97,32,0,0,39,8,0,18,12,154
aws-cli,2024/1/8,2954,97,2.8,37,9384,4601,55,4,5,44047,44047,0,0,0.1,645,0,1,2253960,3380,0,11,600,5,0,0,0,0,19,661,161,22,173,661,286,py=75132,605,6457,44738,13113,14.9,104829,1160,75132,97,32,0,0,39,8,0,18,12,154
aws-cli,2024/1/15,2954,97,2.8,37,9384,4601,55,4,5,44047,44047,0,0,0.1,645,0,1,2253960,3380,0,11,600,5,0,0,0,0,19,661,161,22,173,661,286,py=75132,605,6457,44738,13113,14.9,104829,1160,75132,97,32,0,0,39,8,0,18,12,154
aws-cli,2024/1/22,2954,97,2.8,37,9427,4621,55,4,5,44163,44163,0,0,0.1,646,0,1,2258610,3385,0,11,600,5,0,0,0,0,19,662,161,22,173,662,287,py=75287,607,6483,44854,13129,14.8,105053,1164,75287,97,32,0,0,39,8,0,18,12,153
aws-cli,2024/1/29,2954,97,2.8,37,9430,4621,55,4,5,44180,44180,0,0,0.1,646,0,1,2259270,3385,0,11,600,5,0,0,0,0,19,662,161,22,173,662,287,py=75309,607,6486,44871,13135,14.9,105087,1165,75309,97,32,0,0,39,8,0,18,12,153
aws-cli,2024/2/5,2954,97,2.8,37,9430,4621,55,4,5,44180,44180,0,0,0.1,646,0,1,2259270,3385,0,11,600,5,0,0,0,0,19,662,161,22,173,662,287,py=75309,607,6486,44871,13135,14.9,105087,1165,75309,97,32,0,0,39,8,0,18,12,153
aws-cli,2024/2/12,2954,97,2.8,37,9430,4621,55,4,5,44180,44180,0,0,0.1,646,0,1,2259270,3385,0,11,600,5,0,0,0,0,19,662,161,22,173,662,287,py=75309,607,6486,44871,13135,14.9,105087,1165,75309,97,32,0,0,39,8,0,18,12,153
aws-cli,2024/2/19,2954,97,2.8,37,9430,4621,55,4,5,44180,44180,0,0,0.1,646,0,1,2259270,3385,0,11,600,5,0,0,0,0,19,662,161,22,173,662,287,py=75309,607,6486,44871,13135,14.9,105087,1165,75309,97,32,0,0,39,8,0,18,12,153
aws-cli,2024/2/26,2954,97,2.8,37,9430,4621,55,4,5,44180,44180,0,0,0.1,646,0,1,2259270,3385,0,11,600,5,0,0,0,0,19,662,161,22,173,662,287,py=75309,607,6486,44871,13135,14.9,105087,1165,75309,97,32,0,0,39,8,0,18,12,153
aws-cli,2024/3/4,3004,97,2.9,37,9449,4628,55,4,5,44253,44253,0,0,0.2,648,0,1,2262570,3402,0,11,600,5,0,0,0,0,19,664,161,22,173,664,289,py=75419,608,6496,44944,13150,14.8,105234,1167,75419,97,33,0,0,40,8,0,18,12,153
aws-cli,2024/3/11,3004,97,2.9,37,9447,4628,55,4,5,44240,44240,0,0,0.2,648,0,1,2262210,3402,0,11,600,5,0,0,0,0,19,664,161,22,173,664,289,py=75407,607,6494,44931,13135,14.8,105196,1165,75407,97,33,0,0,40,8,0,18,12,153
