project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
black,2022/10/31,20217,52,17.6,21,3850,3978,3758,5,411,12082,12082,0,0,0.2,1208,0,1,3152700,5594,0,0,0,1,0,0,0,0,112,1619,956,5,300,1619,246,py=105090,181,1395,12705,4822,4.4,114596,251,105090,1,1,0,0,0,0,0,0,0,0
black,2022/11/7,20217,52,17.6,21,3885,4009,3758,5,411,12207,12207,0,0,0.2,1210,0,1,3160740,5599,0,0,0,1,0,0,0,0,112,1621,958,5,299,1621,247,py=105358,186,1404,12831,4860,4.4,114965,252,105358,1,1,0,0,0,0,0,0,0,2
black,2022/11/14,20217,52,17.6,21,3885,4009,3758,5,411,12207,12207,0,0,0.2,1210,0,1,3160740,5599,0,0,0,1,0,0,0,0,112,1621,958,5,299,1621,247,py=105358,186,1404,12831,4860,4.4,114965,252,105358,1,1,0,0,0,0,0,0,0,2
black,2022/11/21,20217,52,17.6,21,3885,4009,3758,5,411,12207,12207,0,0,0.2,1210,0,1,3160740,5599,0,0,0,1,0,0,0,0,112,1621,958,5,299,1621,247,py=105358,186,1404,12831,4860,4.4,114965,252,105358,1,1,0,0,0,0,0,0,0,2
black,2022/11/28,20217,52,17.6,21,3885,4009,3758,5,411,12207,12207,0,0,0.2,1210,0,1,3160740,5599,0,0,0,1,0,0,0,0,112,1621,958,5,299,1621,247,py=105358,186,1404,12831,4860,4.4,114965,252,105358,1,1,0,0,0,0,0,0,0,2
black,2022/12/5,20217,52,17.6,21,3885,4009,3758,5,411,12207,12207,0,0,0.2,1210,0,1,3160740,5599,0,0,0,1,0,0,0,0,112,1621,958,5,299,1621,247,py=105358,186,1404,12831,4860,4.4,114965,252,105358,1,1,0,0,0,0,0,0,0,2
black,2022/12/12,20217,52,17.5,21,3931,4075,3808,5,415,12293,12293,0,0,0.2,1215,0,1,3169860,5646,0,0,0,1,0,0,0,0,114,1630,962,5,302,1630,247,py=105662,189,1408,12920,4929,4.5,115394,253,105662,1,1,0,0,0,0,0,0,0,2
black,2022/12/19,20268,52,17.5,21,3983,4131,3813,5,416,12441,12441,0,0,0.2,1244,0,1,3180690,5779,0,0,0,1,0,0,0,0,114,1660,984,5,307,1660,250,py=106023,190,1427,13071,4997,4.5,115786,254,106023,1,1,0,0,0,0,0,0,0,2
black,2022/12/26,20268,52,17.5,21,4023,4167,3813,5,416,12481,12481,0,0,0.2,1254,0,1,3185040,5849,0,0,0,1,0,0,0,0,114,1670,988,5,313,1670,250,py=106168,191,1434,13114,5001,4.5,115968,254,106168,1,1,0,0,0,0,20,0,0,2
black,2023/1/2,20268,52,17.5,21,4023,4167,3813,5,416,12481,12481,0,0,0.2,1254,0,1,3185040,5849,0,0,0,1,0,0,0,0,114,1670,988,5,313,1670,250,py=106168,191,1434,13114,5001,4.5,115968,254,106168,1,1,0,0,0,0,20,0,0,2
black,2023/1/9,20268,52,17.5,21,4023,4167,3813,5,416,12481,12481,0,0,0.2,1254,0,1,3185040,5849,0,0,0,1,0,0,0,0,114,1670,988,5,313,1670,250,py=106168,191,1434,13114,5001,4.5,115968,254,106168,1,1,0,0,0,0,20,0,0,2
black,2023/1/16,20326,54,17.4,21,4062,4188,3833,5,418,12613,12613,0,0,0.2,1306,0,1,3195180,6112,0,0,0,1,0,0,0,0,116,1724,1033,5,314,1724,256,py=106506,198,1449,13252,5071,4.5,116503,254,106506,1,1,0,0,0,0,20,0,0,2
black,2023/1/23,20326,54,17.4,21,4072,4201,3833,5,418,12682,12682,0,0,0.2,1306,0,1,3197820,6115,0,0,0,1,0,0,0,0,116,1724,1033,5,314,1724,256,py=106594,199,1452,13323,5099,4.6,116632,254,106594,1,1,0,0,0,0,20,0,0,2
black,2023/1/30,20335,54,17.4,22,4081,4210,3833,5,418,12747,12747,0,0,0.2,1305,0,1,3202500,6101,0,0,0,1,0,0,0,0,116,1723,1033,5,313,1723,256,py=106750,201,1460,13392,5125,4.6,116846,254,106750,1,1,0,0,0,0,20,0,0,0
black,2023/2/6,20335,54,17.4,22,4081,4210,3833,5,418,12747,12747,0,0,0.2,1305,0,1,3202500,6101,0,0,0,1,0,0,0,0,116,1723,1033,5,313,1723,256,py=106750,201,1460,13392,5125,4.6,116846,254,106750,1,1,0,0,0,0,20,0,0,0
black,2023/2/13,20335,54,17.4,22,4081,4210,3833,5,418,12747,12747,0,0,0.2,1305,0,1,3202500,6101,0,0,0,1,0,0,0,0,116,1723,1033,5,313,1723,256,py=106750,201,1460,13392,5125,4.6,116846,254,106750,1,1,0,0,0,0,20,0,0,0
black,2023/2/20,20335,54,17.4,22,4081,4210,3833,5,418,12747,12747,0,0,0.2,1305,0,1,3202500,6101,0,0,0,1,0,0,0,0,116,1723,1033,5,313,1723,256,py=106750,201,1460,13392,5125,4.6,116846,254,106750,1,1,0,0,0,0,20,0,0,0
black,2023/2/27,20335,54,17.4,22,4081,4210,3833,5,418,12747,12747,0,0,0.2,1305,0,1,3202500,6101,0,0,0,1,0,0,0,0,116,1723,1033,5,313,1723,256,py=106750,201,1460,13392,5125,4.6,116846,254,106750,1,1,0,0,0,0,20,0,0,0
black,2023/3/6,20335,54,17.3,22,4119,4258,4053,5,440,12879,12879,0,0,0.2,1327,0,1,3215970,6256,0,0,0,1,0,0,0,0,132,1767,1054,5,320,1767,256,py=107199,202,1468,13527,5163,4.6,117382,254,107199,1,1,0,0,0,0,20,0,0,0
black,2023/3/13,20335,54,17.3,22,4146,4274,4053,5,440,12929,12929,0,0,0.2,1343,0,1,3219030,6338,0,0,0,1,0,0,0,0,132,1783,1060,5,320,1783,266,py=107301,204,1477,13579,5188,4.6,117536,254,107301,1,1,0,0,0,0,20,0,0,0
black,2023/3/20,20335,54,17.3,22,4151,4280,4053,5,440,12944,12944,0,0,0.2,1343,0,1,3219630,6338,0,0,0,1,0,0,0,0,132,1783,1060,5,320,1783,266,py=107321,205,1480,13595,5193,4.6,117567,254,107321,1,1,0,0,0,0,20,0,0,0
