project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
celery,2022/10/31,658,46,0.8,7,10461,6771,317,5,50,41880,41880,0,0,0.4,1044,0,1,1696890,6253,0,9,285,5,0,0,0,0,36,1103,281,21,286,1103,479,py=56563,331,6442,43219,9210,14,78806,851,56563,41,12,4,0,11,0,7,14,10,6
celery,2022/11/7,658,46,0.8,7,10471,6781,317,5,50,41914,41914,0,0,0.4,1043,0,1,1697850,6248,0,9,285,5,0,0,0,0,36,1102,280,21,286,1102,479,py=56595,331,6445,43267,9361,14.2,78996,851,56595,41,12,4,0,9,0,7,12,9,6
celery,2022/11/14,658,46,0.8,7,10475,6783,437,5,56,41958,41958,0,0,0.4,1045,0,1,1699500,6268,0,9,285,5,0,0,0,0,42,1110,280,21,288,1110,479,py=56650,331,6449,43328,9591,14.5,79292,854,56650,41,12,4,0,9,0,7,12,9,6
celery,2022/11/21,771,53,1,7,10492,6795,517,5,60,42066,42066,0,0,0.4,1046,0,1,1704570,6279,0,9,285,5,0,0,0,0,46,1115,280,21,289,1115,479,py=56819,331,6459,43442,9621,14.5,79518,855,56819,41,12,4,0,9,0,7,12,9,6
celery,2022/11/28,771,53,1,7,10537,6808,517,5,60,42266,42266,0,0,0.4,1047,0,1,1712790,6280,0,9,285,5,0,0,0,0,46,1116,281,21,289,1116,479,py=57093,336,6494,43661,9702,14.5,79963,863,57093,41,12,4,0,9,0,7,12,9,6
celery,2022/12/5,771,53,1,7,10548,6807,522,5,61,42317,42317,0,0,0.4,1047,0,1,1716300,6281,0,9,285,5,0,0,0,0,46,1117,281,21,290,1117,479,py=57210,336,6503,43713,9708,14.5,80101,865,57210,41,12,4,0,9,0,7,12,9,6
celery,2022/12/12,771,53,1,7,10552,6812,522,5,61,42335,42335,0,0,0.4,1047,0,1,1716960,6284,0,9,285,5,0,0,0,0,46,1117,281,21,290,1117,479,py=57232,336,6505,43731,9683,14.5,80133,865,57232,41,12,4,0,9,0,7,12,9,6
celery,2022/12/19,771,53,1,7,10565,6821,522,5,61,42419,42419,0,0,0.4,1047,0,1,1720230,6284,0,9,285,5,0,0,0,0,46,1117,281,21,290,1117,479,py=57341,336,6513,43818,9724,14.5,80302,865,57341,41,12,4,0,9,0,7,12,9,6
celery,2022/12/26,771,53,1,7,10565,6821,522,5,61,42419,42419,0,0,0.4,1047,0,1,1720230,6284,0,9,285,5,0,0,0,0,46,1117,281,21,290,1117,479,py=57341,336,6513,43818,9724,14.5,80302,865,57341,41,12,4,0,9,0,7,12,9,6
celery,2023/1/2,771,53,1,7,10565,6821,522,5,61,42422,42422,0,0,0.4,1046,0,1,1720860,6282,0,9,285,5,0,0,0,0,46,1116,281,21,290,1116,478,py=57362,336,6513,43823,9726,14.5,80326,865,57362,37,10,4,0,9,0,8,12,9,6
celery,2023/1/9,883,57,1.1,7,10584,6834,522,5,61,42507,42507,0,0,0.4,1047,0,1,1724490,6297,0,9,285,5,0,0,0,0,46,1117,281,21,291,1117,478,py=57483,336,6525,43910,9744,14.5,80487,868,57483,37,10,4,0,9,0,8,12,9,6
celery,2023/1/16,883,57,1.1,7,10584,6834,522,5,61,42507,42507,0,0,0.4,1047,0,1,1724490,6297,0,9,285,5,0,0,0,0,46,1117,281,21,291,1117,478,py=57483,336,6525,43910,9744,14.5,80487,868,57483,37,10,4,0,9,0,8,12,9,6
celery,2023/1/23,883,57,1.1,7,10584,6834,522,5,61,42507,42507,0,0,0.4,1047,0,1,1724490,6297,0,9,285,5,0,0,0,0,46,1117,281,21,291,1117,478,py=57483,336,6525,43910,9744,14.5,80487,868,57483,37,10,4,0,9,0,8,12,9,6
celery,2023/1/30,1014,62,1.3,8,10698,6877,522,5,61,42651,42651,0,0,0.4,1054,0,1,1735800,6332,0,9,285,5,0,0,0,0,46,1124,286,22,292,1124,478,py=57860,337,6611,44050,9820,14.5,80947,887,57860,37,10,4,0,9,0,8,12,9,6
celery,2023/2/6,1014,62,1.3,8,10713,6882,522,5,61,42701,42701,0,0,0.4,1055,0,1,1737720,6337,0,9,285,5,0,0,0,0,46,1125,287,22,292,1125,478,py=57924,338,6623,44100,9836,14.5,81054,888,57924,37,10,4,0,9,0,8,12,9,6
celery,2023/2/13,1014,62,1.2,8,10719,6883,522,5,61,42764,42764,0,0,0.4,1055,0,1,1739850,6337,0,9,285,5,0,0,0,0,46,1125,287,22,292,1125,478,py=57995,338,6626,44162,9821,14.5,81127,889,57995,37,10,4,0,9,0,8,12,9,6
celery,2023/2/20,1014,62,1.2,8,10719,6883,522,5,61,42764,42764,0,0,0.4,1055,0,1,1739850,6337,0,9,285,5,0,0,0,0,46,1125,287,22,292,1125,478,py=57995,338,6626,44162,9821,14.5,81127,889,57995,37,10,4,0,9,0,8,12,9,6
celery,2023/2/27,1014,62,1.2,8,10720,6884,522,5,61,42773,42773,0,0,0.4,1055,0,1,1740360,6337,0,9,285,5,0,0,0,0,46,1125,286,22,292,1125,479,py=58012,338,6626,44170,9803,14.5,81132,889,58012,37,10,4,0,9,0,8,12,9,6
celery,2023/3/6,1032,64,1.3,9,10733,6897,522,5,61,42821,42821,0,0,0.4,1055,0,1,1742370,6337,0,9,285,5,0,0,0,0,46,1125,286,22,292,1125,479,py=58079,338,6632,44218,9803,14.4,81208,891,58079,37,10,4,0,9,0,8,12,9,6
celery,2023/3/13,1032,64,1.3,9,10733,6897,522,5,61,42821,42821,0,0,0.4,1055,0,1,1742790,6337,0,9,285,5,0,0,0,0,46,1125,286,22,292,1125,479,py=58093,338,6632,44218,9804,14.4,81223,891,58093,37,10,4,0,9,0,8,12,9,6
celery,2023/3/20,1032,64,1.3,9,10754,6913,522,5,61,42908,42908,0,0,0.4,1057,0,1,1746300,6348,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58210,338,6645,44312,9835,14.5,81409,893,58210,37,10,4,0,9,0,8,12,9,6
celery,2023/3/27,1032,64,1.3,9,10759,6916,522,5,61,42940,42940,0,0,0.4,1057,0,1,1748310,6348,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58277,338,6647,44344,9845,14.5,81492,893,58277,37,10,4,0,9,0,8,12,9,6
celery,2023/4/3,1032,64,1.3,9,10767,6919,522,5,61,42947,42947,0,0,0.4,1057,0,1,1749540,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58318,338,6650,44361,9866,14.5,81573,892,58318,37,10,4,0,9,0,8,12,9,6
celery,2023/4/10,1032,64,1.3,9,10767,6919,522,5,61,42947,42947,0,0,0.4,1057,0,1,1749540,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58318,338,6650,44361,9866,14.5,81573,892,58318,37,10,4,0,9,0,8,12,9,6
celery,2023/4/17,1032,64,1.3,9,10767,6919,522,5,61,42947,42947,0,0,0.4,1057,0,1,1749540,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58318,338,6650,44361,9866,14.5,81573,892,58318,37,10,4,0,9,0,8,12,9,6
celery,2023/4/24,1032,64,1.3,9,10767,6919,522,5,61,42947,42947,0,0,0.4,1057,0,1,1749540,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58318,338,6650,44361,9866,14.5,81573,892,58318,37,10,4,0,9,0,8,12,9,6
celery,2023/5/1,1032,64,1.3,9,10767,6919,522,5,61,42947,42947,0,0,0.4,1057,0,1,1749540,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58318,338,6650,44361,9866,14.5,81573,892,58318,37,10,4,0,9,0,8,12,9,6
celery,2023/5/8,1032,64,1.3,9,10765,6919,522,5,61,42938,42938,0,0,0.4,1057,0,1,1749180,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58306,338,6648,44352,9865,14.5,81553,891,58306,37,10,4,0,9,0,8,12,9,6
celery,2023/5/15,1032,64,1.3,9,10765,6919,522,5,61,42938,42938,0,0,0.4,1057,0,1,1749180,6363,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58306,338,6648,44352,9865,14.5,81553,891,58306,37,10,4,0,9,0,8,12,9,6
celery,2023/5/22,1032,64,1.3,9,10774,6923,522,5,61,42959,42959,0,0,0.4,1056,0,1,1750170,6359,0,9,285,5,0,0,0,0,46,1126,286,22,294,1126,478,py=58339,338,6649,44373,9875,14.5,81598,891,58339,37,10,4,0,9,0,8,12,9,6
celery,2023/5/29,1032,64,1.3,9,10774,6922,522,5,61,42958,42958,0,0,0.4,1056,0,1,1750080,6359,0,9,285,5,0,0,0,0,46,1126,286,22,294,1126,478,py=58336,338,6649,44372,9877,14.5,81596,891,58336,37,10,4,0,9,0,8,12,9,6
celery,2023/6/5,1032,64,1.3,9,10774,6922,522,5,61,42958,42958,0,0,0.4,1056,0,1,1750110,6359,0,9,285,5,0,0,0,0,46,1126,286,22,294,1126,478,py=58337,338,6649,44372,9877,14.5,81597,891,58337,37,10,4,0,9,0,8,12,9,6
celery,2023/6/12,1032,64,1.3,9,10774,6920,522,5,61,42961,42961,0,0,0.4,1057,0,1,1751550,6360,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58385,338,6650,44375,9877,14.5,81648,892,58385,37,10,4,0,9,0,8,12,9,6
celery,2023/6/19,1032,64,1.3,9,10774,6920,522,5,61,42958,42958,0,0,0.4,1057,0,1,1751460,6360,0,9,285,5,0,0,0,0,46,1127,286,22,294,1127,479,py=58382,338,6650,44372,9877,14.5,81645,892,58382,37,10,4,0,9,0,8,12,9,6
celery,2023/6/26,1027,64,1.3,9,10789,6932,522,5,61,43011,43011,0,0,0.4,1058,0,1,1753290,6380,0,9,285,5,0,0,0,0,46,1128,287,22,294,1128,479,py=58443,338,6658,44425,9877,14.5,81719,893,58443,37,10,4,0,9,0,8,12,9,6
celery,2023/7/3,1027,64,1.3,9,10812,6950,522,5,61,43079,43079,0,0,0.4,1059,0,1,1756170,6392,0,9,285,5,0,0,0,0,46,1129,287,22,295,1129,479,py=58539,338,6667,44493,9881,14.4,81838,895,58539,37,10,4,0,9,0,8,12,9,7
celery,2023/7/10,1027,64,1.3,9,10812,6950,522,5,61,43079,43079,0,0,0.4,1059,0,1,1756170,6392,0,9,285,5,0,0,0,0,46,1129,287,22,295,1129,479,py=58539,338,6667,44493,9884,14.4,81841,895,58539,37,10,4,0,9,0,8,12,9,7
celery,2023/7/17,1027,64,1.3,9,10812,6950,522,5,61,43079,43079,0,0,0.4,1059,0,1,1756170,6392,0,9,285,5,0,0,0,0,46,1129,287,22,295,1129,479,py=58539,338,6667,44493,9884,14.4,81841,895,58539,37,10,4,0,9,0,8,12,9,7
celery,2023/7/24,1027,64,1.3,9,10821,6941,522,5,61,43146,43146,0,0,0.4,1063,0,1,1760910,6409,0,9,285,5,0,0,0,0,46,1133,288,23,296,1133,480,py=58697,340,6674,44558,9901,14.4,82062,897,58697,37,10,4,0,9,0,8,12,9,7
celery,2023/7/31,1027,64,1.3,9,10821,6941,522,5,61,43146,43146,0,0,0.4,1063,0,1,1760910,6409,0,9,285,5,0,0,0,0,46,1133,288,23,296,1133,480,py=58697,340,6674,44558,9901,14.4,82062,897,58697,37,10,4,0,9,0,8,12,9,7
celery,2023/8/7,1027,64,1.3,9,10825,6946,522,5,61,43170,43170,0,0,0.4,1063,0,1,1761840,6409,0,9,285,5,0,0,0,0,46,1133,288,23,296,1133,480,py=58728,340,6676,44582,9903,14.4,82100,897,58728,37,10,4,0,9,0,8,12,9,7
celery,2023/8/14,1027,64,1.3,9,10826,6946,522,5,61,43186,43186,0,0,0.4,1063,0,1,1762470,6409,0,9,285,5,0,0,0,0,46,1133,288,23,296,1133,480,py=58749,340,6677,44598,9904,14.4,82125,897,58749,37,10,4,0,9,0,8,12,9,7
