project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
comfyUI,2023/1/2,1838,58,12.8,15,2034,2340,60,5,11,8001,8001,0,0,0.8,369,0,1,306270,2501,0,0,0,1,0,0,0,0,1,380,145,21,69,380,144,py=10209,55,751,8240,2036,16.6,14307,157,10209,12,2,0,0,0,0,13,0,0,0
comfyUI,2023/1/9,1838,58,12.8,15,2034,2340,60,5,11,8001,8001,0,0,0.8,369,0,1,306270,2501,0,0,0,1,0,0,0,0,1,380,145,21,69,380,144,py=10209,55,751,8240,2036,16.6,14307,157,10209,12,2,0,0,0,0,13,0,0,0
comfyUI,2023/1/16,1838,58,12.8,15,2038,2342,60,5,11,8017,8017,0,0,0.8,371,0,1,306870,2511,0,0,0,1,0,0,0,0,1,382,145,21,70,382,145,py=10229,55,753,8256,2036,16.6,14330,158,10229,12,2,0,0,0,0,13,0,0,0
comfyUI,2023/1/23,1838,58,12.6,15,2107,2487,60,5,11,8243,8243,0,0,0.8,380,0,1,314970,2631,0,0,0,1,0,0,0,0,1,391,145,20,77,391,148,py=10499,55,765,8482,2034,16.2,14627,162,10499,13,3,0,0,0,0,13,0,0,2
comfyUI,2023/1/30,1838,58,12.1,15,2227,2669,60,5,11,8671,8671,0,0,0.9,407,0,1,330540,2875,0,0,0,1,0,0,0,0,1,418,151,20,89,418,157,py=11018,55,804,8910,2038,15.6,15219,171,11018,15,4,0,0,0,0,13,0,0,2
comfyUI,2023/2/6,2180,70,13.3,15,2378,2931,65,5,12,9339,9339,0,0,0.9,453,0,1,353820,3180,0,0,0,1,0,0,0,0,1,465,163,21,100,465,180,py=11794,57,847,9597,2301,16.3,16405,175,11794,15,3,0,0,0,0,13,0,0,4
comfyUI,2023/2/13,2455,78,14.2,17,2542,3187,65,5,12,9878,9878,0,0,0.9,477,0,1,375600,3444,0,0,0,1,0,0,0,0,1,489,172,21,110,489,185,py=12520,59,881,10137,2319,15.6,17254,186,12520,18,5,0,0,0,0,13,0,0,2
comfyUI,2023/2/20,2452,80,13.6,18,2685,3380,65,5,12,10316,10316,0,0,0.9,494,0,1,394260,3622,0,0,0,1,0,0,0,0,1,506,174,21,120,506,190,py=13142,62,921,10578,2344,15.1,17994,191,13142,18,5,0,0,0,0,13,0,0,2
comfyUI,2023/2/27,2508,82,13.6,18,2745,3431,65,5,12,10569,10569,0,0,0.9,509,0,1,403830,3688,0,0,0,1,0,0,0,0,1,521,180,24,123,521,193,py=13461,63,949,10832,2360,14.9,18411,203,13461,20,6,0,0,0,0,13,0,0,2
comfyUI,2023/3/6,6001,247,18.1,30,4110,4757,103,5,20,16705,16705,0,0,0.7,726,0,1,726900,5043,0,0,0,1,0,0,0,0,1,746,297,26,166,746,256,py=24230,94,1458,17126,4810,16.6,33166,380,24230,21,6,0,0,0,0,13,0,0,2
