project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
diffusers,2022/10/31,9498,591,19.2,56,4574,4821,136,5,21,19161,19161,0,0,0.4,319,0,1,927510,3369,0,0,0,1,0,0,0,0,9,340,137,29,108,340,57,py=30917,194,1610,19642,10417,25.2,49455,349,30917,0,0,0,0,0,0,0,0,0,0
diffusers,2022/11/7,11438,726,21.1,70,4988,5234,146,5,23,20842,20842,0,0,0.4,342,0,1,1013550,3576,0,0,0,1,0,0,0,0,9,365,150,30,116,365,60,py=33785,202,1754,21375,11713,25.7,54277,367,33785,0,0,0,0,0,0,0,0,0,0
diffusers,2022/11/14,13681,855,22.8,83,5523,5690,146,5,23,23049,23049,0,0,0.3,390,0,1,1124820,3819,0,0,0,1,0,0,0,0,9,413,168,34,131,413,71,py=37494,221,1977,23638,12967,25.7,60103,404,37494,0,0,0,0,0,0,0,5,0,0
diffusers,2022/11/21,19182,1351,27.5,99,6485,6648,146,5,23,26607,26607,0,0,0.3,434,0,1,1316100,4404,0,0,0,1,0,0,0,0,9,457,193,36,146,457,73,py=43870,245,2257,27286,14974,25.4,69871,451,43870,0,0,0,0,0,0,0,6,0,0
diffusers,2022/11/28,20418,1440,27.7,105,6864,7133,189,5,26,28403,28403,0,0,0.3,462,0,1,1395660,4642,0,0,0,1,0,0,0,0,9,488,203,40,158,488,78,py=46522,253,2374,29079,15407,24.9,73593,467,46522,0,0,0,0,0,0,0,6,0,0
diffusers,2022/12/5,20991,1493,26.9,108,7382,7836,199,5,28,30528,30528,0,0,0.3,518,0,1,1482840,5035,0,0,0,1,0,0,0,0,9,546,219,47,178,546,93,py=49428,272,2493,31224,16343,24.8,78127,488,49428,0,0,0,0,0,0,0,0,0,0
diffusers,2022/12/12,22478,1517,27.8,113,7720,8257,209,5,31,31900,31900,0,0,0.3,542,0,1,1551780,5419,0,0,0,1,0,0,0,0,9,573,236,48,181,573,99,py=51726,275,2592,32601,16508,24.2,80977,500,51726,0,0,0,0,0,0,0,0,0,0
diffusers,2022/12/19,23398,1598,27.3,115,8088,8639,212,5,32,33417,33417,0,0,0.3,565,0,1,1650060,5572,0,0,0,1,0,0,0,0,9,597,240,56,187,597,105,py=55002,285,2719,34134,17144,23.8,85771,527,55002,0,1,0,0,0,0,0,0,0,0
diffusers,2022/12/26,24122,1628,27.6,119,8206,8756,212,5,32,34000,34000,0,0,0.3,569,0,1,1683870,5635,0,0,0,1,0,0,0,0,9,601,241,57,189,601,105,py=56129,296,2769,34723,17398,23.7,87467,537,56129,0,2,0,0,0,0,0,0,0,0
diffusers,2023/1/2,24427,1688,27.3,119,8375,8911,217,5,33,34802,34802,0,0,0.3,589,0,1,1725990,5792,0,0,0,1,0,0,0,0,9,622,250,58,193,622,112,py=57533,302,2841,35541,17842,23.7,89620,544,57533,0,1,0,0,0,0,0,0,0,0
diffusers,2023/1/9,25464,1728,28,120,8516,9162,217,5,33,35426,35426,0,0,0.3,587,0,1,1758600,5954,0,0,0,1,0,0,0,0,9,620,249,51,195,620,116,py=58620,305,2862,36170,17932,23.4,91007,547,58620,0,1,0,0,0,0,0,0,0,0
diffusers,2023/1/16,26628,1917,27.8,123,8992,9635,217,5,33,37597,37597,0,0,0.4,633,0,1,1853310,6561,0,0,0,1,0,0,0,0,9,666,254,59,224,666,120,py=61777,321,3039,38368,18828,23.4,95863,593,61777,0,1,0,0,0,0,0,0,0,0
diffusers,2023/1/23,28202,1853,28.6,125,9299,10158,222,5,34,38403,38403,0,0,0.4,640,0,1,1907820,7010,0,0,0,1,0,0,0,0,9,674,256,58,233,674,118,py=63594,325,3063,39183,19241,23.2,98506,594,63594,0,1,0,0,0,0,0,0,0,0
diffusers,2023/1/30,31398,1987,31.1,128,9528,10577,222,5,34,39514,39514,0,0,0.4,650,0,1,1968060,7359,0,0,0,1,0,0,0,0,9,684,256,60,237,684,122,py=65602,328,3090,40296,19456,22.9,101049,598,65602,0,1,0,0,0,0,0,0,0,0
diffusers,2023/2/6,31624,2035,30.6,129,9787,10922,237,5,35,40403,40403,0,0,0.4,652,0,1,2018820,7488,0,0,0,1,0,0,0,0,9,687,259,60,245,687,114,py=67294,332,3156,41193,19777,22.7,103349,610,67294,0,1,0,0,0,0,0,0,0,0
diffusers,2023/2/13,36786,2492,31.9,147,10906,12223,245,5,37,44664,44664,0,0,0.4,726,0,1,2249310,8416,0,0,0,1,0,0,0,0,9,763,291,64,274,763,125,py=74977,354,3465,45559,22429,23,115429,657,74977,0,2,0,0,0,0,0,0,0,0
diffusers,2023/2/20,36718,2490,31.8,147,10912,12237,245,5,37,44677,44677,0,0,0.4,726,0,1,2250030,8430,0,0,0,1,0,0,0,0,9,763,291,64,274,763,125,py=75001,354,3467,45572,22430,23,115460,657,75001,0,2,0,0,0,0,0,0,0,0
diffusers,2023/2/27,37165,2620,31.4,151,11276,12646,253,5,39,45770,45770,0,0,0.4,736,0,1,2309640,8630,0,0,0,1,0,0,0,0,9,775,292,65,282,775,127,py=76988,359,3563,46686,22839,22.9,118272,666,76988,0,2,0,0,0,0,0,7,0,0
diffusers,2023/3/6,43252,3022,34.2,177,12155,13832,268,5,42,48805,48805,0,0,0.4,793,0,1,2487420,9447,0,0,0,1,0,0,0,0,9,835,305,72,303,835,146,py=82914,391,3717,49763,24055,22.5,126587,677,82914,1,3,0,0,0,0,0,7,0,0
diffusers,2023/3/13,43583,3097,33.7,179,12437,14183,268,5,42,49935,49935,0,0,0.4,806,0,1,2546460,9648,0,0,0,1,0,0,0,0,9,848,308,74,306,848,151,py=84882,397,3796,50904,24351,22.3,129274,691,84882,1,3,0,0,0,0,0,7,0,0
diffusers,2023/3/20,46853,3457,33.7,193,13371,15276,286,5,46,53697,53697,0,0,0.4,871,0,1,2751390,10507,0,0,0,1,0,0,0,0,9,917,332,80,335,917,161,py=91713,427,4061,54747,25859,22,139207,747,91713,1,3,0,0,0,0,0,7,0,0
diffusers,2023/3/27,48327,3693,34,197,13731,15776,286,5,46,54952,54952,0,0,0.4,885,0,1,2816880,10875,0,0,0,1,0,0,0,0,9,931,332,80,345,931,165,py=93896,430,4129,56022,26356,21.9,142319,753,93896,1,3,0,0,0,0,0,7,0,0
diffusers,2023/4/3,47697,3611,33.4,197,13739,15674,286,5,46,54874,54874,0,0,0.4,885,0,1,2823510,10768,0,0,0,1,0,0,0,0,9,931,331,81,346,931,164,py=94117,430,4120,55946,26413,21.9,142627,753,94117,1,3,0,0,0,0,0,7,0,0
