project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
ipython,2022/11/7,93,4,0.1,2,7331,7416,143,5,17,28483,28483,0,0,0.4,746,0,1,1181220,4778,0,0,0,1,0,0,0,0,7,763,236,34,238,763,248,py=39374,305,3316,30621,21245,35,71307,493,39374,7,17,2,0,1,2,0,10,2,0
ipython,2022/11/14,93,4,0.1,2,7341,7418,143,5,17,28533,28533,0,0,0.4,747,0,1,1182840,4783,0,0,0,1,0,0,0,0,7,764,236,34,238,764,249,py=39428,305,3325,30672,21246,35,71379,493,39428,7,17,2,0,1,2,0,10,2,0
ipython,2022/11/21,93,4,0.1,2,7345,7421,143,5,17,28539,28539,0,0,0.4,747,0,1,1183200,4783,0,0,0,1,0,0,0,0,7,764,236,34,238,764,249,py=39440,305,3326,30678,21252,35,71402,493,39440,7,17,2,0,1,2,0,10,2,0
ipython,2022/11/28,93,4,0.1,2,7548,7626,133,5,16,29196,29196,0,0,0.4,769,0,1,1221510,5014,0,0,0,1,0,0,0,0,8,785,252,36,239,785,250,py=40717,307,3411,31352,21347,34.4,73050,522,40717,7,17,2,0,1,2,0,10,2,0
ipython,2022/12/5,93,4,0.1,2,7350,7429,143,5,17,28562,28562,0,0,0.4,749,0,1,1184850,4797,0,0,0,1,0,0,0,0,7,766,236,34,240,766,249,py=39495,305,3329,30704,21275,35,71496,493,39495,7,17,2,0,1,2,0,10,2,0
ipython,2022/12/12,93,4,0.1,2,7350,7429,143,5,17,28562,28562,0,0,0.4,749,0,1,1184850,4797,0,0,0,1,0,0,0,0,7,766,236,34,240,766,249,py=39495,305,3329,30704,21275,35,71496,493,39495,7,17,2,0,1,2,0,10,2,0
ipython,2022/12/19,93,4,0.1,2,7570,7643,133,5,16,29282,29282,0,0,0.4,770,0,1,1225380,5025,0,0,0,1,0,0,0,0,8,786,253,35,240,786,250,py=40846,308,3425,31446,21381,34.4,73252,525,40846,7,17,2,0,1,2,0,10,2,0
ipython,2022/12/26,93,4,0.1,2,7575,7648,133,5,16,29289,29289,0,0,0.4,770,0,1,1225560,5025,0,0,0,1,0,0,0,0,8,786,253,35,240,786,250,py=40852,308,3425,31453,21383,34.4,73259,525,40852,7,17,2,0,1,2,0,10,2,0
ipython,2023/1/2,93,4,0.1,2,7583,7670,133,5,16,29374,29374,0,0,0.4,771,0,1,1230120,5034,0,0,0,1,0,0,0,0,8,787,254,35,241,787,249,py=41004,310,3428,31564,21415,34.3,73513,530,41004,7,17,2,0,1,2,0,10,2,0
ipython,2023/1/9,93,4,0.1,2,7576,7649,133,5,16,29289,29289,0,0,0.4,770,0,1,1225500,5025,0,0,0,1,0,0,0,0,8,786,253,35,240,786,250,py=40850,308,3425,31453,21383,34.4,73258,525,40850,7,17,2,0,1,2,0,10,2,0
ipython,2023/1/16,93,4,0.1,2,7657,7745,133,5,16,29648,29648,0,0,0.4,773,0,1,1242480,5054,0,0,0,1,0,0,0,0,8,789,255,35,242,789,249,py=41416,310,3463,31851,21506,34.2,74106,531,41416,7,17,2,0,1,2,0,10,2,0
ipython,2023/1/23,146,6,0.2,3,7673,7749,133,5,16,29715,29715,0,0,0.4,775,0,1,1245780,5060,0,0,0,1,0,0,0,0,8,791,256,35,242,791,250,py=41526,310,3475,31921,21512,34.1,74253,533,41526,7,17,1,0,2,2,0,10,2,0
ipython,2023/1/30,146,6,0.2,3,7680,7759,133,5,16,29739,29739,0,0,0.4,777,0,1,1247490,5074,0,0,0,1,0,0,0,0,8,793,256,35,244,793,250,py=41583,310,3478,31947,21529,34.1,74348,533,41583,7,17,1,0,2,2,0,10,2,0
ipython,2023/2/6,146,6,0.2,3,7688,7768,163,5,17,29775,29775,0,0,0.4,778,0,1,1249710,5081,0,0,0,1,0,0,0,0,8,795,256,35,246,795,250,py=41657,310,3481,31985,21538,34.1,74443,534,41657,7,16,1,0,2,2,0,8,2,0
ipython,2023/2/13,150,6,0.2,3,7768,7861,163,5,17,30041,30041,0,0,0.4,787,0,1,1269420,5146,0,0,0,1,0,0,0,0,8,804,258,35,252,804,251,py=42314,312,3505,32252,21587,33.8,75236,538,42314,7,16,1,0,2,2,0,8,2,0
ipython,2023/2/20,150,6,0.2,3,7789,7886,163,5,17,30129,30129,0,0,0.4,795,0,1,1273830,5183,0,0,0,1,0,0,0,0,8,812,261,35,253,812,255,py=42461,312,3512,32342,21617,33.7,75422,539,42461,7,16,1,0,2,2,0,8,2,0
ipython,2023/2/27,150,6,0.2,3,7789,7886,163,5,17,30129,30129,0,0,0.4,795,0,1,1273980,5183,0,0,0,1,0,0,0,0,8,812,261,35,253,812,255,py=42466,312,3512,32342,21619,33.7,75429,539,42466,7,16,1,0,2,2,0,8,2,0
ipython,2023/3/6,150,6,0.2,3,7789,7886,163,5,17,30129,30129,0,0,0.4,795,0,1,1273980,5183,0,0,0,1,0,0,0,0,8,812,261,35,253,812,255,py=42466,312,3512,32342,21617,33.7,75427,539,42466,7,16,1,0,2,2,0,8,2,0
ipython,2023/3/13,150,6,0.2,3,7799,7905,163,5,17,30162,30162,0,0,0.4,795,0,1,1277160,5164,0,0,0,1,0,0,0,0,8,812,262,35,252,812,255,py=42572,312,3514,32377,21657,33.7,75586,540,42572,7,16,1,0,2,2,0,7,2,0
ipython,2023/3/20,150,6,0.2,3,7801,7905,163,5,17,30163,30163,0,0,0.4,793,0,1,1277220,5160,0,0,0,1,0,0,0,0,8,810,262,35,250,810,255,py=42574,312,3515,32379,21685,33.7,75620,540,42574,7,16,1,0,2,2,0,7,2,0
ipython,2023/3/27,150,6,0.2,3,7800,7907,163,5,17,30165,30165,0,0,0.4,795,0,1,1277130,5164,0,0,0,1,0,0,0,0,8,812,262,35,252,812,255,py=42571,312,3514,32380,21654,33.7,75583,540,42571,7,16,1,0,2,2,0,7,2,0
ipython,2023/4/3,150,6,0.2,3,7821,7933,153,5,15,30237,30237,0,0,0.4,796,0,1,1282410,5167,0,0,0,1,0,0,0,0,8,811,264,38,249,811,252,py=42747,312,3520,32456,21747,33.7,75870,540,42747,7,16,1,0,2,2,0,7,2,0
ipython,2023/4/10,150,6,0.2,3,7823,7933,153,5,15,30244,30244,0,0,0.4,796,0,1,1282650,5167,0,0,0,1,0,0,0,0,8,811,264,38,249,811,252,py=42755,312,3522,32464,21750,33.7,75887,541,42755,7,16,1,0,2,2,0,7,2,0
ipython,2023/4/17,150,6,0.2,3,7824,7937,153,5,15,30252,30252,0,0,0.4,797,0,1,1282890,5175,0,0,0,1,0,0,0,0,8,812,264,38,250,812,252,py=42763,312,3523,32474,21764,33.7,75910,541,42763,7,16,1,0,2,2,0,7,2,0
ipython,2023/4/24,150,6,0.2,3,7821,7930,153,5,15,30261,30261,0,0,0.4,795,0,1,1283700,5164,0,0,0,1,0,0,0,0,8,810,262,38,250,810,252,py=42790,312,3525,32483,21720,33.7,75905,542,42790,7,16,1,0,2,2,0,7,2,0
ipython,2023/5/1,150,6,0.2,3,7820,7930,153,5,15,30259,30259,0,0,0.4,795,0,1,1283100,5173,0,0,0,1,0,0,0,0,8,810,264,36,250,810,252,py=42770,312,3525,32482,21726,33.7,75891,541,42770,7,16,1,0,2,2,0,7,2,0
ipython,2023/5/8,150,6,0.2,3,7821,7933,153,5,15,30261,30261,0,0,0.4,795,0,1,1283160,5173,0,0,0,1,0,0,0,0,8,810,264,36,250,810,252,py=42772,312,3525,32484,21728,33.7,75896,541,42772,7,16,1,0,2,2,0,7,2,0
ipython,2023/5/15,150,6,0.2,3,7823,7931,153,5,15,30277,30277,0,0,0.4,795,0,1,1283730,5174,0,0,0,1,0,0,0,0,8,810,264,36,250,810,252,py=42791,312,3528,32501,21738,33.7,75931,542,42791,7,16,1,0,2,2,0,7,2,0
ipython,2023/5/22,150,6,0.2,3,7820,7930,153,5,15,30259,30259,0,0,0.4,795,0,1,1283100,5173,0,0,0,1,0,0,0,0,8,810,264,36,250,810,252,py=42770,312,3525,32482,21726,33.7,75891,541,42770,7,16,1,0,2,2,0,7,2,0
ipython,2023/5/29,150,6,0.2,3,7820,7930,153,5,15,30259,30259,0,0,0.4,795,0,1,1283100,5173,0,0,0,1,0,0,0,0,8,810,264,36,250,810,252,py=42770,312,3525,32482,21726,33.7,75891,541,42770,7,16,1,0,2,2,0,7,2,0
ipython,2023/6/5,150,6,0.2,3,7866,7976,153,5,15,30407,30407,0,0,0.4,794,0,1,1289910,5173,0,0,0,1,0,0,0,0,8,809,262,36,251,809,252,py=42997,313,3543,32634,21974,33.8,76419,545,42997,7,16,1,0,2,2,0,7,2,0
ipython,2023/6/12,150,6,0.2,3,7866,7976,153,5,15,30407,30407,0,0,0.4,794,0,1,1289910,5173,0,0,0,1,0,0,0,0,8,809,262,36,251,809,252,py=42997,313,3543,32634,21974,33.8,76419,545,42997,7,16,1,0,2,2,0,7,2,0
ipython,2023/6/19,150,6,0.2,3,7832,7941,153,5,15,30305,30305,0,0,0.4,794,0,1,1285470,5173,0,0,0,1,0,0,0,0,8,809,262,36,251,809,252,py=42849,312,3533,32530,21754,33.7,76019,543,42849,7,16,1,0,2,2,0,7,2,0
ipython,2023/6/26,150,6,0.2,3,7894,8014,153,5,15,30461,30461,0,0,0.4,794,0,1,1292490,5192,0,0,0,1,0,0,0,0,8,809,262,36,251,809,252,py=43083,313,3549,32689,21984,33.8,76527,545,43083,7,16,1,0,2,2,0,7,2,0
ipython,2023/7/3,150,6,0.2,3,7889,8002,153,5,15,30453,30453,0,0,0.4,794,0,1,1292280,5181,0,0,0,1,0,0,0,0,8,809,262,36,251,809,252,py=43076,313,3548,32681,21982,33.8,76516,545,43076,7,16,1,0,2,2,0,7,2,0
ipython,2023/7/10,150,6,0.2,3,7905,8028,153,5,15,30496,30496,0,0,0.4,796,0,1,1295520,5202,0,0,0,1,0,0,0,0,8,811,262,36,251,811,254,py=43184,314,3552,32724,21984,33.7,76640,545,43184,7,16,1,0,2,2,0,7,2,0
