project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
jumpserver,2022/10/31,879,40,1.3,25,6886,5009,77,5,11,33660,33660,0,0,0.2,514,0,1,1539540,2695,0,5,140,5,0,0,0,0,11,530,156,31,225,530,107,py=51318,1223,3433,33927,2824,5.2,67922,1882,51318,11,8,0,15,12,0,10,26,1,2
jumpserver,2022/11/7,879,40,1.3,25,6937,5060,77,5,11,34032,34032,0,0,0.2,511,0,1,1559400,2699,0,5,140,5,0,0,0,0,11,527,153,29,226,527,108,py=51980,1234,3455,34298,2863,5.2,68775,1923,51980,11,8,0,15,11,0,6,27,1,2
jumpserver,2022/11/14,907,42,1.3,27,7013,5116,77,5,11,34407,34407,0,0,0.2,509,0,1,1586550,2697,0,5,140,5,0,0,0,0,11,525,150,28,227,525,109,py=52885,1253,3496,34671,2853,5.1,69776,1950,52885,11,8,0,15,11,0,6,28,1,2
jumpserver,2022/11/21,907,42,1.3,27,7086,5162,77,5,11,34658,34658,0,0,0.2,510,0,1,1603140,2701,0,5,140,5,0,0,0,0,11,526,152,29,226,526,108,py=53438,1262,3530,34923,2871,5.1,70434,1959,53438,11,7,0,15,10,0,11,26,1,2
jumpserver,2022/11/28,907,42,1.3,27,7270,5387,87,5,12,35270,35270,0,0,0.2,521,0,1,1645170,2810,0,6,170,5,0,0,0,0,13,539,150,30,230,539,116,py=54839,1292,3574,35538,2933,5.1,72216,1977,54839,12,8,0,11,10,0,12,27,1,2
jumpserver,2022/12/5,959,42,1.3,27,7702,5749,92,5,13,36966,36966,0,0,0.2,547,0,1,1708140,3129,0,6,170,5,0,0,0,0,12,566,159,28,246,566,121,py=56938,1320,3772,37231,2953,4.9,74729,2008,56938,11,9,0,13,11,0,12,28,1,2
jumpserver,2022/12/12,959,42,1.3,27,7729,5760,92,5,13,37063,37063,0,0,0.2,546,0,1,1711170,3126,0,6,170,5,0,0,0,0,12,565,159,28,246,565,120,py=57039,1323,3784,37329,2948,4.9,74841,2011,57039,11,9,0,13,12,0,12,27,1,2
jumpserver,2022/12/19,925,40,1.2,24,7834,5840,92,5,13,37446,37446,0,0,0.2,554,0,1,1752510,3295,0,6,170,5,0,0,0,0,12,573,153,26,262,573,120,py=58417,1345,3840,37724,2935,4.8,76383,2045,58417,11,9,0,12,12,0,13,27,1,2
jumpserver,2022/12/26,925,40,1.2,24,7847,5855,92,5,13,37550,37550,0,0,0.2,550,0,1,1761360,3274,0,6,170,5,0,0,0,0,12,569,151,26,261,569,119,py=58712,1351,3841,37829,2943,4.8,76747,2060,58712,11,9,0,13,13,0,12,27,1,2
jumpserver,2023/1/2,925,40,1.2,24,7850,5861,92,5,13,37560,37560,0,0,0.2,550,0,1,1761780,3274,0,6,170,5,0,0,0,0,12,569,151,26,261,569,119,py=58726,1351,3841,37839,2943,4.8,76761,2060,58726,11,9,0,13,13,0,12,27,1,2
jumpserver,2023/1/9,925,40,1.2,24,7850,5861,92,5,13,37560,37560,0,0,0.2,550,0,1,1761780,3274,0,6,170,5,0,0,0,0,12,569,151,26,261,569,119,py=58726,1351,3841,37839,2943,4.8,76761,2060,58726,11,9,0,13,13,0,12,27,1,2
jumpserver,2023/1/16,1357,56,1.7,34,8073,5993,87,5,12,38647,38647,0,0,0.2,556,0,1,1789560,3305,0,6,170,5,0,0,0,0,14,574,155,24,262,574,119,py=59652,1372,3973,38922,2987,4.8,78076,2114,59652,11,8,0,12,10,0,12,29,1,2
jumpserver,2023/1/23,1357,56,1.7,34,8073,5993,87,5,12,38647,38647,0,0,0.2,556,0,1,1789560,3305,0,6,170,5,0,0,0,0,14,574,155,24,262,574,119,py=59652,1372,3973,38922,2987,4.8,78076,2114,59652,11,8,0,12,10,0,12,29,1,2
jumpserver,2023/1/30,1377,58,1.8,35,8161,6092,87,5,12,39012,39012,0,0,0.2,561,0,1,1804440,3331,0,6,170,5,0,0,0,0,14,579,155,24,266,579,120,py=60148,1374,3999,39288,3001,4.8,78664,2127,60148,11,9,0,13,10,0,18,30,1,3
jumpserver,2023/2/6,1333,56,1.7,35,8282,6197,102,5,14,39516,39516,0,0,0.2,554,0,1,1830630,3299,0,6,170,5,0,0,0,0,15,574,153,24,265,574,117,py=61021,1388,4053,39793,2920,4.6,79584,2144,61021,12,10,0,13,9,0,17,30,1,3
jumpserver,2023/2/13,1735,67,2.2,40,8428,6336,92,5,13,40093,40093,0,0,0.2,555,0,1,1852110,3343,0,6,170,5,0,0,0,0,14,574,154,23,267,574,116,py=61737,1392,4116,40372,2947,4.6,80462,2166,61737,13,10,0,14,9,8,17,29,1,3
