project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
kornia,2022/10/31,5343,342,5.9,71,8065,4549,1097,5,225,35925,35925,0,0,0.4,1636,0,1,1693440,6359,0,0,0,1,0,0,0,0,1,1861,679,193,405,1861,583,py=56448,443,4607,37138,22792,28.8,91134,827,56448,195,21,0,0,0,0,25,0,0,30
kornia,2022/11/7,5343,342,5.8,71,8113,4576,1097,5,225,36108,36108,0,0,0.4,1651,0,1,1698810,6388,0,0,0,1,0,0,0,0,1,1876,684,200,408,1876,583,py=56627,443,4633,37325,22832,28.7,91434,830,56627,195,21,0,0,0,0,25,0,0,30
kornia,2022/11/14,5260,337,5.7,70,8213,4637,1131,5,233,36450,36450,0,0,0.4,1677,0,1,1708680,6400,0,0,0,1,0,0,0,0,1,1910,688,223,414,1910,584,py=56956,445,4689,37690,22966,28.7,92063,832,56956,195,21,0,0,0,0,25,0,0,30
kornia,2022/11/21,5144,329,5.7,67,8124,4546,1127,5,231,36161,36161,0,0,0.4,1684,0,1,1689300,6363,0,0,0,1,0,0,0,0,1,1915,685,234,411,1915,584,py=56310,444,4669,37386,22558,28.6,90921,828,56310,195,21,0,0,0,0,25,0,0,30
kornia,2022/11/28,5144,329,5.6,67,8125,4555,1127,5,231,36218,36218,0,0,0.4,1685,0,1,1691670,6368,0,0,0,1,0,0,0,0,1,1916,685,234,411,1916,585,py=56389,444,4679,37447,22590,28.6,91055,827,56389,195,21,0,0,0,0,25,0,0,30
kornia,2022/12/5,5172,332,5.6,66,8194,4567,1142,5,234,36425,36425,0,0,0.4,1692,0,1,1705740,6372,0,0,0,1,0,0,0,0,1,1926,689,239,411,1926,586,py=56858,446,4723,37670,22687,28.5,91728,829,56858,195,21,0,0,0,0,25,0,0,30
kornia,2022/12/12,5203,333,5.7,68,8223,4577,1197,5,249,36674,36674,0,0,0.4,1726,0,1,1708050,6465,0,0,0,1,0,0,0,0,3,1975,702,260,423,1975,587,py=56935,447,4765,37916,22675,28.5,91915,833,56935,187,21,0,0,0,0,25,0,0,30
kornia,2022/12/19,5191,333,5.6,68,8244,4581,1197,5,249,36764,36764,0,0,0.4,1727,0,1,1711890,6467,0,0,0,1,0,0,0,0,3,1976,704,259,423,1976,587,py=57063,447,4782,38014,22730,28.5,92003,834,57063,187,21,0,0,0,0,25,0,0,30
kornia,2022/12/26,5191,333,5.6,68,8249,4584,1197,5,249,36780,36780,0,0,0.4,1728,0,1,1712820,6479,0,0,0,1,0,0,0,0,3,1977,705,259,423,1977,587,py=57094,447,4784,38031,22745,28.5,92057,834,57094,187,21,0,0,0,0,25,0,0,30
kornia,2023/1/2,5191,333,5.6,68,8269,4596,1197,5,249,36895,36895,0,0,0.4,1730,0,1,1719330,6483,0,0,0,1,0,0,0,0,3,1979,705,261,423,1979,587,py=57311,449,4798,38150,22818,28.5,92395,838,57311,185,21,0,0,0,0,25,0,0,30
kornia,2023/1/9,5248,337,5.6,69,8396,4634,1206,5,250,37528,37528,0,0,0.4,1753,0,1,1745280,6619,0,0,0,1,0,0,0,0,2,2003,721,262,431,2003,587,py=58176,456,4904,38805,23515,28.8,94236,853,58176,184,21,0,0,0,0,25,0,0,30
kornia,2023/1/16,5300,339,5.6,69,8438,4652,1206,5,250,37766,37766,0,0,0.4,1759,0,1,1758990,6637,0,0,0,1,0,0,0,0,2,2009,721,262,432,2009,592,py=58633,456,4935,39048,23597,28.7,94897,860,58633,198,22,0,0,0,0,25,0,0,30
kornia,2023/1/23,5337,343,5.6,72,8585,4620,1196,4,249,38291,38291,0,0,0.4,1785,0,1,1776480,6744,0,0,0,1,0,0,0,0,0,2034,740,265,429,2034,600,py=59216,459,5065,39614,23766,28.6,95830,869,59216,195,22,0,0,0,0,25,0,0,30
kornia,2023/1/30,5361,346,5.6,72,8549,4573,1201,4,250,38466,38466,0,0,0.4,1806,0,1,1787190,6873,0,0,0,1,0,0,0,0,0,2056,738,281,438,2056,599,py=59573,459,5087,39786,23697,28.5,96273,871,59573,231,22,0,0,0,0,25,0,0,30
kornia,2023/2/6,5359,346,5.6,72,8594,4575,1206,4,251,38649,38649,0,0,0.4,1800,0,1,1788600,6852,0,0,0,1,0,0,0,0,0,2051,735,281,436,2051,599,py=59620,463,5130,39974,23727,28.5,96405,888,59620,231,22,0,0,0,0,25,0,0,30
kornia,2023/2/13,5710,372,5.8,86,8827,4738,1206,4,251,39486,39486,0,0,0.4,1824,0,1,1829700,6969,0,0,0,1,0,0,0,0,0,2075,751,285,440,2075,599,py=60990,484,5259,40851,24121,28.3,98523,927,60990,231,22,0,0,0,0,25,0,0,30
kornia,2023/2/20,5714,372,5.8,86,8828,4728,1186,4,247,39608,39608,0,0,0.4,1829,0,1,1833180,6980,0,0,0,1,0,0,0,0,0,2076,753,288,436,2076,599,py=61106,483,5273,40973,24106,28.3,98671,929,61106,230,22,0,0,0,0,25,0,0,30
kornia,2023/2/27,5714,372,5.7,86,8862,4735,1196,4,249,39877,39877,0,0,0.4,1724,0,1,1846710,6477,0,0,0,1,0,0,0,0,0,1973,644,288,439,1973,602,py=61557,487,5305,41247,24286,28.3,99412,938,61557,240,22,0,0,0,0,25,0,0,30
kornia,2023/3/6,5714,372,5.7,86,8870,4737,1196,4,249,39921,39921,0,0,0.4,1727,0,1,1848000,6489,0,0,0,1,0,0,0,0,0,1976,644,288,439,1976,605,py=61600,487,5312,41292,24298,28.3,99481,938,61600,238,22,0,0,0,0,25,0,0,30
kornia,2023/3/13,5690,372,5.7,85,8873,4737,1196,4,249,39977,39977,0,0,0.4,1727,0,1,1849710,6489,0,0,0,1,0,0,0,0,0,1976,644,288,439,1976,605,py=61657,487,5315,41348,24342,28.3,99599,938,61657,238,22,0,0,0,0,25,0,0,30
kornia,2023/3/20,5690,372,5.7,85,8892,4746,1196,4,249,40080,40080,0,0,0.4,1730,0,1,1855020,6504,0,0,0,1,0,0,0,0,0,1979,645,288,441,1979,605,py=61834,489,5328,41452,24371,28.3,99839,941,61834,238,22,0,0,0,0,25,0,0,30
kornia,2023/3/27,5690,372,5.7,85,8950,4792,1206,4,250,40406,40406,0,0,0.3,1734,0,1,1867800,6535,0,0,0,1,0,0,0,0,0,1984,646,288,442,1984,608,py=62260,497,5356,41790,24498,28.2,100509,951,62260,236,22,0,0,0,0,25,0,0,30
kornia,2023/4/3,5690,372,5.7,85,8952,4792,1206,4,250,40426,40426,0,0,0.3,1733,0,1,1868520,6530,0,0,0,1,0,0,0,0,0,1983,646,288,442,1983,607,py=62284,497,5358,41810,24499,28.2,100539,951,62284,236,22,0,0,0,0,25,0,0,30
kornia,2023/4/10,5690,372,5.6,85,8980,4810,1201,4,249,40620,40620,0,0,0.4,1749,0,1,1877250,6576,0,0,0,1,0,0,0,0,0,1998,646,288,443,1998,621,py=62575,499,5375,42006,24591,28.2,100994,953,62575,240,22,0,0,0,0,25,0,0,30
kornia,2023/4/17,5713,374,5.5,85,9147,4914,1201,4,249,41393,41393,0,0,0.4,1774,0,1,1912260,6712,0,0,0,1,0,0,0,0,0,2023,651,290,447,2023,635,py=63742,515,5459,42845,25180,28.3,103075,976,63742,238,22,0,0,0,0,25,0,0,30
kornia,2023/4/24,5703,374,5.5,85,9141,4908,1201,4,249,41386,41386,0,0,0.4,1770,0,1,1912050,6708,0,0,0,1,0,0,0,0,0,2019,651,288,447,2019,633,py=63735,515,5459,42838,25177,28.3,103065,976,63735,238,22,0,0,0,0,25,0,0,30
kornia,2023/5/1,6301,380,6.1,88,9200,4965,1206,4,250,41621,41621,0,0,0.3,1776,0,1,1923060,6718,0,0,0,1,0,0,0,0,0,2026,655,290,448,2026,633,py=64102,516,5480,43084,25349,28.3,103671,977,64102,238,22,0,0,0,0,25,0,0,30
kornia,2023/5/8,6301,380,6.1,88,9227,4995,1196,4,248,41680,41680,0,0,0.3,1777,0,1,1925100,6724,0,0,0,1,0,0,0,0,0,2025,655,290,447,2025,633,py=64170,516,5493,43143,25371,28.3,103771,977,64170,242,22,0,0,0,0,25,0,0,30
kornia,2023/5/15,6301,380,6.1,88,9227,4995,1196,4,248,41680,41680,0,0,0.3,1777,0,1,1925100,6724,0,0,0,1,0,0,0,0,0,2025,655,290,447,2025,633,py=64170,516,5493,43143,25371,28.3,103771,977,64170,242,22,0,0,0,0,25,0,0,30
kornia,2023/5/22,6301,380,6.1,88,9227,4995,1196,4,248,41680,41680,0,0,0.3,1777,0,1,1925100,6724,0,0,0,1,0,0,0,0,0,2025,655,290,447,2025,633,py=64170,516,5493,43143,25382,28.3,103782,977,64170,242,22,0,0,0,0,25,0,0,30
kornia,2023/5/29,6301,380,6.1,88,9226,4994,1196,4,248,41680,41680,0,0,0.3,1777,0,1,1925100,6724,0,0,0,1,0,0,0,0,0,2025,655,290,447,2025,633,py=64170,516,5493,43143,25383,28.3,103784,977,64170,165,22,0,0,0,0,25,0,0,30
kornia,2023/6/5,6301,380,6.1,88,9222,4970,1196,4,248,41687,41687,0,0,0.3,1775,0,1,1926990,6701,0,0,0,1,0,0,0,0,0,2023,656,288,446,2023,633,py=64233,516,5494,43151,25365,28.3,103830,977,64233,165,22,0,0,0,0,25,0,0,30
kornia,2023/6/12,6301,380,6.1,88,9222,4970,1196,4,248,41687,41687,0,0,0.3,1775,0,1,1926990,6701,0,0,0,1,0,0,0,0,0,2023,656,288,446,2023,633,py=64233,516,5494,43151,25365,28.3,103830,977,64233,165,22,0,0,0,0,25,0,0,30
kornia,2023/6/19,6347,382,6.1,90,9293,4985,1196,4,248,41962,41962,0,0,0.4,1792,0,1,1937280,6786,0,0,0,1,0,0,0,0,0,2040,656,288,462,2040,634,py=64576,526,5554,43457,25605,28.4,104522,993,64576,171,22,0,0,0,0,25,0,0,30
kornia,2023/6/26,6347,382,6.1,90,9299,4991,1184,4,242,41976,41976,0,0,0.4,1793,0,1,1937850,6791,0,0,0,1,0,0,0,0,0,2035,651,288,462,2035,634,py=64595,526,5556,43473,25615,28.4,104555,993,64595,171,22,0,0,0,0,25,0,0,30
kornia,2023/7/3,6329,382,6,89,9444,5090,1184,4,242,42704,42704,0,0,0.3,1800,0,1,1972590,6834,0,0,0,1,0,0,0,0,0,2042,652,292,463,2042,635,py=65753,539,5626,44230,25890,28.3,106242,1020,65753,171,22,0,0,0,0,25,0,0,30
kornia,2023/7/10,6311,376,5.9,89,9498,5154,1189,4,243,43200,43200,0,0,0.3,1834,0,1,1991130,6957,0,0,0,1,0,0,0,0,0,2077,657,298,466,2077,656,py=66371,542,5646,44745,26123,28.2,107230,1041,66371,149,22,0,0,0,0,25,0,0,30
kornia,2023/7/17,6311,376,5.8,89,9568,5172,1179,4,242,43496,43496,0,0,0.3,1843,0,1,2002440,6963,0,0,0,1,0,0,0,0,0,2085,657,306,466,2085,656,py=66748,547,5702,45069,26320,28.3,107931,1050,66748,149,22,0,0,0,0,25,0,0,30
kornia,2023/7/24,6333,378,5.9,90,9592,5184,1184,4,243,43599,43599,0,0,0.3,1843,0,1,2005890,6960,0,0,0,1,0,0,0,0,0,2086,657,306,467,2086,656,py=66863,547,5716,45185,26416,28.3,108161,1051,66863,147,22,0,0,0,0,25,0,0,30
kornia,2023/7/31,6333,378,5.9,90,9593,5186,1184,4,243,43607,43607,0,0,0.3,1845,0,1,2006160,6967,0,0,0,1,0,0,0,0,0,2088,658,307,467,2088,656,py=66872,547,5716,45193,26425,28.3,108179,1051,66872,147,22,0,0,0,0,25,0,0,30
kornia,2023/8/7,6333,378,5.9,90,9593,5184,1184,4,243,43613,43613,0,0,0.3,1844,0,1,2006340,6967,0,0,0,1,0,0,0,0,0,2087,658,306,467,2087,656,py=66878,547,5717,45199,26421,28.3,108182,1051,66878,147,22,0,0,0,0,25,0,0,30
kornia,2023/8/14,6333,378,5.9,90,9593,5184,1184,4,243,43613,43613,0,0,0.3,1844,0,1,2006340,6967,0,0,0,1,0,0,0,0,0,2087,658,306,467,2087,656,py=66878,547,5717,45199,26421,28.3,108182,1051,66878,147,22,0,0,0,0,25,0,0,30
kornia,2023/8/21,6333,378,5.8,90,9605,5188,1184,4,243,43672,43672,0,0,0.3,1853,0,1,2008470,6984,0,0,0,1,0,0,0,0,0,2096,659,306,467,2096,664,py=66949,547,5726,45263,26458,28.3,108289,1051,66949,147,22,0,0,0,0,25,0,0,30
kornia,2023/8/28,6295,376,5.8,89,9647,5228,1184,4,243,43920,43920,0,0,0.3,1815,0,1,2018400,6941,0,0,0,1,0,0,0,0,0,2058,621,306,467,2058,664,py=67280,550,5742,45514,26632,28.4,108879,1054,67280,144,21,0,0,0,0,25,0,0,30
kornia,2023/9/4,6295,376,5.8,89,9652,5232,1184,4,243,43939,43939,0,0,0.3,1815,0,1,2019090,6942,0,0,0,1,0,0,0,0,0,2058,621,306,467,2058,664,py=67303,550,5745,45534,26633,28.4,108910,1055,67303,144,21,0,0,0,0,25,0,0,30
kornia,2023/9/11,6295,376,5.8,89,9652,5232,1184,4,243,43939,43939,0,0,0.3,1815,0,1,2019090,6942,0,0,0,1,0,0,0,0,0,2058,621,306,467,2058,664,py=67303,550,5745,45534,26633,28.4,108910,1055,67303,144,21,0,0,0,0,25,0,0,30
kornia,2023/9/18,6251,374,5.7,88,9701,5271,1189,4,244,44129,44129,0,0,0.3,1835,0,1,2032830,6978,0,0,0,1,0,0,0,0,0,2079,626,318,468,2079,667,py=67761,550,5771,45732,26807,28.3,109676,1062,67761,150,21,0,0,0,0,25,0,0,30
kornia,2023/9/25,6251,374,5.7,88,9701,5269,1189,4,244,44141,44141,0,0,0.3,1835,0,1,2033490,6978,0,0,0,1,0,0,0,0,0,2079,626,318,468,2079,667,py=67783,550,5773,45744,26805,28.3,109704,1062,67783,150,21,0,0,0,0,25,0,0,30
kornia,2023/10/2,6247,378,5.7,88,9735,5285,1189,4,244,44317,44317,0,0,0.3,1816,0,1,2043120,6674,0,0,0,1,0,0,0,0,0,2060,625,319,447,2060,669,py=68104,551,5798,45922,26871,28.3,110160,1066,68104,143,21,0,0,0,0,25,0,0,30
kornia,2023/10/9,6247,378,5.7,88,9739,5288,1189,4,244,44347,44347,0,0,0.3,1816,0,1,2045280,6674,0,0,0,1,0,0,0,0,0,2060,625,319,447,2060,669,py=68176,551,5801,45952,26871,28.3,110246,1067,68176,143,21,0,0,0,0,25,0,0,30
kornia,2023/10/16,6286,381,5.6,90,9811,5331,1189,4,244,44685,44685,0,0,0.3,1836,0,1,2075160,6749,0,0,0,1,0,0,0,0,0,2080,625,319,457,2080,679,py=69172,554,5846,46308,27108,28.2,111593,1072,69172,145,21,0,0,0,0,25,0,0,30
