project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
lm-evaluation-harness,2022/10/31,657,34,4.1,14,1787,941,20,3,3,6296,6296,0,0,0.3,229,0,1,309030,779,0,0,0,1,0,0,0,0,0,232,53,99,24,232,56,py=10301,119,1202,6528,2635,20.4,15974,250,10301,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/11/7,657,34,4.1,14,1787,941,20,3,3,6296,6296,0,0,0.3,229,0,1,309030,779,0,0,0,1,0,0,0,0,0,232,53,99,24,232,56,py=10301,119,1202,6528,2635,20.4,15974,250,10301,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/11/14,657,34,4.1,14,1787,941,20,3,3,6296,6296,0,0,0.3,229,0,1,309030,779,0,0,0,1,0,0,0,0,0,232,53,99,24,232,56,py=10301,119,1202,6528,2635,20.4,15974,250,10301,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/11/21,657,34,4.1,14,1783,940,20,3,3,6274,6274,0,0,0.3,227,0,1,306210,779,0,0,0,1,0,0,0,0,0,230,53,97,24,230,56,py=10207,117,1199,6504,2619,20.4,15842,249,10207,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/11/28,657,34,4.1,14,1802,953,20,3,3,6355,6355,0,0,0.2,224,0,1,311280,754,0,0,0,1,0,0,0,0,0,227,51,99,22,227,55,py=10376,119,1209,6592,2646,20.3,16083,252,10376,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/12/5,657,34,4.1,14,1802,953,20,3,3,6354,6354,0,0,0.2,224,0,1,311250,754,0,0,0,1,0,0,0,0,0,227,51,99,22,227,55,py=10375,119,1209,6591,2646,20.3,16081,252,10375,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/12/12,657,34,4.1,14,1798,952,20,3,3,6330,6330,0,0,0.2,222,0,1,308370,754,0,0,0,1,0,0,0,0,0,225,51,97,22,225,55,py=10279,117,1206,6565,2630,20.4,15947,251,10279,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/12/19,657,34,4.1,14,1798,952,20,3,3,6330,6330,0,0,0.2,222,0,1,308370,754,0,0,0,1,0,0,0,0,0,225,51,97,22,225,55,py=10279,117,1206,6565,2630,20.4,15947,251,10279,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2022/12/26,657,34,4.1,14,1798,952,20,3,3,6330,6330,0,0,0.2,222,0,1,308370,754,0,0,0,1,0,0,0,0,0,225,51,97,22,225,55,py=10279,117,1206,6565,2630,20.4,15947,251,10279,0,4,0,0,0,0,0,11,0,7
lm-evaluation-harness,2023/1/2,657,34,4.1,14,1798,952,20,3,3,6330,6330,0,0,0.2,222,0,1,308370,754,0,0,0,1,0,0,0,0,0,225,51,97,22,225,55,py=10279,117,1206,6565,2630,20.4,15947,251,10279,0,4,0,0,0,0,0,11,0,7
