project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
localstack,2022/10/31,3063,107,1.3,36,18805,14325,274,5,43,87009,87009,0,0,0.2,1685,0,1,5125740,9826,0,64,350,4,0,0,0,0,15,1792,560,647,350,1792,220,py=170858,662,9683,88377,12517,6.8,228097,8957,170858,10,6,0,0,0,0,0,0,0,0
localstack,2022/11/7,3063,107,1.3,36,18876,14372,279,5,44,87306,87306,0,0,0.2,1686,0,1,5150520,9838,0,64,350,4,0,0,0,0,15,1794,560,645,351,1794,223,py=171684,662,9725,88675,12521,6.8,229065,8973,171684,10,6,0,0,0,0,0,0,0,0
localstack,2022/11/14,3433,115,1.5,39,19046,14490,274,5,43,88197,88197,0,0,0.2,1715,0,1,5204220,9969,0,64,350,4,0,0,0,0,15,1822,560,661,363,1822,223,py=173474,666,9821,89583,12716,6.8,231424,9033,173474,10,6,0,0,0,0,0,0,0,0
localstack,2022/11/21,3711,126,1.6,43,19215,14648,279,5,44,89072,89072,0,0,0.2,1763,0,1,5268000,10039,0,64,350,4,0,0,0,0,15,1871,566,698,366,1871,226,py=175600,668,9883,90476,12980,6.9,234162,9056,175600,10,6,0,0,0,0,0,0,0,0
localstack,2022/11/28,3691,126,1.6,42,19030,14375,284,5,44,88713,88713,0,0,0.2,1749,0,1,5274000,9871,0,64,350,4,0,0,0,0,16,1857,559,694,365,1857,223,py=175800,666,9862,90142,13042,6.9,234405,9063,175800,4,2,0,0,0,0,0,0,0,0
localstack,2022/12/5,3757,128,1.6,43,19170,14507,288,5,46,89789,89789,0,0,0.2,1749,0,1,5355060,9987,0,64,350,4,0,0,0,0,16,1859,564,687,372,1859,220,py=178502,669,9946,91231,13153,6.9,237872,9242,178502,4,2,0,0,0,0,0,0,0,0
localstack,2022/12/12,3743,131,1.6,43,19246,14545,288,5,46,90105,90105,0,0,0.2,1749,0,1,5370060,9985,0,64,350,4,0,0,0,0,16,1859,565,688,369,1859,221,py=179002,676,9995,91564,13276,6.9,238628,9247,179002,4,2,0,0,0,0,0,0,0,0
localstack,2022/12/19,3710,131,1.5,43,19344,14625,288,5,46,90530,90530,0,0,0.2,1763,0,1,5398980,10060,0,64,350,4,0,0,0,0,16,1873,572,690,374,1873,221,py=179966,678,10042,91995,13392,6.9,239878,9255,179966,4,2,0,0,0,0,0,0,0,3
localstack,2022/12/26,3710,131,1.5,43,19381,14629,288,5,46,90865,90865,0,0,0.2,1761,0,1,5425350,10081,0,64,350,4,0,0,0,0,16,1871,580,678,377,1871,220,py=180845,693,10070,92342,13475,6.9,240987,9261,180845,4,2,0,0,0,0,0,0,0,7
localstack,2023/1/2,3710,131,1.5,43,19537,14777,298,5,48,91632,91632,0,0,0.2,1781,0,1,5467620,10072,0,64,350,4,0,0,0,0,16,1893,579,699,384,1893,215,py=182254,698,10142,93153,13947,7.1,243194,9283,182254,4,2,0,0,0,0,0,0,0,7
