project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
mypy,2022/10/31,369,19,0.3,6,21955,24558,120,5,10,57716,57716,0,0,0.5,1663,0,1,2692170,13704,0,2,30,5,0,0,0,0,14,1675,267,448,775,1675,171,py=89739,365,7324,60192,22857,20.3,129192,719,89739,0,1,0,0,0,0,0,0,0,0
mypy,2022/11/7,367,19,0.3,6,21961,24516,120,5,10,57716,57716,0,0,0.5,1658,0,1,2694240,13688,0,2,30,5,0,0,0,0,14,1670,266,446,774,1670,170,py=89808,365,7329,60194,22876,20.3,129293,719,89808,0,1,0,0,0,0,0,0,0,0
mypy,2022/11/14,367,19,0.3,6,22062,24701,120,5,10,57957,57957,0,0,0.5,1667,0,1,2706630,13857,0,2,30,5,0,0,0,0,14,1679,267,451,777,1679,170,py=90221,365,7338,60435,22941,20.3,129807,721,90221,0,1,0,0,0,0,0,0,0,0
mypy,2022/11/21,367,19,0.3,6,22245,24882,120,5,10,58371,58371,0,0,0.5,1674,0,1,2724750,13910,0,2,30,5,0,0,0,0,14,1686,267,454,781,1686,170,py=90825,366,7412,60859,23041,20.2,130600,723,90825,0,1,0,0,0,0,0,0,0,0
mypy,2022/11/28,367,19,0.3,6,22310,24949,120,5,10,58620,58620,0,0,0.5,1678,0,1,2737110,13917,0,2,30,5,0,0,0,0,14,1690,267,457,782,1690,170,py=91237,367,7433,61108,23065,20.2,131156,725,91237,0,1,0,0,0,0,0,0,0,0
mypy,2022/12/5,367,19,0.3,6,22325,24974,120,5,10,58656,58656,0,0,0.5,1682,0,1,2738820,13941,0,2,30,5,0,0,0,0,14,1694,267,457,786,1694,170,py=91294,367,7436,61145,23070,20.2,131223,725,91294,0,1,0,0,0,0,0,0,0,0
mypy,2022/12/12,367,19,0.3,6,22354,25015,120,5,10,58748,58748,0,0,0.5,1683,0,1,2741820,13959,0,2,30,5,0,0,0,0,14,1695,267,458,786,1695,170,py=91394,368,7444,61241,23134,20.2,131403,725,91394,0,1,0,0,0,0,0,0,0,0
mypy,2022/12/19,362,19,0.3,6,22440,25123,135,5,11,59005,59005,0,0,0.5,1688,0,1,2751240,14040,0,2,30,5,0,0,0,0,14,1701,269,459,789,1701,170,py=91708,369,7482,61505,23222,20.2,131881,727,91708,0,1,0,0,0,0,0,0,0,0
mypy,2022/12/26,362,19,0.3,6,22504,25229,135,5,11,59136,59136,0,0,0.5,1690,0,1,2756850,14102,0,2,30,5,0,0,0,0,14,1703,269,458,792,1703,170,py=91895,369,7500,61640,23267,20.2,132146,729,91895,0,1,0,0,0,0,0,0,0,0
mypy,2023/1/2,362,19,0.3,6,22512,25237,135,5,11,59150,59150,0,0,0.5,1689,0,1,2757480,14102,0,2,30,5,0,0,0,0,14,1702,269,457,792,1702,170,py=91916,369,7501,61654,23270,20.2,132173,729,91916,0,1,0,0,0,0,0,0,0,0
mypy,2023/1/9,394,21,0.3,7,22606,25341,135,5,11,59412,59412,0,0,0.5,1709,0,1,2769300,14173,0,2,30,5,0,0,0,0,14,1722,276,461,797,1722,174,py=92310,369,7526,61926,23337,20.2,132695,734,92310,0,1,0,0,0,0,0,0,0,0
mypy,2023/1/16,394,21,0.3,7,22623,25356,135,5,11,59460,59460,0,0,0.5,1705,0,1,2771160,14167,0,2,30,5,0,0,0,0,14,1718,276,458,796,1718,174,py=92372,370,7530,61975,23358,20.2,132787,734,92372,0,1,0,0,0,0,0,0,0,0
mypy,2023/1/23,394,21,0.3,7,22673,25433,135,5,11,59550,59550,0,0,0.5,1709,0,1,2776230,14217,0,2,30,5,0,0,0,0,14,1722,277,460,798,1722,173,py=92541,370,7535,62066,23389,20.2,133004,734,92541,0,1,0,0,0,0,0,0,0,0
mypy,2023/1/30,394,21,0.3,7,22706,25496,135,5,11,59632,59632,0,0,0.5,1711,0,1,2781630,14263,0,2,30,5,0,0,0,0,14,1724,278,460,798,1724,174,py=92721,370,7545,62154,23423,20.2,133245,736,92721,0,1,0,0,0,0,0,0,0,0
mypy,2023/2/6,394,21,0.3,7,22773,25605,137,5,12,59744,59744,0,0,0.5,1712,0,1,2788380,14322,0,2,30,5,0,0,0,0,14,1726,279,460,798,1726,175,py=92946,370,7545,62269,23484,20.2,133555,736,92946,0,1,0,0,0,0,0,0,0,0
mypy,2023/2/13,394,21,0.3,7,22827,25667,142,5,13,59862,59862,0,0,0.5,1718,0,1,2795010,14387,0,2,30,5,0,0,0,0,15,1733,278,461,804,1733,175,py=93167,370,7560,62395,23531,20.2,133859,739,93167,0,1,0,0,0,0,0,0,0,0
mypy,2023/2/20,394,21,0.3,7,22833,25677,142,5,13,59884,59884,0,0,0.5,1718,0,1,2795850,14393,0,2,30,5,0,0,0,0,15,1733,278,461,804,1733,175,py=93195,370,7561,62417,23534,20.2,133896,739,93195,0,1,0,0,0,0,0,0,0,0
mypy,2023/2/27,394,21,0.3,7,22862,25716,142,5,13,59960,59960,0,0,0.5,1718,0,1,2797140,14426,0,2,30,5,0,0,0,0,15,1733,278,459,806,1733,175,py=93238,371,7569,62494,23550,20.2,133979,740,93238,0,1,0,0,0,0,0,0,0,0
mypy,2023/3/6,394,21,0.3,7,22892,25748,142,5,13,60062,60062,0,0,0.5,1719,0,1,2801430,14426,0,2,30,5,0,0,0,0,15,1734,279,459,806,1734,175,py=93381,371,7578,62598,23562,20.1,134159,740,93381,0,1,0,0,0,0,0,0,0,0
mypy,2023/3/13,394,21,0.3,7,22991,25843,147,5,14,60360,60360,0,0,0.5,1737,0,1,2818680,14564,0,2,30,5,0,0,0,0,15,1753,283,464,814,1753,177,py=93956,371,7631,62913,23644,20.1,134899,745,93956,0,1,0,0,0,0,0,0,0,0
mypy,2023/3/20,394,21,0.3,7,23024,25900,147,5,14,60434,60434,0,0,0.5,1741,0,1,2828730,14616,0,2,30,5,0,0,0,0,15,1757,284,466,815,1757,177,py=94291,371,7633,62987,23674,20.1,135276,745,94291,0,1,0,0,0,0,0,0,0,0
mypy,2023/3/27,394,21,0.3,7,23026,25903,147,5,14,60440,60440,0,0,0.5,1741,0,1,2828310,14619,0,2,30,5,0,0,0,0,15,1757,284,466,815,1757,177,py=94277,371,7633,62993,23674,20.1,135264,745,94277,0,1,0,0,0,0,0,0,0,0
mypy,2023/4/3,394,21,0.3,7,23075,25967,147,5,14,60604,60604,0,0,0.5,1744,0,1,2836260,14656,0,2,30,5,0,0,0,0,15,1760,285,466,817,1760,177,py=94542,371,7646,63160,23713,20.1,135595,746,94542,0,1,0,0,0,0,0,0,0,0
mypy,2023/4/10,400,21,0.3,7,23121,26008,147,5,14,60719,60719,0,0,0.5,1745,0,1,2844240,14657,0,2,30,5,0,0,0,0,15,1761,286,465,818,1761,177,py=94808,371,7661,63281,23747,20,135901,747,94808,0,1,0,0,0,0,0,0,0,0
mypy,2023/4/17,400,21,0.3,7,23146,26051,147,5,14,60800,60800,0,0,0.5,1746,0,1,2851230,14679,0,2,30,5,0,0,0,0,15,1762,286,465,819,1762,177,py=95041,371,7668,63364,23751,20,136157,747,95041,0,1,0,0,0,0,0,0,0,0
mypy,2023/4/24,400,21,0.3,7,23201,26126,147,5,14,60980,60980,0,0,0.5,1745,0,1,2860020,14714,0,2,30,5,0,0,0,0,15,1761,286,464,819,1761,177,py=95334,371,7689,63551,23804,20,136544,749,95334,0,1,0,0,0,0,0,0,0,0
mypy,2023/5/1,430,23,0.3,8,23298,26286,147,5,14,61204,61204,0,0,0.5,1748,0,1,2867880,14826,0,2,30,5,0,0,0,0,15,1764,286,463,823,1764,177,py=95596,371,7710,63776,23836,20,136865,750,95596,0,1,0,0,0,0,0,0,0,0
mypy,2023/5/8,430,23,0.3,8,23296,26293,147,5,14,61218,61218,0,0,0.5,1749,0,1,2868120,14841,0,2,30,5,0,0,0,0,15,1765,287,463,823,1765,177,py=95604,372,7706,63788,23853,20,136911,751,95604,0,1,0,0,0,0,0,0,0,0
mypy,2023/5/15,430,23,0.3,8,23334,26359,147,5,14,61329,61329,0,0,0.5,1755,0,1,2872080,14863,0,2,30,5,0,0,0,0,15,1771,288,466,825,1771,177,py=95736,372,7709,63901,23868,20,137076,751,95736,0,1,0,0,0,0,0,0,0,0
mypy,2023/5/22,430,23,0.3,8,23360,26391,147,5,14,61402,61402,0,0,0.5,1755,0,1,2875260,14874,0,2,30,5,0,0,0,0,15,1771,288,466,825,1771,177,py=95842,373,7719,63975,23875,19.9,137223,754,95842,0,1,0,0,0,0,0,0,0,0
mypy,2023/5/29,430,23,0.3,8,23420,26463,147,5,14,61574,61574,0,0,0.5,1759,0,1,2890590,14962,0,2,30,5,0,0,0,0,15,1775,292,466,825,1775,177,py=96353,375,7737,64148,23898,19.9,137796,757,96353,0,1,0,0,0,0,0,0,0,0
mypy,2023/6/5,430,23,0.3,8,23465,26537,147,5,14,61670,61670,0,0,0.5,1761,0,1,2895660,15014,0,2,30,5,0,0,0,0,15,1777,292,466,827,1777,177,py=96522,377,7747,64247,23916,19.9,138005,758,96522,0,1,0,0,0,0,0,0,0,0
mypy,2023/6/12,430,23,0.3,8,23517,26587,147,5,14,61785,61785,0,0,0.5,1763,0,1,2901180,15024,0,2,30,5,0,0,0,0,15,1779,292,468,827,1779,177,py=96706,373,7763,64366,23949,19.8,138252,759,96706,0,1,0,0,0,0,0,0,0,0
mypy,2023/6/19,430,23,0.3,8,23658,26771,147,5,14,62088,62088,0,0,0.5,1769,0,1,2914560,15155,0,2,30,5,0,0,0,0,15,1785,295,470,831,1785,174,py=97152,374,7787,64684,24083,19.9,138890,762,97152,0,1,0,0,0,0,0,0,0,0
