project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
netbox,2022/10/31,5246,498,4.8,38,6443,4751,130,5,22,41145,41145,0,0,0.2,689,0,1,2502240,4588,0,0,0,1,0,0,0,0,2,711,151,35,464,711,59,py=83408,651,3441,42131,7080,7.8,108770,3662,83408,5,36,0,37,30,0,0,7,5,30
netbox,2022/11/7,5354,508,4.9,39,6465,4731,130,5,22,41486,41486,0,0,0.2,690,0,1,2528160,4625,0,0,0,1,0,0,0,0,2,712,152,35,468,712,55,py=84272,657,3464,42472,7105,7.8,109776,3697,84272,5,37,0,37,31,0,0,7,5,30
netbox,2022/11/14,5190,496,5,36,6144,4438,130,5,22,39545,39545,0,0,0.2,648,0,1,2387040,4370,0,0,0,1,0,0,0,0,2,670,138,34,448,670,48,py=79568,608,3340,40494,6803,7.9,103959,3523,79568,4,36,0,35,26,0,0,12,1,29
netbox,2022/11/21,5190,496,5,36,6156,4448,130,5,22,39593,39593,0,0,0.2,648,0,1,2389860,4358,0,0,0,1,0,0,0,0,2,670,138,34,448,670,48,py=79662,611,3345,40543,6811,7.9,104080,3525,79662,4,36,0,35,26,0,0,12,1,29
netbox,2022/11/28,5190,496,5,36,6158,4453,130,5,22,39597,39597,0,0,0.2,648,0,1,2390340,4362,0,0,0,1,0,0,0,0,2,670,138,34,448,670,48,py=79678,611,3345,40547,6815,7.9,104100,3525,79678,4,36,0,35,26,0,0,12,1,29
netbox,2022/12/5,5190,496,5,36,6169,4465,130,5,22,39618,39618,0,0,0.2,648,0,1,2391120,4362,0,0,0,1,0,0,0,0,2,670,138,34,448,670,48,py=79704,611,3347,40568,6821,7.9,104138,3525,79704,4,36,0,35,26,0,0,12,1,29
netbox,2022/12/12,5411,513,4.8,39,6593,4839,130,5,22,42260,42260,0,0,0.2,703,0,1,2572620,4694,0,0,0,1,0,0,0,0,2,725,149,35,468,725,71,py=85754,666,3511,43269,7285,7.8,111660,3717,85754,5,38,0,36,31,0,0,7,5,30
netbox,2022/12/19,5411,513,4.8,39,6594,4843,130,5,22,42264,42264,0,0,0.2,703,0,1,2572800,4697,0,0,0,1,0,0,0,0,2,725,149,35,468,725,71,py=85760,666,3511,43273,7286,7.8,111667,3717,85760,5,38,0,36,31,0,0,7,5,30
netbox,2022/12/26,5411,513,4.8,39,6608,4863,130,5,22,42301,42301,0,0,0.2,704,0,1,2574480,4711,0,0,0,1,0,0,0,0,2,726,149,35,469,726,71,py=85816,666,3515,43310,7290,7.8,111744,3717,85816,5,38,0,36,31,0,0,7,5,30
netbox,2023/1/2,5411,513,4.8,39,6623,4884,130,5,22,42361,42361,0,0,0.2,705,0,1,2578290,4731,0,0,0,1,0,0,0,0,2,727,149,35,470,727,71,py=85943,666,3518,43371,7302,7.8,111892,3717,85943,5,38,0,36,31,0,0,7,5,30
netbox,2023/1/9,5411,513,4.8,39,6633,4893,130,5,22,42388,42388,0,0,0.2,705,0,1,2583450,4731,0,0,0,1,0,0,0,0,2,727,149,35,470,727,71,py=86115,666,3519,43399,7309,7.8,112078,3717,86115,5,38,0,36,31,0,0,7,5,30
