project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
networkx,2022/10/31,5553,355,3.3,71,15114,16729,551,3,113,63463,63463,0,0,0.6,3285,0,1,2546250,16502,0,0,0,1,0,0,0,0,4,3398,467,69,356,3398,2502,py=84875,629,6332,66069,65464,43.5,166658,557,84875,37,142,0,0,7,1,6,97,0,246
networkx,2022/11/7,5553,355,3.3,71,15167,16777,551,3,113,63660,63660,0,0,0.6,3290,0,1,2556120,16549,0,0,0,1,0,0,0,0,4,3403,470,70,357,3403,2502,py=85204,630,6357,66272,65650,43.5,167229,558,85204,37,142,0,0,7,1,6,97,0,246
networkx,2022/11/14,5615,363,3.4,72,15188,16784,551,3,113,63771,63771,0,0,0.6,3291,0,1,2560800,16559,0,0,0,1,0,0,0,0,4,3404,470,69,357,3404,2504,py=85360,630,6370,66391,65701,43.5,167452,558,85360,37,142,0,0,7,1,6,98,0,246
networkx,2022/11/21,5625,363,3.4,72,15187,16784,551,3,113,63768,63768,0,0,0.6,3291,0,1,2560710,16559,0,0,0,1,0,0,0,0,4,3404,470,69,357,3404,2504,py=85357,630,6369,66388,65701,43.5,167447,558,85357,37,142,0,0,7,1,6,98,0,246
networkx,2022/11/28,5625,363,3.4,72,15197,16801,551,3,113,63810,63810,0,0,0.6,3291,0,1,2565180,16563,0,0,0,1,0,0,0,0,4,3404,470,69,357,3404,2504,py=85506,630,6371,66430,65727,43.5,167628,558,85506,37,143,0,0,7,2,6,98,0,246
networkx,2022/12/5,5625,363,3.4,72,15197,16801,551,3,113,63810,63810,0,0,0.6,3291,0,1,2565180,16563,0,0,0,1,0,0,0,0,4,3404,470,69,357,3404,2504,py=85506,630,6371,66430,65730,43.5,167631,558,85506,37,143,0,0,7,2,6,98,0,246
networkx,2022/12/12,5645,365,3.4,73,15209,16804,551,3,113,63859,63859,0,0,0.6,3291,0,1,2568330,16564,0,0,0,1,0,0,0,0,4,3404,470,69,356,3404,2505,py=85611,630,6378,66479,65879,43.5,167902,560,85611,37,144,0,0,6,2,6,97,0,246
networkx,2022/12/19,5645,365,3.4,73,15214,16807,551,3,113,63874,63874,0,0,0.6,3291,0,1,2568840,16566,0,0,0,1,0,0,0,0,4,3404,470,69,356,3404,2505,py=85628,630,6380,66494,65910,43.5,167960,560,85628,37,144,0,0,6,2,6,97,0,246
networkx,2022/12/26,5645,365,3.4,73,15214,16807,551,3,113,63874,63874,0,0,0.6,3291,0,1,2568840,16566,0,0,0,1,0,0,0,0,4,3404,470,69,356,3404,2505,py=85628,630,6380,66494,65915,43.5,167965,560,85628,37,144,0,0,6,2,6,97,0,246
networkx,2023/1/2,5569,361,3.3,72,15265,16862,566,3,116,64060,64060,0,0,0.6,3299,0,1,2578140,16625,0,0,0,1,0,0,0,0,4,3415,474,71,358,3415,2508,py=85938,622,6393,66684,66326,43.6,168745,561,85938,37,145,0,0,6,2,6,98,0,246
networkx,2023/1/9,5569,361,3.3,72,15295,16885,571,3,117,64174,64174,0,0,0.6,3307,0,1,2586060,16697,0,0,0,1,0,0,0,0,4,3424,482,71,358,3424,2509,py=86202,624,6401,66800,66515,43.6,169236,561,86202,37,146,0,0,6,2,6,100,0,246
networkx,2023/1/16,5569,361,3.3,72,15295,16885,571,3,117,64180,64180,0,0,0.6,3308,0,1,2586240,16698,0,0,0,1,0,0,0,0,4,3425,483,71,358,3425,2509,py=86208,624,6401,66806,66521,43.6,169251,563,86208,37,146,0,0,6,2,6,100,0,246
