project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
pandas,2022/10/31,8357,446,1.5,146,48716,36628,7685,5,1080,223586,223586,0,0,0.3,6251,0,1,11448570,34748,0,7,195,5,0,0,0,0,19,7338,5024,760,663,7338,872,py=381619,1443,27098,227980,101971,21.1,571200,2389,381619,180,163,0,0,37,22,33,63,3,14
pandas,2022/11/7,8357,446,1.5,146,48580,36359,7725,5,1083,222973,222973,0,0,0.3,6218,0,1,11410950,34521,0,7,195,5,0,0,0,0,19,7308,5016,754,652,7308,867,py=380365,1443,27102,227366,101753,21.1,569612,2387,380365,176,162,0,0,37,24,33,63,3,14
pandas,2022/11/14,8357,446,1.5,146,48615,36375,7725,5,1083,223036,223036,0,0,0.3,6203,0,1,11416890,34491,0,7,195,5,0,0,0,0,19,7293,5016,751,649,7293,858,py=380563,1445,27116,227433,101758,21.1,569805,2377,380563,177,162,0,0,37,24,33,63,3,14
pandas,2022/11/21,8357,446,1.5,146,48655,36458,7713,5,1079,223193,223193,0,0,0.3,6206,0,1,11427600,34589,0,7,195,5,0,0,0,0,19,7292,5018,743,653,7292,859,py=380920,1445,27131,227588,101785,21.1,570218,2379,380920,176,166,0,0,37,26,33,63,3,14
pandas,2022/11/28,7495,440,1.3,145,48551,36312,7803,5,1087,222794,222794,0,0,0.3,6195,0,1,11394480,34515,0,7,195,5,0,0,0,0,19,7289,5030,744,642,7289,854,py=379816,1443,27108,227158,101385,21.1,568631,2369,379816,179,168,0,0,37,26,34,70,3,14
pandas,2022/12/5,7491,440,1.3,145,48559,36338,7803,5,1087,222864,222864,0,0,0.3,6190,0,1,11394270,34505,0,7,195,5,0,0,0,0,19,7284,5031,741,640,7284,853,py=379809,1443,27118,227229,101352,21.1,568609,2368,379809,178,168,0,0,37,24,35,70,3,14
pandas,2022/12/12,7491,440,1.3,145,48673,36441,7803,5,1087,223305,223305,0,0,0.3,6207,0,1,11423070,34556,0,7,195,5,0,0,0,0,19,7301,5038,742,646,7301,856,py=380769,1446,27171,227666,101446,21,569824,2376,380769,179,168,0,0,33,24,35,61,3,14
pandas,2022/12/19,7515,442,1.3,146,48663,36408,7803,5,1087,223198,223198,0,0,0.3,6188,0,1,11417820,34541,0,7,195,5,0,0,0,0,19,7282,5033,731,645,7282,854,py=380594,1449,27184,227556,101435,21,569640,2376,380594,180,172,0,0,33,24,34,61,3,14
pandas,2022/12/26,7535,444,1.3,148,48736,36444,7798,5,1086,223473,223473,0,0,0.3,6195,0,1,11438100,34553,0,7,195,5,0,0,0,0,19,7288,5035,734,643,7288,857,py=381270,1450,27218,227832,101512,21,570497,2378,381270,180,172,0,0,34,22,34,71,3,14
pandas,2023/1/2,7607,443,1.3,150,48912,36602,7798,5,1086,224082,224082,0,0,0.3,6204,0,1,11480130,34646,0,7,195,5,0,0,0,0,19,7297,5040,731,646,7297,861,py=382671,1457,27291,228454,102011,21,572645,2386,382671,180,171,0,0,38,26,34,69,3,14
