project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
reflex,2022/11/14,0,0,0,0,637,329,15,3,3,2684,2684,0,0,0.3,110,0,1,127080,340,0,0,0,1,0,0,0,0,0,113,27,0,13,113,73,py=4236,118,373,3344,3401,44.5,9834,222,4236,0,0,0,0,0,0,0,0,0,0
reflex,2022/11/21,0,0,0,0,640,335,15,3,3,2707,2707,0,0,0.3,112,0,1,128190,350,0,0,0,1,0,0,0,0,0,115,27,0,15,115,73,py=4273,119,373,3368,3417,44.4,9900,222,4273,0,0,0,0,0,0,0,0,0,0
reflex,2022/11/28,0,0,0,0,650,344,15,3,3,2738,2738,0,0,0.3,108,0,1,129810,330,0,0,0,1,0,0,0,0,0,111,26,0,13,111,72,py=4327,119,377,3403,3459,44.4,10016,222,4327,0,0,0,0,0,0,0,0,0,0
reflex,2022/12/5,0,0,0,0,650,344,15,3,3,2748,2748,0,0,0.3,109,0,1,130920,335,0,0,0,1,0,0,0,0,0,112,27,0,13,112,72,py=4364,118,376,3409,3475,44.3,10077,220,4364,0,0,0,0,0,0,0,0,0,0
reflex,2022/12/12,0,0,0,0,691,375,15,3,3,2845,2845,0,0,0.3,107,0,1,135450,346,0,0,0,1,0,0,0,0,0,110,26,0,12,110,72,py=4515,119,395,3526,3639,44.6,10454,222,4515,0,0,0,0,0,0,0,0,0,0
reflex,2022/12/19,0,0,0,0,688,374,15,3,3,2823,2823,0,0,0.1,36,0,1,135330,191,0,0,0,1,0,0,0,0,0,39,22,0,14,39,3,py=4511,120,392,3509,3618,44.5,10421,223,4511,0,0,0,0,0,0,0,0,0,0
reflex,2022/12/26,0,0,0,0,691,379,15,3,3,2844,2844,0,0,0.1,36,0,1,136920,191,0,0,0,1,0,0,0,0,0,39,22,0,14,39,3,py=4564,120,393,3532,3612,44.2,10476,224,4564,0,0,0,0,0,0,0,0,0,0
reflex,2023/1/2,0,0,0,0,789,443,15,3,3,3155,3155,0,0,0.1,37,0,1,153120,202,0,0,0,1,0,0,0,0,0,40,21,0,16,40,3,py=5104,122,439,3894,4022,44.1,11647,240,5104,0,0,0,0,0,0,0,0,0,0
reflex,2023/1/9,0,0,0,0,830,483,15,3,3,3273,3273,0,0,0.1,40,0,1,157650,213,0,0,0,1,0,0,0,0,0,43,22,0,17,43,4,py=5255,122,456,4025,4140,44.1,11965,242,5255,0,0,0,0,0,0,0,0,0,0
reflex,2023/1/16,0,0,0,0,854,499,15,3,3,3335,3335,0,0,0.1,41,0,1,160260,219,0,0,0,1,0,0,0,0,0,44,22,0,18,44,4,py=5342,122,463,4094,4184,43.9,12130,242,5342,0,0,0,0,0,0,0,0,0,0
reflex,2023/1/23,0,0,0,0,876,486,15,3,3,3394,3394,0,0,0.1,33,0,1,163320,182,0,0,0,1,0,0,0,0,0,36,19,0,13,36,4,py=5444,125,477,4165,4223,43.7,12322,245,5444,0,0,0,0,0,0,0,0,0,0
reflex,2023/1/30,0,0,0,0,961,553,15,3,3,3639,3639,0,0,0.1,38,0,1,174420,192,0,0,0,1,0,0,0,0,0,41,22,1,13,41,5,py=5814,129,519,4445,4484,43.5,13197,250,5814,0,0,0,0,0,0,0,0,0,0
reflex,2023/2/6,0,0,0,0,1092,703,15,3,3,3976,3976,0,0,0.1,35,0,1,192510,195,0,0,0,1,0,0,0,0,0,38,17,0,16,38,5,py=6417,128,559,4822,4883,43.2,14208,253,6417,0,0,0,0,0,0,0,0,0,0
reflex,2023/2/13,0,0,0,0,1133,721,15,3,3,4120,4120,0,0,0.1,40,0,1,204390,212,0,0,0,1,0,0,0,0,0,43,19,0,17,43,7,py=6813,133,586,4988,5005,42.4,14804,255,6813,0,0,0,0,0,0,0,0,0,0
reflex,2023/2/20,0,0,0,0,1141,721,15,3,3,4155,4155,0,0,0.1,41,0,1,206430,215,0,0,0,1,0,0,0,0,0,44,19,0,17,44,8,py=6881,133,593,5027,5017,42.2,14899,255,6881,0,0,0,0,0,0,0,0,0,0
reflex,2023/2/27,0,0,0,0,1159,742,15,3,3,4421,4421,0,0,0.1,41,0,1,216600,219,0,0,0,1,0,0,0,0,0,44,19,0,17,44,8,py=7220,136,604,5306,5114,41.5,15396,257,7220,0,0,0,0,0,0,0,0,0,0
reflex,2023/3/6,0,0,0,0,1185,766,15,3,3,4506,4506,0,0,0.1,43,0,1,221670,226,0,0,0,1,0,0,0,0,0,46,20,0,18,46,8,py=7389,140,615,5410,5220,41.4,15740,262,7389,0,0,0,0,0,0,0,0,0,0
reflex,2023/3/13,0,0,0,0,1197,767,15,3,3,4593,4593,0,0,0.1,43,0,1,225300,224,0,0,0,1,0,0,0,0,0,46,20,0,18,46,8,py=7510,148,623,5513,5289,41.3,15984,262,7510,0,0,0,0,0,0,0,0,0,0
reflex,2023/3/20,0,0,0,0,1209,772,15,3,3,4638,4638,0,0,0.1,43,0,1,227610,224,0,0,0,1,0,0,0,0,0,46,20,0,18,46,8,py=7587,150,632,5574,5349,41.3,16157,267,7587,0,0,0,0,0,0,0,0,0,0
reflex,2023/3/27,0,0,0,0,1218,773,15,3,3,4655,4655,0,0,0.1,43,0,1,229200,224,0,0,0,1,0,0,0,0,0,46,20,0,18,46,8,py=7640,152,638,5595,5370,41.3,16247,267,7640,0,0,0,0,0,0,0,0,0,0
reflex,2023/4/3,1706,1049,7.9,1,1315,829,15,3,3,5310,5310,0,0,0.1,43,0,1,350160,224,0,7,315,5,0,0,0,0,7,53,20,0,18,53,8,py=11672,165,693,6422,5959,33.8,21617,389,11672,0,0,0,0,0,0,0,0,0,0
reflex,2023/4/10,1706,1049,7.9,1,1327,843,15,3,3,5334,5334,0,0,0.1,47,0,1,350850,258,0,7,315,5,0,0,0,0,7,57,21,0,19,57,10,py=11695,165,693,6446,5967,33.8,21653,389,11695,0,0,0,0,0,0,0,0,0,0
reflex,2023/4/17,1706,1049,7.8,1,1360,857,15,3,3,5422,5422,0,0,0.1,48,0,1,355920,263,0,7,315,5,0,0,0,0,7,58,22,0,19,58,10,py=11864,167,714,6555,6086,33.9,21990,394,11864,0,0,0,0,0,0,0,0,0,0
