project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
salt,2022/10/31,41498,1748,3.2,448,117390,149087,1705,5,219,432337,432337,0,0,0.5,12353,0,1,23138910,125955,0,39,427,5,0,0,0,0,108,12611,3008,446,4918,12611,4131,py=771297,3490,43023,464349,375722,32.8,1289782,3081,771297,554,2033,29,15,109,70,544,665,118,1141
salt,2022/11/7,41515,1742,3.2,448,117323,149066,1700,5,218,432018,432018,0,0,0.5,12355,0,1,23118540,125961,0,39,427,5,0,0,0,0,108,12612,3005,445,4921,12612,4133,py=770618,3483,42968,463992,375540,32.8,1288717,3081,770618,552,2033,29,15,109,70,544,665,118,1141
salt,2022/11/14,41532,1755,3.2,448,117482,149115,1705,5,219,432657,432657,0,0,0.5,12349,0,1,23157540,125949,0,39,427,5,0,0,0,0,108,12607,3008,446,4919,12607,4126,py=771918,3492,43087,464679,375903,32.7,1290983,3067,771918,549,2030,29,15,108,70,545,666,118,1141
salt,2022/11/21,41528,1755,3.2,448,117419,149105,1705,5,219,432439,432439,0,0,0.5,12354,0,1,23141670,125962,0,39,427,5,0,0,0,0,108,12612,3008,446,4919,12612,4131,py=771389,3491,43041,464454,375773,32.8,1290117,3074,771389,554,2033,29,15,107,70,544,664,118,1141
salt,2022/11/28,41268,1748,3.2,448,117568,149200,1695,5,218,432536,432536,0,0,0.5,12297,0,1,23134380,125838,0,38,425,5,0,0,0,0,107,12553,2996,446,4921,12553,4083,py=771146,3510,43090,464512,375887,32.8,1290639,3043,771146,537,2022,32,15,103,70,546,666,118,1130
salt,2022/12/5,42470,1781,3.3,455,118092,149829,1695,5,218,434407,434407,0,0,0.5,12333,0,1,23250570,126244,0,38,425,5,0,0,0,0,107,12589,3018,446,4940,12589,4078,py=775019,3521,43260,466445,376825,32.7,1296203,3022,775019,535,2028,32,15,102,70,544,665,118,1130
salt,2022/12/12,42536,1783,3.3,456,118129,149869,1695,5,218,434539,434539,0,0,0.5,12335,0,1,23256060,126256,0,38,425,5,0,0,0,0,107,12591,3019,446,4941,12591,4078,py=775202,3523,43276,466579,376856,32.7,1296475,3021,775202,535,2027,32,15,100,70,544,663,118,1129
salt,2022/12/19,43852,1827,3.3,465,119493,151324,1695,5,218,439247,439247,0,0,0.5,12420,0,1,23574660,127200,0,38,425,5,0,0,0,0,107,12676,3034,446,4986,12676,4103,py=785822,3530,43843,471397,378967,32.5,1310603,3021,785822,535,2026,32,15,100,70,544,663,118,1129
salt,2022/12/26,44667,1854,3.4,492,119969,151585,1695,5,218,440532,440532,0,0,0.5,12444,0,1,23648820,127376,0,38,425,5,0,0,0,0,107,12700,3035,466,4996,12700,4096,py=788294,3595,44207,472667,379276,32.5,1314865,2991,788294,530,2021,32,15,98,69,544,584,118,1117
salt,2023/1/2,44671,1855,3.4,494,119788,151381,1695,5,218,439983,439983,0,0,0.5,12414,0,1,23613060,127192,0,38,425,5,0,0,0,0,107,12670,3033,449,4990,12670,4091,py=787102,3594,44143,472115,379141,32.5,1313282,2998,787102,536,2027,32,15,101,70,544,590,118,1129
salt,2023/1/9,44719,1856,3.4,493,119900,151460,1695,5,218,440325,440325,0,0,0.5,12441,0,1,23638470,127298,0,38,425,5,0,0,0,0,107,12697,3035,466,4993,12697,4096,py=787949,3595,44199,472455,379231,32.5,1314431,2991,787949,530,2021,32,15,98,69,544,584,118,1117
