project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
scrapy,2022/10/31,530,26,1,13,6798,3603,262,5,26,29563,29563,0,0,0.2,552,0,1,1203480,2389,0,39,2058,5,0,0,0,0,46,617,169,8,116,617,278,py=40116,340,4351,30374,5354,11.8,55345,1169,40116,11,1,0,3,5,1,0,12,1,2
scrapy,2022/11/7,530,26,1,13,6811,3614,262,5,26,29654,29654,0,0,0.2,553,0,1,1206600,2393,0,39,2058,5,0,0,0,0,46,618,169,8,116,618,279,py=40220,340,4356,30465,5362,11.8,55479,1169,40220,11,1,0,3,5,1,0,12,1,2
scrapy,2022/11/14,523,29,1,12,6376,3389,227,5,22,27986,27986,0,0,0.2,529,0,1,1128120,2235,0,30,1460,5,0,0,0,0,36,581,158,8,110,581,269,py=37604,333,4067,28740,5082,11.9,52062,1100,37604,12,2,0,3,4,1,0,13,1,4
scrapy,2022/11/21,524,26,1,13,6816,3560,257,5,25,29520,29520,0,0,0.2,551,0,1,1198230,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=39941,340,4333,30327,5347,11.8,55132,1162,39941,10,1,0,3,5,1,0,11,1,2
scrapy,2022/11/28,780,32,1.3,15,6817,3561,257,5,25,29524,29524,0,0,0.2,557,0,1,1340070,2396,0,39,2058,5,0,0,0,0,45,621,174,8,115,621,279,py=44669,340,4333,30331,5336,10.7,59715,1162,44669,10,2,0,3,11,1,0,11,1,2
scrapy,2022/12/5,524,26,1,13,6819,3563,257,5,25,29532,29532,0,0,0.2,551,0,1,1198980,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=39966,340,4333,30339,5345,11.8,55157,1162,39966,10,1,0,3,5,1,0,11,1,2
scrapy,2022/12/12,524,26,0.9,13,6820,3563,257,5,25,29545,29545,0,0,0.2,551,0,1,1199850,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=39995,340,4335,30353,5350,11.8,55193,1162,39995,10,1,0,3,5,1,0,11,1,2
scrapy,2022/12/19,524,26,0.9,13,6820,3563,257,5,25,29545,29545,0,0,0.2,551,0,1,1199880,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=39996,340,4335,30353,5350,11.8,55194,1162,39996,10,1,0,3,5,1,0,11,1,2
scrapy,2022/12/26,524,26,0.9,13,6820,3563,257,5,25,29545,29545,0,0,0.2,551,0,1,1199880,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=39996,340,4335,30353,5350,11.8,55194,1162,39996,10,1,0,3,5,1,0,11,1,2
scrapy,2023/1/2,524,26,0.9,13,6821,3563,257,5,25,29551,29551,0,0,0.2,551,0,1,1200480,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=40016,340,4336,30359,5362,11.8,55226,1162,40016,10,1,0,3,5,1,0,11,1,2
scrapy,2023/1/9,524,26,0.9,13,6824,3563,257,5,25,29563,29563,0,0,0.2,551,0,1,1200930,2386,0,39,2058,5,0,0,0,0,45,615,168,8,115,615,279,py=40031,340,4339,30371,5364,11.8,55247,1163,40031,10,1,0,3,5,1,0,11,1,2
scrapy,2023/1/16,524,26,0.9,13,6843,3571,257,5,25,29649,29649,0,0,0.2,552,0,1,1204950,2406,0,40,2060,5,0,0,0,0,45,617,169,8,116,617,279,py=40165,340,4354,30460,5371,11.8,55417,1167,40165,10,1,0,3,5,1,0,11,1,2
scrapy,2023/1/23,780,32,1.3,15,6840,3571,257,5,25,29644,29644,0,0,0.2,558,0,1,1346490,2416,0,40,2060,5,0,0,0,0,45,623,175,8,116,623,279,py=44883,340,4351,30455,5363,10.7,59941,1166,44883,10,2,0,3,11,1,0,11,1,2
scrapy,2023/1/30,780,32,1.3,15,6844,3573,257,5,25,29670,29670,0,0,0.2,560,0,1,1347780,2436,0,40,2060,5,0,0,0,0,45,625,177,8,116,625,279,py=44926,340,4354,30482,5379,10.7,59847,1166,44926,10,2,0,3,11,0,0,11,1,2
