project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBCL,LC,LLF,LTCE,CCC,LMC,MNC
textual,2022/10/31,644,21,1.6,7,4540,3833,243,5,38,16492,16492.1,0,0.0.1,0.2,191,0,1,816600,1515,0.1,0.3,0.4,1.0.1,0.5,0.6,0.7,0.8,5,229,86,21.1,69,229.1,48,py=27220,320,2286,17694,6858,20.1,40562,532,27220,2,0,0,0,0,0,0,0,0,0
textual,2022/11/7,644,21,1.6,7,4607,3850,243,5,38,16811,16811,0,0,0.2,185,0,1,832320,1501,0,0,0,1,0,0,0,0,5,223,78,21,69,223,50,py=27744,327,2330,18053,7039,20.2,41385,544,27744,2,0,0,0,0,0,0,0,0,0
textual,2022/11/14,644,21,1.5,7,4635,3829,243,5,38,17008,17008,0,0,0.2,183,0,1,839130,1421,0,0,0,1,0,0,0,0,5,221,78,22,67,221,49,py=27971,332,2374,18267,7190,20.4,41806,556,27971,2,0,0,0,0,0,0,0,0,0
textual,2022/11/21,644,21,1.5,7,4723,3905,258,5,39,17285,17285,0,0,0.2,186,0,1,853500,1473,0,0,0,1,0,0,0,0,5,225,80,22,69,225,49,py=28450,336,2423,18585,7375,20.6,42580,563,28450,2,0,0,0,0,0,0,0,0,0
textual,2022/11/28,628,23,1.5,7,4734,3907,258,5,39,17325,17325,0,0,0.2,187,0,1,855210,1474,0,0,0,1,0,0,0,0,5,226,81,22,69,226,49,py=28507,337,2432,18625,7377,20.6,42663,569,28507,2,0,0,0,0,0,0,0,0,0
textual,2022/12/5,739,28,1.7,10,4799,3930,258,5,39,17630,17630,0,0,0.2,187,0,1,872610,1487,0,0,0,1,0,0,0,0,5,226,82,22,69,226,48,py=29087,351,2480,18962,7467,20.4,43486,590,29087,2,0,0,0,0,0,0,0,0,0
textual,2022/12/12,739,28,1.7,10,4858,3937,258,5,39,17894,17894,0,0,0.2,188,0,1,882870,1504,0,0,0,1,0,0,0,0,5,227,82,22,70,227,48,py=29429,352,2532,19278,7711,20.8,44306,628,29429,2,0,0,0,0,0,0,0,0,0
textual,2022/12/19,739,28,1.7,10,4902,3954,258,5,39,18088,18088,0,0,0.2,190,0,1,892740,1533,0,0,0,1,0,0,0,0,5,229,83,22,70,229,49,py=29758,357,2566,19495,7748,20.7,44772,644,29758,2,0,0,0,0,0,0,0,0,0
textual,2022/12/26,791,30,1.7,11,4998,4025,260,5,40,18497,18497,0,0,0.2,197,0,1,907980,1572,0,0,0,1,0,0,0,0,5,237,85,22,71,237,54,py=30266,361,2621,19920,7867,20.6,45543,647,30266,2,0,0,0,0,0,0,0,0,0
textual,2023/1/2,791,30,1.7,11,5031,4033,250,4,39,18634,18634,0,0,0.2,196,0,1,912600,1557,0,0,0,1,0,0,0,0,4,235,84,22,71,235,54,py=30420,366,2653,20084,7955,20.7,45843,649,30420,2,0,0,0,0,0,0,0,0,0
textual,2023/1/9,827,32,1.7,13,5144,4065,255,4,40,19246,19246,0,0,0.2,206,0,1,942420,1631,0,0,0,1,0,0,0,0,4,246,86,23,76,246,57,py=31414,406,2746,20739,8113,20.5,47323,703,31414,2,0,0,0,0,0,0,0,0,0
textual,2023/1/16,827,32,1.7,13,5290,4185,258,4,41,19842,19842,0,0,0.2,218,0,1,967950,1729,0,0,0,1,0,0,0,0,4,259,91,21,79,259,64,py=32265,414,2817,21377,8351,20.6,48625,721,32265,2,0,0,0,0,0,0,0,0,0
textual,2023/1/23,827,32,1.7,13,5345,4225,258,4,41,20051,20051,0,0,0.2,219,0,1,975630,1729,0,0,0,1,0,0,0,0,4,260,91,22,79,260,64,py=32521,418,2850,21621,8452,20.6,49066,727,32521,2,0,0,0,0,0,0,0,0,0
textual,2023/1/30,859,34,1.7,14,5523,4356,261,4,42,20694,20694,0,0,0.2,224,0,1,1005750,1768,0,0,0,1,0,0,0,0,6,266,94,21,81,266,64,py=33525,433,2935,22343,8718,20.6,50597,745,33525,2,0,0,0,0,0,0,0,0,0
textual,2023/2/6,891,36,1.8,16,5503,4353,261,4,42,20600,20600,0,0,0.2,222,0,1,1007250,1716,0,0,0,1,0,0,0,0,6,264,95,21,78,264,64,py=33575,432,2909,22244,8681,20.5,50530,752,33575,2,0,0,0,0,0,0,0,0,0
textual,2023/2/13,891,36,1.7,16,5717,4542,277,5,47,21766,21766,0,0,0.2,235,0,1,1063140,1845,0,0,0,1,0,0,0,0,8,282,102,23,81,282,68,py=35438,442,3052,23511,9129,20.5,53245,796,35438,2,0,0,0,0,0,0,0,0,0
textual,2023/2/20,891,36,1.7,16,5806,4603,277,5,47,22105,22105,0,0,0.2,239,0,1,1077000,1867,0,0,0,1,0,0,0,0,8,286,104,23,84,286,67,py=35900,448,3098,23880,9237,20.5,53918,805,35900,2,0,0,0,0,0,0,0,0,0
textual,2023/2/27,926,38,1.7,18,5930,4687,275,5,46,22617,22617,0,0,0.2,236,0,1,1104300,1875,0,0,0,1,0,0,0,0,8,282,99,23,86,282,66,py=36810,460,3167,24467,9566,20.6,55369,825,36810,2,0,0,0,0,0,0,0,0,0
textual,2023/3/6,1002,40,1.8,20,6059,4753,285,5,48,23086,23086,0,0,0.2,236,0,1,1127790,1885,0,0,0,1,0,0,0,0,8,284,102,22,86,284,66,py=37593,472,3253,24995,9711,20.5,56509,850,37593,2,0,0,0,0,0,0,0,0,0
textual,2023/3/13,1002,40,1.7,20,6170,4816,285,5,48,23539,23539,0,0,0.2,236,0,1,1150890,1888,0,0,0,1,0,0,0,0,8,284,103,22,86,284,65,py=38363,480,3322,25498,9796,20.3,57536,882,38363,2,0,0,0,0,0,0,0,0,0
textual,2023/3/20,1008,40,1.7,20,6272,4870,285,5,48,24039,24039,0,0,0.2,235,0,1,1178640,1898,0,0,0,1,0,0,0,0,8,283,103,21,85,283,66,py=39288,493,3383,26067,10191,20.6,59058,899,39288,2,0,0,0,0,0,0,0,0,0
textual,2023/3/27,1042,40,1.7,20,6545,5042,288,5,49,25087,25087,0,0,0.2,239,0,1,1227060,1904,0,0,0,1,0,0,0,0,8,288,104,23,87,288,66,py=40902,511,3553,27280,10728,20.8,61634,934,40902,2,0,0,0,0,0,0,0,0,0
textual,2023/4/3,1095,42,1.7,22,6759,5165,308,5,52,25863,25863,0,0,0.2,242,0,1,1260690,1941,0,0,0,1,0,0,0,0,8,294,107,23,88,294,68,py=42023,529,3678,28185,11274,21.2,63663,974,42023,2,0,0,0,0,0,0,0,0,0
textual,2023/4/10,1207,54,1.9,27,6868,5257,304,5,53,26259,26259,0,0,0.2,244,0,1,1284750,1990,0,0,0,1,0,0,0,0,8,297,109,23,91,297,66,py=42825,541,3724,28606,11628,21.4,64993,987,42825,2,0,0,0,0,0,0,0,0,0
textual,2023/4/17,1207,54,1.8,27,6924,5287,304,5,53,26436,26436,0,0,0.2,249,0,1,1294290,2009,0,0,0,1,0,0,0,0,8,302,111,23,91,302,69,py=43143,545,3750,28814,11819,21.5,65588,995,43143,2,0,0,0,0,0,0,0,0,0
textual,2023/4/24,1396,68,2.1,32,7066,5372,312,5,55,26972,26972,0,0,0.2,252,0,1,1319880,2027,0,0,0,1,0,0,0,0,8,307,114,23,92,307,70,py=43996,553,3834,29397,11835,21.2,66671,1005,43996,2,0,0,0,0,0,0,0,0,0
textual,2023/5/1,1396,68,2.1,32,7143,5416,312,5,55,27228,27228,0,0,0.2,252,0,1,1332060,2021,0,0,0,1,0,0,0,0,8,307,113,23,94,307,69,py=44402,559,3883,29701,11989,21.3,67350,1016,44402,2,0,0,0,0,0,0,0,0,0
textual,2023/5/8,1396,68,2,32,7273,5510,312,5,55,27706,27706,0,0,0.2,253,0,1,1357470,2067,0,0,0,1,0,0,0,0,8,308,113,23,96,308,68,py=45249,562,3974,30260,12252,21.3,68644,1029,45249,2,0,0,0,0,0,0,0,0,0
textual,2023/5/15,1535,72,2.2,35,7376,5584,312,5,55,28127,28127,0,0,0.2,257,0,1,1374480,2065,0,0,0,1,0,0,0,0,8,312,113,26,96,312,69,py=45816,574,4032,30703,12427,21.3,69577,1077,45816,2,0,0,0,0,0,0,0,0,0
textual,2023/5/22,1593,74,2.2,36,7657,5709,312,5,55,29211,29211,0,0,0.2,284,0,1,1425690,2280,0,1,30,5,0,0,0,0,10,340,135,26,99,340,70,py=47523,590,4229,31921,13080,21.6,72358,1141,47523,2,0,0,0,0,0,0,0,0,0
textual,2023/5/29,1593,74,2.2,36,7810,5812,317,5,56,29785,29785,0,0,0.2,285,0,1,1451700,2301,0,1,30,5,0,0,0,0,10,342,134,26,102,342,70,py=48390,603,4314,32517,13265,21.5,73646,1165,48390,2,0,0,0,0,0,0,0,0,0
textual,2023/6/5,1593,74,2.1,36,7902,5855,307,4,54,30091,30091,0,0,0.2,293,0,1,1464630,2370,0,1,30,5,0,0,0,0,8,348,140,26,105,348,69,py=48821,607,4385,32842,13279,21.4,74248,1186,48821,2,0,0,0,0,0,0,0,0,0
textual,2023/6/12,1623,76,2.1,36,8065,5889,327,4,56,30874,30874,0,0,0.2,294,0,1,1497300,2371,0,1,30,5,0,0,0,0,9,351,143,26,105,351,68,py=49910,610,4522,33683,13442,21.2,75806,1236,49910,2,0,0,0,0,0,0,0,0,0
